Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
The Batman,2500,1105,969,426
Water Gate Bridge,41,15,9,17
Uncharted,2500,1058,896,546
Too Cool to Kill,119,35,5,79
Scream,2500,617,109,1774
Death on the Nile,2500,537,98,1865
Jackass Forever,2500,924,280,1296
Dog,2500,1099,620,781
Marry Me,2500,1126,1063,311
Moonfall,2500,1038,762,700
BTS Permission to Dance on Stage - Seoul: Live Viewing,810,236,496,78
The 355,2500,1085,835,580
The Kashmir Files,2500,1027,608,865
Radhe Shyam,2500,1041,899,560
Blacklight,2500,1085,892,523
Redeeming Love,1840,1564,144,132
Cyrano,2500,1406,619,475
The Cherry Bushido,112,55,33,24
The Cursed,2500,945,883,672
X,1240,570,426,244
Gangubai Kathiawadi,2500,1280,848,372
Studio 666,2500,1235,529,736
The Beatles: Get Back - The Rooftop Concert,237,57,168,12
The King's Daughter,1461,631,527,303
The Outfit,2500,1437,705,358
Umma,1321,496,505,320
The Tiger Rising,289,130,130,29
The Family,2500,1213,889,398
Tyson's Run,300,170,101,29
Clean,2500,2083,53,364
Sundown,2500,1092,840,568
Alice,1811,854,608,349
