,Movie,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Unnamed: 0.1.1,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,Avengers: Endgame,Robert Downey Jr.,38.361,Chris Evans,15.319,Mark Ruffalo,9.185,Chris Hemsworth,36.221,Scarlett Johansson,38.188,0,2797501328,858373000,30.7,1939128328,69.3,94.0,90.0,PG-13,"AnthonyRusso,JoeRusso",KevinFeige,4-26-2019,858400000.0,8.4,1034560,movie,Avengers: Endgame,0,2019,181,"Action,Adventure,Drama"
1,The Lion King,Matthew Broderick,13.295,James Earl Jones,13.214,Jeremy Irons,15.988,Rowan Atkinson,15.925,Niketa Calame,2.894,1,1656943394,543638043,32.8,1113305351,67.2,52.0,88.0,PG,JonFavreau,"JonFavreau,JeffreySilver,KarenGilchrist",7-19-2019,543600000.0,6.9,235732,movie,The Lion King,0,2019,118,"Adventure,Animation,Drama"
2,Frozen II,Kristen Bell,15.307,Idina Menzel,10.721,Josh Gad,11.913,Jonathan Groff,10.632,Sterling K. Brown,6.462,2,1450026933,477373578,32.9,972653355,67.1,77.0,92.0,PG,"ChrisBuck,JenniferLee",PeterDelVecho,11-22-2019,477400000.0,6.8,163102,movie,Frozen II,0,2019,103,"Adventure,Animation,Comedy"
3,Spider-Man: Far from Home,Tom Holland,128.32,Samuel L. Jackson,56.705,Jake Gyllenhaal,21.848,Marisa Tomei,23.257,Jon Favreau,13.562,3,1131927996,390532085,34.5,741395911,65.5,90.0,95.0,PG-13,JonWatts,"KevinFeige,AmyPascal",7-2-2019,390700000.0,7.4,454626,movie,Spider-Man: Far from Home,0,2019,129,"Action,Adventure,Sci-Fi"
4,Captain Marvel,Brie Larson,23.442,Samuel L. Jackson,41.412,Ben Mendelsohn,22.944,Jude Law,24.842,Annette Bening,25.191,4,1128274794,426829839,37.8,701444955,62.2,79.0,45.0,PG-13,"AnnaBoden,RyanFleck",KevinFeige,3-8-2019,426800000.0,6.8,527037,movie,Captain Marvel,0,2019,123,"Action,Adventure,Sci-Fi"
5,Joker,Joaquin Phoenix,17.538,Robert De Niro,28.296,Zazie Beetz,17.431,Frances Conroy,13.472,Brett Cullen,13.826,5,1074251311,335451311,31.2,738800000,68.8,68.0,88.0,R,ToddPhillips,"ToddPhillips,BradleyCooper,EmmaTillingerKoskoff",10-4-2019,335400000.0,8.4,1172540,movie,Joker,0,2019,122,"Crime,Drama,Thriller"
6,Star Wars: Episode IX - The Rise of Skywalker,Carrie Fisher,12.309,Mark Hamill,19.712,Daisy Ridley,22.014,Adam Driver,22.821,John Boyega,7.352,6,1074144248,515202542,48,558941706,52,,,,,,,,6.5,425565,movie,Star Wars: Episode IX - The Rise of Skywalker,0,2019,141,"Action,Adventure,Fantasy"
7,Toy Story 4,Tom Hanks,38.219,Tim Allen,21.108,Annie Potts,14.156,Tony Hale,14.662,Keegan-Michael Key,7.168,7,1073394593,434038008,40.4,639356585,59.6,97.0,94.0,G,JoshCooley,"MarkNielsen,JonasRivera,GalynSusman",6-21-2019,434000000.0,7.7,235938,movie,Toy Story 4,0,2019,100,"Adventure,Animation,Comedy"
8,Aladdin,Will Smith,29.79,Mena Massoud,9.149,Naomi Scott,34.437,Marwan Kenzari,8.035,Navid Negahban,5.577,8,1050693953,355559216,33.8,695134737,66.2,57.0,94.0,PG,GuyRitchie,"DanLin,JonathanEirich",5-24-2019,355600000.0,6.9,255653,movie,Aladdin,0,2019,128,"Adventure,Comedy,Family"
9,Jumanji: The Next Level,Dwayne Johnson,32.997,Kevin Hart,13.481,Jack Black,27.531,Karen Gillan,51.962,Awkwafina,42.502,9,800059707,320314960,40,479744747,60,71.0,87.0,PG-13,JakeKasdan,"DanyGarcia,HiramGarcia,DwayneJohnson,JakeKasdan,MatthewTolmach",12-13-2019,316800000.0,6.7,235452,movie,Jumanji: The Next Level,0,2019,123,"Action,Adventure,Comedy"
