,Unnamed: 0,Unnamed: 0.1,Movie Title,Worldwide,Budget,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,0,0,The Avengers,1518812988,623357910,41,895455078,59,,,,JohnH.Auer,,,,8.1,1347324,movie,The Avengers,0,2012,143,"Action,Adventure,Sci-Fi"
1,1,1,Skyfall,1108561013,304360277,27.5,804200736,72.5,92.0,86.0,PG-13,SamMendes,"MichaelG.Wilson,BarbaraBroccoli",11-9-2012,304400000.0,7.8,682291,movie,Skyfall,0,2012,143,"Action,Adventure,Thriller"
2,2,2,The Dark Knight Rises,1081041287,448139099,41.5,632902188,58.5,87.0,90.0,PG-13,ChristopherNolan,"EmmaThomas,ChristopherNolan,CharlesRoven",7-20-2012,2000000.0,8.4,1640861,movie,The Dark Knight Rises,0,2012,164,"Action,Crime,Drama"
3,3,3,The Hobbit: An Unexpected Journey,1017003568,303003568,29.8,714000000,70.2,64.0,83.0,PG-13,PeterJackson,"CarolynneCunningham,ZaneWeiner,FranWalsh,PeterJackson",12-14-2012,303000000.0,7.8,800714,movie,The Hobbit: An Unexpected Journey,0,2012,169,"Adventure,Fantasy"
4,4,4,Ice Age 4: Continental Drift,877244782,161321843,18.4,715922939,81.6,37.0,62.0,PG,"SteveMartino,MikeThurmeier","LoriForte,JohnC.Donkin",7-13-2012,,6.5,204792,movie,Ice Age: Continental Drift,0,2012,88,"Adventure,Animation,Comedy"
5,5,5,The Twilight Saga: Breaking Dawn - Part 2,829746820,292324737,35.2,537422083,64.8,49.0,70.0,PG-13,BillCondon,"WyckGodfrey,KarenRosenfelt,StephenieMeyer",11-16-2012,292300000.0,5.6,244509,movie,The Twilight Saga: Breaking Dawn - Part 2,0,2012,115,"Adventure,Drama,Fantasy"
6,6,6,The Amazing Spider-Man,757930663,262030663,34.6,495900000,65.4,72.0,77.0,PG-13,MarcWebb,"LauraZiskin,AviArad,MatthewTolmach",7-3-2012,262000000.0,7.0,634606,movie,The Amazing Spider-Man,0,2012,136,"Action,Adventure,Sci-Fi"
7,7,7,Madagascar 3: Europe's Most Wanted,746921274,216391482,29,530529792,71,78.0,72.0,PG,"EricDarnell,TomMcGrath,ConradVernon","MireilleSoria,MarkSwift",6-8-2012,,6.8,176542,movie,Madagascar 3: Europe's Most Wanted,0,2012,95,"Adventure,Animation,Comedy"
8,8,8,The Hunger Games,694394724,408010692,58.8,286384032,41.2,84.0,81.0,PG-13,GaryRoss,"NinaJacobson,JonKilik",3-23-2012,408000000.0,7.2,894681,movie,The Hunger Games,0,2012,142,"Action,Adventure,Sci-Fi"
9,9,9,Men in Black 3,624026776,179020854,28.7,445005922,71.3,68.0,70.0,PG-13,BarrySonnenfeld,"WalterF.Parkes,LaurieMacDonald",5-25-2012,179000000.0,6.8,354548,movie,Men in Black 3,0,2012,106,"Action,Adventure,Comedy"
10,10,10,Life of Pi,609016565,124987023,20.5,484029542,79.5,86.0,84.0,PG,AngLee,"GilNetter,AngLee,DavidWomark",11-21-2012,125000000.0,7.9,614380,movie,Life of Pi,0,2012,127,"Adventure,Drama,Fantasy"
11,11,11,Ted,549368315,218815487,39.8,330552828,60.2,69.0,73.0,R,SethMacFarlane,"ScottStuber,SethMacFarlane,JohnJacobs,JasonClark",6-29-2012,218600000.0,6.9,599551,movie,Ted,0,2012,106,Comedy
12,12,12,Brave,538983207,237283207,44,301700000,56,78.0,75.0,PG,"MarkAndrews,BrendaChapman",KatherineSarafian,6-22-2012,,7.1,399896,movie,Brave,0,2012,93,"Adventure,Animation,Comedy"
13,13,13,Wreck-It Ralph,471222889,189422889,40.2,281800000,59.8,87.0,86.0,PG,RichMoore,ClarkSpencer,11-2-2012,189400000.0,7.7,409346,movie,Wreck-It Ralph,0,2012,101,"Adventure,Animation,Comedy"
