,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,Star Wars: Episode VIII - The Last Jedi,"1,332,539,889","620,181,382",46.5,"712,358,507",53.5,,,,,,,,6.9,608098,movie,Star Wars: Episode VIII - The Last Jedi,0,2017,152,"Action,Adventure,Fantasy"
1,Beauty and the Beast,"1,263,521,126","504,014,165",39.9,"759,506,961",60.1,71.0,80.0,PG,BillCondon,"DavidHoberman,ToddLieberman",3-17-2017,504000000.0,7.1,299157,movie,Beauty and the Beast,0,2017,129,"Adventure,Family,Fantasy"
2,The Fate of the Furious,"1,236,005,118","226,008,385",18.3,"1,009,996,733",81.7,67.0,72.0,PG-13,F.GaryGray,"NealH.Moritz,VinDiesel,MichaelFottrell,ChrisMorgan",4-14-2017,225700000.0,6.6,225701,movie,The Fate of the Furious,0,2017,136,"Action,Crime,Thriller"
3,Despicable Me 3,"1,034,799,409","264,624,300",25.6,"770,175,109",74.4,59.0,53.0,PG,"PierreCoffin,KyleBalda","ChristopherMeledandri,JanetHealy",6-30-2017,264600000.00000003,6.3,128233,movie,Despicable Me 3,0,2017,89,"Adventure,Animation,Comedy"
4,Jumanji: Welcome to the Jungle,"962,077,546","404,515,480",42,"557,562,066",58,76.0,87.0,PG-13,JakeKasdan,"MatthewTolmach,WilliamTeitler",12-20-2017,404600000.0,6.9,362255,movie,Jumanji: Welcome to the Jungle,0,2017,119,"Action,Adventure,Comedy"
5,Spider-Man: Homecoming,"880,166,924","334,201,140",38,"545,965,784",62,92.0,87.0,PG-13,JonWatts,"AmyPascal,KevinFeige",7-7-2017,334400000.0,7.4,621059,movie,Spider-Man: Homecoming,0,2017,133,"Action,Adventure,Sci-Fi"
6,Wolf Warrior 2,"870,325,439","2,721,100",0.3,"867,604,339",99.7,69.0,75.0,,JingWu,,7-28-2017,2700000.0,5.9,7892,movie,Zhan lang II,0,2017,123,"Action,Adventure,Drama"
7,Guardians of the Galaxy Vol. 2,"863,756,051","389,813,101",45.1,"473,942,950",54.9,85.0,87.0,PG-13,JamesGunn,KevinFeige,5-5-2017,389800000.0,7.6,643923,movie,Guardians of the Galaxy Vol. 2,0,2017,136,"Action,Adventure,Comedy"
8,Thor: Ragnarok,"853,977,126","315,058,289",36.9,"538,918,837",63.1,93.0,87.0,PG-13,TaikaWaititi,KevinFeige,11-3-2017,315000000.0,7.9,689404,movie,Thor: Ragnarok,0,2017,130,"Action,Adventure,Comedy"
9,Wonder Woman,"821,847,012","412,563,408",50.2,"409,283,604",49.8,93.0,83.0,PG-13,PattyJenkins,"CharlesRoven,DeborahSnyder,ZackSnyder,RichardSuckle",6-2-2017,412800000.0,7.4,633056,movie,Wonder Woman,0,2017,141,"Action,Adventure,Fantasy"
10,Coco,"807,816,196","210,460,015",26.1,"597,356,181",73.9,97.0,94.0,PG,LeeUnkrich,DarlaK.Anderson,11-22-2017,210500000.0,8.4,470986,movie,Coco,0,2017,105,"Adventure,Animation,Comedy"
11,Coco,"807,816,196","210,460,015",26.1,"597,356,181",73.9,97.0,94.0,PG,LeeUnkrich,DarlaK.Anderson,11-22-2017,210500000.0,7.4,37,movie,Coco,0,2017,98,Horror
12,Pirates of the Caribbean: Dead Men Tell No Tales,"794,861,794","172,558,876",21.7,"622,302,918",78.3,30.0,60.0,PG-13,"JoachimRønning,EspenSandberg",JerryBruckheimer,5-26-2017,172500000.0,6.6,293265,movie,Pirates of the Caribbean: Dead Men Tell No Tales,0,2017,129,"Action,Adventure,Fantasy"
13,It,"700,381,748","327,481,748",46.8,"372,900,000",53.2,,,,,,,,7.3,512692,movie,It,0,2017,135,Horror
14,Justice League,"657,924,295","229,024,295",34.8,"428,900,000",65.2,39.0,68.0,PG-13,ZackSnyder,"CharlesRoven,DeborahSnyder,JonBerg,GeoffJohns",11-17-2017,227000000.0,6.1,438868,movie,Justice League,0,2017,120,"Action,Adventure,Fantasy"
15,Logan,"619,021,436","226,277,068",36.6,"392,744,368",63.4,94.0,90.0,R,JamesMangold,"HutchParker,SimonKinberg,LaurenShulerDonner",3-3-2017,226300000.0,8.1,722278,movie,Logan,0,2017,137,"Action,Drama,Sci-Fi"
16,Transformers: The Last Knight,"605,425,157","130,168,683",21.5,"475,256,474",78.5,15.0,43.0,PG-13,MichaelBay,"DonMurphy,TomDeSanto,LorenzodiBonaventura,IanBryce",6-21-2017,130100000.0,5.2,147431,movie,Transformers: The Last Knight,0,2017,154,"Action,Adventure,Sci-Fi"
17,Kong: Skull Island,"566,652,812","168,052,812",29.7,"398,600,000",70.3,75.0,69.0,PG-13,JordanVogt-Roberts,"JonJashni,AlexGarcia,ThomasTull,MaryParent",3-10-2017,168000000.0,6.7,308699,movie,Kong: Skull Island,0,2017,118,"Action,Adventure,Fantasy"
18,The Boss Baby,"527,965,936","175,003,033",33.1,"352,962,903",66.9,53.0,51.0,PG,TomMcGrath,RamseyAnnNaito,3-31-2017,174900000.0,6.3,122204,movie,The Boss Baby,0,2017,97,"Adventure,Animation,Comedy"
19,Dunkirk,"525,245,546","188,045,546",35.8,"337,200,000",64.2,92.0,81.0,PG-13,ChristopherNolan,"EmmaThomas,ChristopherNolan",7-21-2017,188000000.0,7.8,626776,movie,Dunkirk,0,2017,106,"Action,Drama,History"
20,War for the Planet of the Apes,"490,719,763","146,880,162",29.9,"343,839,601",70.1,94.0,84.0,PG-13,MattReeves,"PeterChernin,DylanClark,RickJaffa,AmandaSilver",7-14-2017,146800000.0,7.4,248309,movie,War for the Planet of the Apes,0,2017,140,"Action,Adventure,Drama"
21,The Greatest Showman,"434,993,183","174,340,174",40.1,"260,653,009",59.9,56.0,86.0,PG,MichaelGracey,"LaurenceMark,PeterChernin,JennoTopping",12-20-2017,174000000.0,7.6,269697,movie,The Greatest Showman,0,2017,105,"Biography,Drama,Musical"
22,Kingsman: The Golden Circle,"410,902,662","100,234,838",24.4,"310,667,824",75.6,50.0,64.0,R,MatthewVaughn,"MatthewVaughn,DavidReid,AdamBohling",9-22-2017,100200000.0,6.7,314774,movie,Kingsman: The Golden Circle,0,2017,141,"Action,Adventure,Comedy"
23,The Mummy,"409,231,607","80,227,895",19.6,"329,003,712",80.4,16.0,35.0,PG-13,AlexKurtzman,"AlexKurtzman,ChrisMorgan,SeanDaniel,SarahBradshaw",6-9-2017,80100000.0,5.4,183163,movie,The Mummy,0,2017,111,"Action,Adventure,Fantasy"
24,Cars 3,"383,930,656","152,901,115",39.8,"231,029,541",60.2,69.0,69.0,G,BrianFee,KevinReher,6-16-2017,152900000.0,6.7,92215,movie,Cars 3,0,2017,102,"Adventure,Animation,Comedy"
25,Fifty Shades Darker,"381,545,846","114,581,250",30,"266,964,596",70,11.0,48.0,R,JamesFoley,"MichaelDeLuca,E.L.James,DanaBrunetti,MarcusViscidi",2-10-2017,114400000.0,4.6,99765,movie,Fifty Shades Darker,0,2017,118,"Drama,Romance"
26,Murder on the Orient Express,"352,789,811","102,826,543",29.1,"249,963,268",70.9,90.0,78.0,PG,SidneyLumet,"JohnBrabourne,RichardGoodwin",11-24-1974,,6.5,240587,movie,Murder on the Orient Express,0,2017,114,"Crime,Drama,Mystery"
27,xXx: Return of Xander Cage,"346,118,277","44,898,413",13,"301,219,864",87,45.0,37.0,PG-13,D.J.Caruso,"JoeRoth,JeffKirschenbaum,VinDiesel,SamanthaVincent",1-20-2017,44900000.0,5.2,90820,movie,xXx: Return of Xander Cage,0,2017,107,"Action,Adventure,Comedy"
