,Movie,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Unnamed: 0.1.1,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,Star Wars: Episode VII - The Force Awakens,Harrison Ford,17.858,Mark Hamill,19.041,Carrie Fisher,9.03,Adam Driver,18.735,Daisy Ridley,20.045,0,2068223624,936662225,45.3,1131561399,54.7,93.0,85.0,PG-13,J.J.Abrams,"KathleenKennedy,J.J.Abrams,BryanBurk",12-18-2015,123000000.0,7.9,905287,movie,Star Wars: Episode VII - The Force Awakens,0,2015,138,"Action,Adventure,Sci-Fi"
1,Jurassic World,Chris Pratt,27.826,Bryce Dallas Howard,24.741,Ty Simpkins,16.558,Nick Robinson,16.14,Vincent D'Onofrio,25.932,1,1670400637,652270625,39,1018130012,61.0,71.0,78.0,PG-13,ColinTrevorrow,"FrankMarshall,PatrickCrowley",6-12-2015,652600000.0,7.0,617110,movie,Jurassic World,0,2015,124,"Action,Adventure,Sci-Fi"
2,Furious 7,Vin Diesel,29.696,Paul Walker,20.93,Dwayne Johnson,29.99,Michelle Rodriguez,23.481,Tyrese Gibson,8.218,2,1515047671,353007020,23.3,1162040651,76.7,82.0,82.0,PG-13,JamesWan,"NealH.Moritz,VinDiesel,MichaelFottrell",4-3-2015,350800000.0,7.2,382376,movie,Fast & Furious 7,0,2015,137,"Action,Crime,Thriller"
3,Avengers: Age of Ultron,Robert Downey Jr.,38.361,Chris Hemsworth,36.221,Mark Ruffalo,9.185,Chris Evans,15.319,Scarlett Johansson,38.188,3,1402805868,459005868,32.7,943800000,67.3,76.0,83.0,PG-13,JossWhedon,KevinFeige,5-1-2015,459000000.0,7.3,826268,movie,Avengers: Age of Ultron,0,2015,141,"Action,Adventure,Sci-Fi"
4,Minions,Sandra Bullock,32.612,Jon Hamm,16.214,Michael Keaton,17.975,Allison Janney,8.247,Steve Coogan,8.401,4,1159398397,336045770,29,823352627,71.0,55.0,49.0,PG,"PierreCoffin,KyleBalda","ChristopherMeledandri,JanetHealy",7-10-2015,336000000.0,6.4,228190,movie,Minions,0,2015,91,"Adventure,Animation,Comedy"
5,Spectre,Daniel Craig,18.56,Christoph Waltz,18.156,Léa Seydoux,24.524,Ralph Fiennes,32.618,Naomie Harris,15.392,5,880674609,200074609,22.7,680600000,77.3,63.0,61.0,PG-13,SamMendes,"MichaelG.Wilson,BarbaraBroccoli",11-6-2015,200100000.0,6.8,429484,movie,Spectre,0,2015,148,"Action,Adventure,Thriller"
6,Inside Out,Amy Poehler,8.768,Phyllis Smith,11.695,Bill Hader,16.702,Kaitlyn Dias,5.892,Richard Kind,11.545,6,857611174,356461711,41.6,501149463,58.4,,,,,,,,8.2,682567,movie,Inside Out,0,2015,95,"Adventure,Animation,Comedy"
7,Mission: Impossible - Rogue Nation,Tom Cruise,34.075,Jeremy Renner,47.118,Simon Pegg,15.527,Rebecca Ferguson,48.521,Ving Rhames,12.542,7,682714267,195042377,28.6,487671890,71.4,94.0,87.0,PG-13,ChristopherMcQuarrie,"TomCruise,J.J.Abrams,BryanBurk,DavidEllison,DanaGoldberg,DonGranger",7-31-2015,,7.4,362936,movie,Mission: Impossible - Rogue Nation,0,2015,131,"Action,Adventure,Thriller"
8,The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence,26.491,Josh Hutcherson,9.872,Liam Hemsworth,10.599,Woody Harrelson,19.341,Elizabeth Banks,14.855,8,658344137,281723902,42.8,376620235,57.2,70.0,66.0,PG-13,FrancisLawrence,"NinaJacobson,JonKilik",11-20-2015,281700000.0,6.5,314960,movie,The Hunger Games: Mockingjay - Part 2,0,2015,137,"Action,Adventure,Sci-Fi"
9,The Martian,Matt Damon,23.323,Jessica Chastain,17.001,Kristen Wiig,16.468,Jeff Daniels,12.197,Michael Peña,22.593,9,630161890,228433663,36.2,401728227,63.8,91.0,91.0,PG-13,RidleyScott,"SimonKinberg,RidleyScott,MichaelSchaefer,AdityaSood,MarkHuffam",10-2-2015,228400000.0,8.0,823241,movie,The Martian,0,2015,144,"Adventure,Drama,Sci-Fi"
10,Fifty Shades of Grey,Dakota Johnson,13.949,Jamie Dornan,12.431,Jennifer Ehle,16.44,Eloise Mumford,12.652,Victor Rasuk,7.266,10,569651467,166167230,29.2,403484237,70.8,25.0,41.0,R,SamTaylor-Johnson,"MichaelDeLuca,E.L.James,DanaBrunetti",2-13-2015,166100000.0,4.2,313428,movie,Fifty Shades of Grey,0,2015,125,"Drama,Romance,Thriller"
11,Cinderella,Ilene Woods,5.431,Eleanor Audley,5.452,Verna Felton,4.662,Claire Du Brey,2.285,Rhoda Williams,3.937,11,542351353,201151353,37.1,341200000,62.9,84.0,78.0,PG,KennethBranagh,"SimonKinberg,AllisonShearmur,DavidBarron",3-13-2015,201200000.0,6.9,173613,movie,Cinderella,0,2015,105,"Adventure,Drama,Family"
12,Cinderella,Ilene Woods,5.431,Eleanor Audley,5.452,Verna Felton,4.662,Claire Du Brey,2.285,Rhoda Williams,3.937,12,542351353,201151353,37.1,341200000,62.9,84.0,78.0,PG,KennethBranagh,"SimonKinberg,AllisonShearmur,DavidBarron",3-13-2015,201200000.0,8.1,13,movie,Cinderella,0,2015,113,Fantasy
13,The Revenant,Leonardo DiCaprio,24.953,Tom Hardy,59.898,Domhnall Gleeson,17.251,Will Poulter,28.358,Forrest Goodluck,6.45,13,532950503,183637894,34.5,349312609,65.5,78.0,84.0,R,,"ArnonMilchan,SteveGolin,MaryParent,KeithRedmon,JamesW.Skotchdopole",1-8-2016,183600000.0,8.0,773163,movie,The Revenant,0,2015,156,"Action,Adventure,Drama"
14,Ant-Man,Paul Rudd,34.179,Michael Douglas,9.193,Evangeline Lilly,22.94,Bobby Cannavale,12.744,Corey Stoll,14.996,14,519311965,180202163,34.7,339109802,65.3,83.0,85.0,PG-13,PeytonReed,KevinFeige,7-17-2015,180200000.0,7.3,636685,movie,Ant-Man,0,2015,117,"Action,Adventure,Comedy"
15,Hotel Transylvania 2,Adam Sandler,14.625,Andy Samberg,40.034,Selena Gomez,16.258,Kevin James,18.227,Steve Buscemi,24.572,15,474800000,169700110,35.7,305099890,64.3,55.0,63.0,PG,GenndyTartakovsky,MichelleMurdocca,9-25-2015,,6.7,122892,movie,Hotel Transylvania 2,0,2015,89,"Adventure,Animation,Comedy"
16,San Andreas,Dwayne Johnson,29.99,Alexandra Daddario,42.013,Carla Gugino,32.469,Ioan Gruffudd,18.035,Archie Panjabi,12.746,16,473990832,155190832,32.7,318800000,67.3,48.0,52.0,PG-13,BradPeyton,BeauFlynn,5-29-2015,155200000.0,6.1,231287,movie,San Andreas,0,2015,114,"Action,Adventure,Thriller"
17,Terminator Genisys,Arnold Schwarzenegger,30.027,Jason Clarke,23.125,Emilia Clarke,17.338,Jai Courtney,10.934,J.K. Simmons,17.78,17,440603537,89760956,20.4,350842581,79.6,27.0,52.0,PG-13,AlanTaylor,"DavidEllison,DanaGoldberg",7-1-2015,89800000.0,6.3,272814,movie,Terminator Genisys,0,2015,126,"Action,Adventure,Sci-Fi"
18,Monster Hunt,Milla Jovovich,16.232,Tony Jaa,13.728,Ron Perlman,19.305,T.I.,6.628,Diego Boneta,11.424,18,387053506,32766,<0.1,387020740,100.0,45.0,70.0,PG-13,PaulW.S.Anderson,"PaulW.S.Anderson,DennisBerardi,JeremyBolt,KenKamins,RobertKulzer,MartinMoszkowicz",12-18-2020,15100000.0,6.1,5153,movie,Zhuo yao ji,0,2015,117,"Adventure,Comedy,Fantasy"
19,Home,Tom Holland,128.32,Zendaya,47.236,Benedict Cumberbatch,39.658,Jacob Batalon,23.293,Jon Favreau,13.562,19,386041607,177397510,46,208644097,54.0,52.0,64.0,PG,TimJohnson,"MireilleSoria,SuzanneBuirgy,ChristopherJenkins",3-27-2015,177300000.0,6.6,100212,movie,Home,0,2015,94,"Adventure,Animation,Comedy"
20,Home,Tom Holland,128.32,Zendaya,47.236,Benedict Cumberbatch,39.658,Jacob Batalon,23.293,Jon Favreau,13.562,20,386041607,177397510,46,208644097,54.0,52.0,64.0,PG,TimJohnson,"MireilleSoria,SuzanneBuirgy,ChristopherJenkins",3-27-2015,177300000.0,8.5,26,movie,Home,0,2015,58,Documentary
