,Movie,Unnamed: 0,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,The Eight Hundred,0,Wang Qian-Yuan,1.371,Zhang Yi,14.343,Huang Zhizhong,3.096,Jiang Wu,4.228,Oho Ou,10.438,461421559,372755,<0.1,461048804,99.9,88.0,75.0,,GuanHu,,2-26-2021,110.0K,6.7,5263,movie,Ba bai,0,2020,149,"Action,Drama,History"
1,Demon Slayer the Movie: Mugen Train,1,Natsuki Hanae,15.48,Akari Kito,25.187,Hiro Shimono,8.399,Yoshitsugu Matsuoka,15.061,Satoshi Hino,8.538,454779627,49505008,10.9,405274619,89.1,98.0,99.0,R,HaruoSotozaki,,4-23-2021,,8.3,50949,movie,Kimetsu no Yaiba: Mugen Ressha-Hen,0,2020,117,"Action,Adventure,Animation"
2,Bad Boys for Life,2,Will Smith,33.966,Martin Lawrence,26.374,Paola Nuñez,19.055,Vanessa Hudgens,20.546,Alexander Ludwig,17.653,426505244,206305244,48.4,220200000,51.6,,,,,,,,6.5,154384,movie,Bad Boys for Life,0,2020,124,"Action,Comedy,Crime"
3,"My People, My Homeland",3,Ge You,3.421,Liu Mintao,7.084,Fan Wei,3.436,Huang Bo,13.595,Zhang Yi,14.343,422390820,-,-,422390820,100,,90.0,,SichengChen,,10-9-2020,,6.5,765,movie,Wo he wo de jia xiang,0,2020,153,Drama
4,Tenet,4,John David Washington,9.337,Robert Pattinson,26.955,Elizabeth Debicki,15.707,Kenneth Branagh,42.401,Dimple Kapadia,5.0,363704105,58504105,16.1,305200000,83.9,69.0,76.0,PG-13,ChristopherNolan,"EmmaThomas,ChristopherNolan",9-3-2020,58100000.0,7.4,461279,movie,Tenet,0,2020,150,"Action,Sci-Fi,Thriller"
5,Sonic the Hedgehog,5,Ben Schwartz,17.938,Idris Elba,26.498,Colleen O'Shaughnessey,6.945,Jim Carrey,24.867,James Marsden,19.282,319715683,148974665,46.6,170741018,53.4,63.0,93.0,PG,JeffFowler,"NealH.Moritz,TobyAscher,ToruNakahara,TakeshiIto",2-14-2020,146700000.0,6.5,117788,movie,Sonic the Hedgehog,0,2020,99,"Action,Adventure,Comedy"
6,Dolittle,6,Robert Downey Jr.,38.361,Antonio Banderas,18.301,Michael Sheen,13.665,Jim Broadbent,13.829,Jessie Buckley,26.822,245438444,77047065,31.4,168391379,68.6,15.0,76.0,PG,StephenGaghan,"JoeRoth,JeffKirschenbaum,SusanDowney",1-17-2020,77000000.0,5.6,61465,movie,Dolittle,0,2020,101,"Adventure,Comedy,Family"
7,Legend of Deification,7,Zheng Xi,0.748,Jiang Guangtao,2.115,Ji Guanlin,3.095,Feng Sheng,2.128,Ning Yang,2.635,240663149,214670,<0.1,240448479,99.9,,,,,,,,6.5,1725,movie,Jiang Ziya,0,2020,110,"Action,Adventure,Animation"
8,A Little Red Flower,8,Jackson Yee,10.104,Liu Haocun,4.784,Gao Yalin,6.225,Zhu Yuanyuan,1.45,Xia Yu,3.416,216000000,-,-,216000000,100,,,,,,,,6.7,546,movie,Song ni yi duo xiao hong hua,0,2020,122,"Drama,Family"
9,Birds of Prey,9,Margot Robbie,29.861,Ewan McGregor,15.899,Mary Elizabeth Winstead,26.06,Jurnee Smollett,11.34,Rosie Perez,7.446,201858461,84158461,41.7,117700000,58.3,,,,JorgeMontesi,,,,6.0,226048,movie,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,0,2020,109,"Action,Adventure,Comedy"
