,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,Avengers: Infinity War,"2,048,359,754","678,815,482",33.1,"1,369,544,272",66.9,85.0,91.0,PG-13,"AnthonyRusso,JoeRusso",KevinFeige,4-27-2018,678800000.0,8.5,999520,movie,Avengers: Infinity War,0,2018,149,"Action,Adventure,Sci-Fi"
1,Black Panther,"1,346,913,161","700,059,566",52,"646,853,595",48,96.0,79.0,PG-13,RyanCoogler,KevinFeige,2-16-2018,700200000.0,7.3,714730,movie,Black Panther,0,2018,134,"Action,Adventure,Sci-Fi"
2,Jurassic World: Fallen Kingdom,"1,308,467,944","417,719,760",31.9,"890,748,184",68.1,47.0,48.0,PG-13,JuanAntonioBayona,"FrankMarshall,BelénAtienza,PatrickCrowley",6-22-2018,416700000.0,6.2,295072,movie,Jurassic World: Fallen Kingdom,0,2018,128,"Action,Adventure,Sci-Fi"
3,Incredibles 2,"1,242,805,359","608,581,744",49,"634,223,615",51,93.0,84.0,PG,BradBird,"JohnWalker,NicoleParadisGrindle",6-15-2018,608600000.0,7.6,282733,movie,Incredibles 2,0,2018,118,"Action,Adventure,Animation"
4,Aquaman,"1,148,461,807","335,061,807",29.2,"813,400,000",70.8,65.0,73.0,PG-13,JamesWan,"PeterSafran,RobCowan",12-21-2018,335000000.0,6.9,437856,movie,Aquaman,0,2018,143,"Action,Adventure,Fantasy"
5,Bohemian Rhapsody,"903,655,259","216,428,042",24,"687,227,217",76,60.0,85.0,PG-13,BryanSinger,"GrahamKing,JimBeach,PeterOberth",11-2-2018,216300000.0,8.0,512505,movie,Bohemian Rhapsody,0,2018,134,"Biography,Drama,Music"
6,Venom,"856,085,151","213,515,506",24.9,"642,569,645",75.1,30.0,81.0,PG-13,RubenFleischer,"AviArad,MatthewTolmach,AmyPascal",10-5-2018,213500000.0,6.7,460725,movie,Venom,0,2018,112,"Action,Adventure,Sci-Fi"
7,Mission: Impossible - Fallout,"791,115,104","220,159,104",27.8,"570,956,000",72.2,97.0,88.0,PG-13,ChristopherMcQuarrie,"TomCruise,ChristopherMcQuarrie,JakeMyers,J.J.Abrams",7-27-2018,220100000.0,7.7,319150,movie,Mission: Impossible - Fallout,0,2018,147,"Action,Adventure,Thriller"
8,Deadpool 2,"734,546,611","318,491,426",43.4,"416,055,185",56.6,84.0,85.0,R,DavidLeitch,"RyanReynolds,SimonKinberg,LaurenShulerDonner",5-18-2018,324300000.0,7.7,548302,movie,Deadpool 2,0,2018,119,"Action,Adventure,Comedy"
9,Fantastic Beasts: The Crimes of Grindelwald,"654,855,901","159,555,901",24.4,"495,300,000",75.6,36.0,54.0,PG-13,DavidYates,"DavidHeyman,LionelWigram,SteveKloves,J.K.Rowling",11-16-2018,159400000.0,6.5,255280,movie,Fantastic Beasts: The Crimes of Grindelwald,0,2018,134,"Adventure,Family,Fantasy"
10,Ant-Man and the Wasp,"622,674,139","216,648,740",34.8,"406,025,399",65.2,87.0,81.0,PG-13,PeytonReed,"KevinFeige,StephenBroussard",7-6-2018,216600000.0,7.0,373994,movie,Ant-Man and the Wasp,0,2018,118,"Action,Adventure,Comedy"
11,Ready Player One,"582,890,172","137,690,172",23.6,"445,200,000",76.4,72.0,77.0,PG-13,StevenSpielberg,"StevenSpielberg,DonaldDeLine,DanFarah,KristieMacoskoKrieger",3-29-2018,137000000.0,7.4,417822,movie,Ready Player One,0,2018,140,"Action,Adventure,Sci-Fi"
12,Operation Red Sea,"579,330,426","1,543,547",0.3,"577,786,879",99.7,80.0,64.0,,DanteLam,"ZakariaAlaoui,DongYu",2-23-2018,1500000.0,6.6,7027,movie,Hong hai xing dong,0,2018,142,"Action,Drama,Thriller"
13,Detective Chinatown 2,"544,185,156","1,983,984",0.4,"542,201,172",99.6,54.0,66.0,R,ChenSiCheng,,2-16-2018,1500000.0,6.1,2504,movie,Tang ren jie tan an 2,0,2018,121,"Action,Comedy,Mystery"
14,The Meg,"530,243,742","145,443,742",27.4,"384,800,000",72.6,45.0,42.0,PG-13,JonTurteltaub,"LorenzodiBonaventura,ColinWilson,BelleAvery",8-10-2018,142800000.0,5.6,166085,movie,The Meg,0,2018,113,"Action,Horror,Sci-Fi"
15,Hotel Transylvania 3: Summer Vacation,"528,583,774","167,510,016",31.7,"361,073,758",68.3,62.0,48.0,PG,GenndyTartakovsky,MichelleMurdocca,7-13-2018,167500000.0,6.3,70524,movie,Hotel Transylvania 3: Summer Vacation,0,2018,97,"Adventure,Animation,Comedy"
16,The Grinch,"511,595,957","270,620,950",52.9,"240,975,007",47.1,59.0,51.0,PG,"ScottMosier,YarrowCheney","JanetHealy,ChristopherMeledandri",11-9-2018,270900000.0,6.3,67608,movie,The Grinch,0,2018,85,"Adventure,Animation,Comedy"
17,Bumblebee,"467,989,645","127,195,589",27.2,"340,794,056",72.8,90.0,74.0,PG-13,TravisKnight,"LorenzodiBonaventura,TomDeSanto,DonMurphy,MichaelBay,MarkVahradian",12-21-2018,127200000.0,6.7,158336,movie,Bumblebee,0,2018,114,"Action,Adventure,Sci-Fi"
