,Unnamed: 0,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,0,Avengers: Endgame,2797501328,858373000,30.7,1939128328,69.3,94.0,90.0,PG-13,"AnthonyRusso,JoeRusso",KevinFeige,4-26-2019,858400000.0,8.4,1034560,movie,Avengers: Endgame,0,2019,181,"Action,Adventure,Drama"
1,1,The Lion King,1656943394,543638043,32.8,1113305351,67.2,52.0,88.0,PG,JonFavreau,"JonFavreau,JeffreySilver,KarenGilchrist",7-19-2019,543600000.0,6.9,235732,movie,The Lion King,0,2019,118,"Adventure,Animation,Drama"
2,2,Frozen II,1450026933,477373578,32.9,972653355,67.1,77.0,92.0,PG,"ChrisBuck,JenniferLee",PeterDelVecho,11-22-2019,477400000.0,6.8,163102,movie,Frozen II,0,2019,103,"Adventure,Animation,Comedy"
3,3,Spider-Man: Far from Home,1131927996,390532085,34.5,741395911,65.5,90.0,95.0,PG-13,JonWatts,"KevinFeige,AmyPascal",7-2-2019,390700000.0,7.4,454626,movie,Spider-Man: Far from Home,0,2019,129,"Action,Adventure,Sci-Fi"
4,4,Captain Marvel,1128274794,426829839,37.8,701444955,62.2,79.0,45.0,PG-13,"AnnaBoden,RyanFleck",KevinFeige,3-8-2019,426800000.0,6.8,527037,movie,Captain Marvel,0,2019,123,"Action,Adventure,Sci-Fi"
5,5,Joker,1074251311,335451311,31.2,738800000,68.8,68.0,88.0,R,ToddPhillips,"ToddPhillips,BradleyCooper,EmmaTillingerKoskoff",10-4-2019,335400000.0,8.4,1172540,movie,Joker,0,2019,122,"Crime,Drama,Thriller"
6,6,Star Wars: Episode IX - The Rise of Skywalker,1074144248,515202542,48,558941706,52,,,,,,,,6.5,425565,movie,Star Wars: Episode IX - The Rise of Skywalker,0,2019,141,"Action,Adventure,Fantasy"
7,7,Toy Story 4,1073394593,434038008,40.4,639356585,59.6,97.0,94.0,G,JoshCooley,"MarkNielsen,JonasRivera,GalynSusman",6-21-2019,434000000.0,7.7,235938,movie,Toy Story 4,0,2019,100,"Adventure,Animation,Comedy"
8,8,Aladdin,1050693953,355559216,33.8,695134737,66.2,57.0,94.0,PG,GuyRitchie,"DanLin,JonathanEirich",5-24-2019,355600000.0,6.9,255653,movie,Aladdin,0,2019,128,"Adventure,Comedy,Family"
9,9,Jumanji: The Next Level,800059707,320314960,40,479744747,60,71.0,87.0,PG-13,JakeKasdan,"DanyGarcia,HiramGarcia,DwayneJohnson,JakeKasdan,MatthewTolmach",12-13-2019,316800000.0,6.7,235452,movie,Jumanji: The Next Level,0,2019,123,"Action,Adventure,Comedy"
10,10,Fast & Furious Presents: Hobbs & Shaw,759056935,173956935,22.9,585100000,77.1,67.0,88.0,PG-13,DavidLeitch,"DwayneJohnson,JasonStatham,ChrisMorgan,HiramGarcia",8-2-2019,173800000.0,6.5,204048,movie,Fast & Furious Presents: Hobbs & Shaw,0,2019,137,"Action,Adventure,Thriller"
11,11,Ne Zha,726063471,3695533,0.5,722367938,99.5,88.0,98.0,,YuYang,,9-6-2019,3700000.0,7.4,7320,movie,Ne Zha zhi mo tong jiang shi,0,2019,110,"Action,Adventure,Animation"
12,12,The Wandering Earth,699856699,5971413,0.9,693885286,99.1,69.0,48.0,,FrantGwo,GongGeer,2-8-2019,2200000.0,5.9,29900,movie,Liu lang di qiu,0,2019,125,"Action,Adventure,Sci-Fi"
13,13,How to Train Your Dragon: The Hidden World,521799505,160799505,30.8,361000000,69.2,90.0,86.0,PG,DeanDeBlois,"BradLewis,BonnieArnold",2-22-2019,160800000.0,7.4,121790,movie,How to Train Your Dragon: The Hidden World,0,2019,104,"Action,Adventure,Animation"
14,14,Maleficent: Mistress of Evil,491730089,113929605,23.2,377800484,76.8,39.0,95.0,PG,JoachimRønning,"JoeRoth,AngelinaJolie,DuncanHenderson",10-18-2019,113900000.0,6.6,100398,movie,Maleficent: Mistress of Evil,0,2019,119,"Adventure,Family,Fantasy"
15,15,It Chapter Two,473093228,211593228,44.7,261500000,55.3,62.0,78.0,R,AndyMuschietti,"DanLin,RoyLee,BarbaraMuschietti",9-6-2019,211600000.0,6.5,246287,movie,It Chapter Two,0,2019,169,"Drama,Fantasy,Horror"
16,16,"My People, My Country",450064993,2356683,0.5,447708310,99.5,,68.0,,"ChenKaige,HuGuan",JianxinHuang,,2400000.0,6.4,1774,movie,Wo he wo de zu guo,0,2019,154,"Drama,History"
