,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Harry Potter and the Deathly Hallows: Part 2,5001,1487,3118,396
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Transformers: Dark of the Moon,4985,1290,3059,636
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Pirates of the Caribbean: On Stranger Tides,4991,1149,3381,461
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,The Twilight Saga: Breaking Dawn - Part 1,4994,684,4123,187
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Mission: Impossible - Ghost Protocol,4997,1618,181,3198
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Kung Fu Panda 2,4982,567,79,4336
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Fast Five,4995,2075,2264,656
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,The Hangover Part II,4992,1386,2935,671
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,The Smurfs,4997,1908,2106,983
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Cars 2,4994,2315,2054,625
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Puss in Boots,4998,2212,2365,421
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Sherlock Holmes: A Game of Shadows,4996,947,3813,236
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Rio,4989,2449,1747,793
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Rise of the Planet of the Apes,4998,2209,2225,564
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Thor,4992,2445,1830,717
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,The Intouchables,4616,2217,2157,242
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,The Adventures of Tintin,4992,4729,48,215
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Captain America: The First Avenger,5000,966,3683,351
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,X-Men: First Class,4997,2260,2157,580
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Alvin and the Chipmunks: Chipwrecked,5000,1151,3641,208
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Real Steel,5000,2485,2010,505
