Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets,Score
Frozen,2500,1094,942,464,0.40436457
Iron Man 3,2500,1019,1186,295,0.5509893455
Despicable Me 2,2500,1058,1195,247,0.6214559387
The Hobbit: The Desolation of Smaug,2500,505,1765,230,0.3741496599
The Hunger Games: Catching Fire,2500,406,51,2043,-0.6684360964
Fast & Furious 6,2500,350,106,2044,-0.7076023392
Monsters University,2500,779,1459,262,0.4966378482
Gravity,2500,1020,1012,468,0.3709677419
Man of Steel,2500,1055,1025,420,0.4305084746
Thor: The Dark World,2500,806,1529,165,0.6601441813
The Croods,2500,1303,1042,155,0.7873799726
World War Z,2500,361,56,2083,-0.7045826514
Oz the Great and Powerful,2500,2486,2,12,0.9903923139
Star Trek Into Darkness,2500,859,79,1562,-0.2903758777
The Wolverine,2500,964,1199,337,0.4819369716
Pacific Rim,2500,1234,841,425,0.4876431585
The Wolf of Wall Street,2500,813,1167,520,0.2198049512
G.I. Joe: Retaliation,2500,602,1734,164,0.5718015666
The Hangover Part III,2500,488,1706,306,0.2292191436
The Great Gatsby,2500,2401,13,86,0.9308403699
Now You See Me,2500,1117,1110,273,0.6071942446
The Smurfs 2,2500,756,1602,142,0.6837416481
The Conjuring,2500,710,1214,576,0.1041990669
A Good Day to Die Hard,2500,835,38,1627,-0.3216896832
Oblivion,2500,1042,1040,418,0.4273972603
Elysium,2317,900,1068,349,0.4411529223
Turbo,2400,1064,984,352,0.5028248588
Cloudy with a Chance of Meatballs 2,2500,2353,7,140,0.8876855195
Epic,2500,1096,857,547,0.334144857
The Lone Ranger,2500,666,39,1795,-0.458756603
American Hustle,2500,1001,1268,231,0.625
Grown Ups 2,2500,932,1284,284,0.5328947368
After Earth,2500,789,1279,432,0.2923832924
Planes,1520,528,641,351,0.2013651877
Hansel & Gretel: Witch Hunters,2500,492,36,1972,-0.6006493506
Captain Phillips,2500,1054,1132,314,0.5409356725
White House Down,2500,1198,942,360,0.5378690629
Percy Jackson: Sea of Monsters,2500,1259,1105,136,0.8050179211
Jack the Giant Slayer,2500,871,1267,362,0.4128142741
12 Years a Slave,2500,1079,1037,384,0.4750512645
Lee Daniels' The Butler,2500,554,1783,163,0.5453277545
Identity Thief,2500,583,189,1728,-0.4954565123
Anchorman 2: The Legend Continues,2500,543,1840,117,0.6454545455
Olympus Has Fallen,2500,742,183,1575,-0.3595166163
Insidious: Chapter 2,2500,592,1576,332,0.2813852814
Lone Survivor,2500,1822,168,510,0.5626072041
Jackass Presents: Bad Grandpa,2500,69,4,2427,-0.9447115385
47 Ronin,2500,955,1041,504,0.3091158328
RED 2,2500,854,1324,322,0.4523809524
Mama,1461,589,467,405,0.185110664
Escape Plan,2500,1974,258,268,0.7609277431
2 Guns,2500,1046,1119,335,0.5148443157
This Is the End,2500,1060,1125,315,0.5418181818
Ender's Game,2500,1085,1064,351,0.5111420613
Prisoners,2500,488,88,1924,-0.5953565506
Saving Mr. Banks,2500,1488,785,227,0.7352769679
Warm Bodies,2500,2069,185,246,0.7874730022
Personal Tailor,679,255,347,77,0.5361445783
Free Birds,2500,1931,459,110,0.8922097011
Gangster Squad,2500,1140,1010,350,0.5302013423
Instructions Not Included,2500,1028,1103,369,0.4717251253
Philomena,2500,1173,990,337,0.5536423841
Blue Jasmine,2500,1068,1209,223,0.654531371
Riddick,2500,844,1269,387,0.371242892
Safe Haven,2500,2143,167,190,0.8371195885
Evil Dead,2500,177,129,2194,-0.8506959089
42,2500,850,1236,414,0.3449367089
The Mortal Instruments: City of Bones,2500,585,1746,169,0.5517241379
Rush,2500,714,1341,445,0.232096635
Police Story: Lockdown,606,109,433,64,0.2601156069
The Internship,2500,1210,1039,251,0.6563997262
The Purge,2500,733,1175,592,0.1064150943
Dhoom 3,2500,1054,945,501,0.3556270096
Pain & Gain,2500,1236,800,464,0.4541176471
About Time,2500,985,1185,330,0.4980988593
Snowpiercer,2500,1271,867,362,0.5566442131
Carrie,2500,1033,981,486,0.3601053325
The Family,2500,1215,889,396,0.5083798883
Scary Movie V,2500,265,119,2116,-0.7774044519
R.I.P.D.,2500,878,1057,565,0.2169092169
Tiny Times,795,219,447,129,0.2586206897
The Book Thief,2500,827,155,1518,-0.2946695096
Escape from Planet Earth,2500,2368,73,59,0.9513803049
August: Osage County,2500,1064,1109,327,0.5298346513
The Best Man Holiday,2500,2411,7,82,0.9342158043
The Counselor,2500,736,1193,571,0.1262433053
The Call,2500,1004,1065,431,0.3993031359
One Direction: This Is Us,2500,1767,647,86,0.9071775499
Thunder and the House of Magic,284,62,107,115,-0.2994350282
The Grandmaster,2500,549,1676,275,0.3325242718
Side Effects,2500,688,1332,480,0.1780821918
The Host,2500,1409,475,616,0.3916049383
Runner Runner,2500,958,1081,461,0.3502466526
The Face Reader,738,357,337,44,0.7805486284
The Legend of Hercules,2500,602,1609,289,0.3512906846
Kick-Ass 2,2500,984,1186,330,0.497716895
A Haunted House,2500,542,160,1798,-0.5367521368
Beautiful Creatures,2500,2175,184,141,0.878238342
Snitch,2500,704,906,890,-0.1166875784
The Physician,1794,578,746,470,0.1030534351
Dallas Buyers Club,2500,972,1205,323,0.5011583012
A Madea Christmas,2500,1028,1270,202,0.6715447154
Temptation: Confessions of a Marriage Counselor,1518,396,998,124,0.5230769231
Delivery Man,2500,942,1137,421,0.3822450477
Dragon Ball Z: Battle of Gods,2500,802,53,1645,-0.3445034736
The Berlin File,878,434,331,113,0.5868372943
Her,2500,1162,618,720,0.2348565356
Homefront,2500,794,1421,285,0.4717330862
The Last Stand,2500,765,1418,317,0.4140480591
21 & Over,2500,1146,995,359,0.522923588
Texas Chainsaw,2500,814,1006,680,0.08969210174
The Place Beyond the Pines,2500,900,1337,263,0.5477214101
Parker,2500,1088,893,519,0.3540759179
The Big Wedding,2500,913,1360,227,0.601754386
The World's End,2500,1108,1016,376,0.4932614555
Grudge Match,2500,1162,1021,317,0.5713319811
Tarzan,2384,1069,870,445,0.4121532365
Jobs,2500,1280,812,408,0.5165876777
No Man's Land,2500,753,210,1537,-0.3423580786
Don Jon,2500,1208,959,333,0.5678131084
"Like Father, Like Son",2325,2252,11,62,0.9464131374
The Terror Live,788,218,15,555,-0.4359637775
Hide and Seek,2500,1217,266,1017,0.08952551477
Broken City,2500,512,253,1735,-0.5442812639
Inside Llewyn Davis,2500,1207,968,325,0.5757180157
Mud,2500,1120,822,558,0.3349225268
Kevin Hart: Let Me Explain,2500,1281,821,398,0.5259082787
Underdogs,2500,1344,742,414,0.5290102389
Spring Breakers,2500,964,1127,409,0.4042243263
New World,2500,1165,993,342,0.5461181155
Special ID,940,611,282,47,0.8571428571
I Give It a Year,2500,958,1305,237,0.6033472803
Mandela: Long Walk to Freedom,2500,2305,162,33,0.9717707442
Dark Skies,2500,842,943,715,0.08156711625
Nebraska,2500,1067,1037,396,0.4586466165
The Incredible Burt Wonderstone,2500,1075,1256,169,0.7282958199
Khumba,668,322,294,52,0.7219251337
You're Next,2500,1425,566,509,0.4736297828
The Way Way Back,2500,1074,930,496,0.3681528662
Unbeatable,2500,1675,591,234,0.7548454688
Enough Said,2500,783,1410,307,0.4366972477
The Last Exorcism Part II,2500,388,1583,529,-0.1537622683
Drug War,2500,200,187,2113,-0.8270644185
The Tale of The Princess Kaguya,1335,589,627,119,0.6638418079
Trance,2500,1175,1029,296,0.5975526852
The Railway Man,2500,640,1506,354,0.2877263581
