,Movie,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Unnamed: 0.1.1,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,Avengers: Infinity War,Robert Downey Jr.,38.361,Chris Hemsworth,36.221,Mark Ruffalo,9.185,Chris Evans,15.319,Scarlett Johansson,38.188,0,2048359754,678815482,33.1,1369544272,66.9,85.0,91.0,PG-13,"AnthonyRusso,JoeRusso",KevinFeige,4-27-2018,678800000.0,8.5,999520,movie,Avengers: Infinity War,0,2018,149,"Action,Adventure,Sci-Fi"
1,Black Panther,Chadwick Boseman,13.943,Michael B. Jordan,17.315,Lupita Nyong'o,14.456,Danai Gurira,10.465,Martin Freeman,18.272,1,1346913161,700059566,52,646853595,48,96.0,79.0,PG-13,RyanCoogler,KevinFeige,2-16-2018,700200000.0,7.3,714730,movie,Black Panther,0,2018,134,"Action,Adventure,Sci-Fi"
2,Jurassic World: Fallen Kingdom,Chris Pratt,27.826,Bryce Dallas Howard,24.741,Rafe Spall,11.42,Justice Smith,14.942,Daniella Pineda,18.908,2,1308467944,417719760,31.9,890748184,68.1,47.0,48.0,PG-13,JuanAntonioBayona,"FrankMarshall,BelénAtienza,PatrickCrowley",6-22-2018,416700000.0,6.2,295072,movie,Jurassic World: Fallen Kingdom,0,2018,128,"Action,Adventure,Sci-Fi"
3,Incredibles 2,Craig T. Nelson,11.53,Holly Hunter,13.252,Sarah Vowell,2.432,Huck Milner,1.4,Samuel L. Jackson,56.705,3,1242805359,608581744,49,634223615,51,93.0,84.0,PG,BradBird,"JohnWalker,NicoleParadisGrindle",6-15-2018,608600000.0,7.6,282733,movie,Incredibles 2,0,2018,118,"Action,Adventure,Animation"
4,Aquaman,Jason Momoa,40.145,Amber Heard,34.35,Willem Dafoe,27.4,Patrick Wilson,31.977,Nicole Kidman,23.379,4,1148461807,335061807,29.2,813400000,70.8,65.0,73.0,PG-13,JamesWan,"PeterSafran,RobCowan",12-21-2018,335000000.0,6.9,437856,movie,Aquaman,0,2018,143,"Action,Adventure,Fantasy"
5,Bohemian Rhapsody,Rami Malek,20.994,Gwilym Lee,3.863,Ben Hardy,17.119,Joseph Mazzello,11.207,Lucy Boynton,20.206,5,903655259,216428042,24,687227217,76,60.0,85.0,PG-13,BryanSinger,"GrahamKing,JimBeach,PeterOberth",11-2-2018,216300000.0,8.0,512505,movie,Bohemian Rhapsody,0,2018,134,"Biography,Drama,Music"
6,Venom,Tom Hardy,59.898,Michelle Williams,20.576,Riz Ahmed,11.599,Scott Haze,12.219,Reid Scott,6.303,6,856085151,213515506,24.9,642569645,75.1,30.0,81.0,PG-13,RubenFleischer,"AviArad,MatthewTolmach,AmyPascal",10-5-2018,213500000.0,6.7,460725,movie,Venom,0,2018,112,"Action,Adventure,Sci-Fi"
7,Mission: Impossible - Fallout,Tom Cruise,34.075,Henry Cavill,46.737,Ving Rhames,12.542,Simon Pegg,15.527,Rebecca Ferguson,48.521,7,791115104,220159104,27.8,570956000,72.2,97.0,88.0,PG-13,ChristopherMcQuarrie,"TomCruise,ChristopherMcQuarrie,JakeMyers,J.J.Abrams",7-27-2018,220100000.0,7.7,319150,movie,Mission: Impossible - Fallout,0,2018,147,"Action,Adventure,Thriller"
8,Deadpool 2,Ryan Reynolds,40.796,Josh Brolin,39.186,Morena Baccarin,26.355,Julian Dennison,7.169,Zazie Beetz,17.431,8,734546611,318491426,43.4,416055185,56.6,84.0,85.0,R,DavidLeitch,"RyanReynolds,SimonKinberg,LaurenShulerDonner",5-18-2018,324300000.0,7.7,548302,movie,Deadpool 2,0,2018,119,"Action,Adventure,Comedy"
9,Fantastic Beasts: The Crimes of Grindelwald,Eddie Redmayne,33.428,Katherine Waterston,17.555,Dan Fogler,23.174,Alison Sudol,17.15,Johnny Depp,50.461,9,654855901,159555901,24.4,495300000,75.6,36.0,54.0,PG-13,DavidYates,"DavidHeyman,LionelWigram,SteveKloves,J.K.Rowling",11-16-2018,159400000.0,6.5,255280,movie,Fantastic Beasts: The Crimes of Grindelwald,0,2018,134,"Adventure,Family,Fantasy"
10,Ant-Man and the Wasp,Paul Rudd,34.179,Evangeline Lilly,22.94,Michael Peña,22.593,Walton Goggins,15.255,Bobby Cannavale,12.744,10,622674139,216648740,34.8,406025399,65.2,87.0,81.0,PG-13,PeytonReed,"KevinFeige,StephenBroussard",7-6-2018,216600000.0,7.0,373994,movie,Ant-Man and the Wasp,0,2018,118,"Action,Adventure,Comedy"
11,Ready Player One,Tye Sheridan,21.473,Olivia Cooke,24.151,Ben Mendelsohn,17.814,Lena Waithe,4.6,T. J. Miller,14.522,11,582890172,137690172,23.6,445200000,76.4,72.0,77.0,PG-13,StevenSpielberg,"StevenSpielberg,DonaldDeLine,DanFarah,KristieMacoskoKrieger",3-29-2018,137000000.0,7.4,417822,movie,Ready Player One,0,2018,140,"Action,Adventure,Sci-Fi"
12,Operation Red Sea,Zhang Yi,14.343,Johnny Huang,6.843,Hai Qing,4.656,Du Jiang,3.485,Jiang Luxia,5.286,12,579330426,1543547,0.3,577786879,99.7,80.0,64.0,,DanteLam,"ZakariaAlaoui,DongYu",2-23-2018,1500000.0,6.6,7027,movie,Hong hai xing dong,0,2018,142,"Action,Drama,Thriller"
13,Detective Chinatown 2,Baoqiang Wang,6.389,Liu Haoran,8.529,Xiao Yang,5.011,Natasha Liu Bordizzo,10.429,Shang Yuxian,7.37,13,544185156,1983984,0.4,542201172,99.6,54.0,66.0,R,ChenSiCheng,,2-16-2018,1500000.0,6.1,2504,movie,Tang ren jie tan an 2,0,2018,121,"Action,Comedy,Mystery"
14,The Meg,Jason Statham,68.171,Li Bingbing,28.462,Rainn Wilson,23.401,Cliff Curtis,16.479,Ruby Rose,20.667,14,530243742,145443742,27.4,384800000,72.6,45.0,42.0,PG-13,JonTurteltaub,"LorenzodiBonaventura,ColinWilson,BelleAvery",8-10-2018,142800000.0,5.6,166085,movie,The Meg,0,2018,113,"Action,Horror,Sci-Fi"
