,Movie,Unnamed: 0,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,Spider-Man: No Way Home,0,Tom Holland,128.32,Zendaya,47.236,Benedict Cumberbatch,39.658,Jacob Batalon,23.293,Jon Favreau,13.562,1884731501,797731501,42.3,1087000000,57.7,93.0,98.0,PG-13,JonWatts,"KevinFeige,AmyPascal",12-17-2021,804200000.0,8.5,571177,movie,Spider-Man: No Way Home,0,2021,148,"Action,Adventure,Fantasy"
1,The Battle at Lake Changjin,1,Wu Jing,19.876,Jackson Yee,10.104,Duan Yihong,3.692,Yawen Zhu,4.605,Jerry Lee,1.725,902540935,342411,<0.1,902198524,100,25.0,100.0,,"ChenKaige,DanteLam,HarkTsui","ChenHong,DefuJiang,CandyLeung,NansunShi,DongYu",11-19-2021,,5.3,2448,movie,Chang jin hu,0,2021,176,"Action,Drama,History"
2,"Hi, Mom",2,Robert De Niro,28.296,Jennifer Salt,6.741,Allen Garfield,6.661,Charles Durning,8.936,Lara Parker,4.403,822009764,-,-,822009764,100,,,,LingJia,,,,7.0,1862,movie,"Ni hao, Li Huanying",0,2021,128,"Comedy,Romance"
3,No Time to Die,3,Daniel Craig,18.56,Léa Seydoux,24.524,Rami Malek,20.994,Lashana Lynch,9.276,Ralph Fiennes,32.618,774153007,160891007,20.8,613262000,79.2,83.0,88.0,PG-13,CaryJojiFukunaga,"MichaelG.Wilson,BarbaraBroccoli",10-8-2021,160800000.0,7.3,334772,movie,No Time to Die,0,2021,163,"Action,Adventure,Thriller"
4,F9: The Fast Saga,4,Vin Diesel,29.696,Michelle Rodriguez,23.481,Tyrese Gibson,8.218,Ludacris,17.428,John Cena,15.948,726229501,173005945,23.8,553223556,76.2,,,,,,,,5.2,119893,movie,F9,0,2021,143,"Action,Crime,Thriller"
5,Detective Chinatown 3,5,Baoqiang Wang,6.389,Liu Haoran,8.529,Satoshi Tsumabuki,9.482,Tony Jaa,13.728,Masami Nagasawa,13.437,686257563,-,-,686257563,100,,,,,,,,5.6,1762,movie,Detective Chinatown 3,0,2021,136,"Action,Adventure,Comedy"
6,Venom: Let There Be Carnage,6,Tom Hardy,59.898,Woody Harrelson,19.341,Michelle Williams,20.576,Naomie Harris,15.392,Reid Scott,6.303,502050366,213550366,42.5,288500000,57.5,59.0,84.0,PG-13,AndySerkis,"AviArad,MatthewTolmach,AmyPascal,KellyMarcel,TomHardy,HutchParker",10-1-2021,213500000.0,6.0,187508,movie,Venom: Let There Be Carnage,0,2021,97,"Action,Adventure,Sci-Fi"
7,Godzilla vs. Kong,7,Alexander Skarsgård,19.231,Millie Bobby Brown,16.633,Rebecca Hall,27.441,Brian Tyree Henry,9.253,Shun Oguri,11.892,468216094,100916094,21.6,367300000,78.4,75.0,91.0,PG-13,AdamWingard,"MaryParent,AlexGarcia,EricMcLeod,JonJashni,ThomasTull,BrianRogers",3-31-2021,100400000.0,6.3,195188,movie,Godzilla vs. Kong,0,2021,113,"Action,Sci-Fi,Thriller"
8,Shang-Chi and the Legend of the Ten Rings,8,Simu Liu,10.829,Tony Leung Chiu-wai,21.703,Awkwafina,44.339,Meng'er Zhang,12.261,Fala Chen,11.257,432243292,224543292,51.9,207700000,48.1,91.0,98.0,PG-13,DestinDanielCretton,"KevinFeige,JonathanSchwartz",9-3-2021,224500000.0,7.5,340771,movie,Shang-Chi and the Legend of the Ten Rings,0,2021,132,"Action,Adventure,Fantasy"
9,Eternals,9,Gemma Chan,24.587,Richard Madden,25.349,Angelina Jolie,13.484,Kumail Nanjiani,12.183,Barry Keoghan,35.54,402064899,164870234,41,237194665,59,47.0,78.0,PG-13,ChloéZhao,"KevinFeige,NateMoore",11-5-2021,164900000.0,6.4,284407,movie,Eternals,0,2021,156,"Action,Adventure,Fantasy"
10,Dune,10,Timothée Chalamet,34.52,Rebecca Ferguson,48.521,Oscar Isaac,60.716,Josh Brolin,39.186,Stellan Skarsgård,20.205,400576297,108232338,27,292343959,73,83.0,90.0,PG-13,DenisVilleneuve,"DenisVilleneuve,MaryParent,CaleBoyter,JosephCaraccioloJr.",10-22-2021,108300000.0,8.1,534282,movie,Dune: Part One,0,2021,155,"Action,Adventure,Drama"
11,Black Widow,11,Scarlett Johansson,38.188,Florence Pugh,21.962,Rachel Weisz,14.704,David Harbour,14.309,Ray Winstone,9.559,379751655,183651655,48.4,196100000,51.6,79.0,91.0,PG-13,CateShortland,KevinFeige,7-9-2021,183600000.0,6.7,345137,movie,Black Widow,0,2021,134,"Action,Adventure,Sci-Fi"
12,Sing 2,12,Matthew McConaughey,20.491,Reese Witherspoon,14.224,Scarlett Johansson,38.188,Taron Egerton,16.392,Bobby Cannavale,12.744,377219695,158549695,42,218670000,58,71.0,98.0,PG,GarthJennings,"ChristopherMeledandri,JanetHealy",12-22-2021,162500000.0,7.5,42175,movie,Sing 2,0,2021,110,"Adventure,Animation,Comedy"
13,Free Guy,13,Ryan Reynolds,40.796,Jodie Comer,29.463,Joe Keery,10.688,Lil Rel Howery,8.914,Utkarsh Ambudkar,25.799,331526598,121626598,36.7,209900000,63.3,80.0,94.0,PG-13,ShawnLevy,"RyanReynolds,ShawnLevy,SarahSchechter,GregBerlanti,AdamKolbrenner",8-13-2021,121600000.0,7.2,321996,movie,Free Guy,0,2021,115,"Action,Adventure,Comedy"
14,Encanto,14,Stephanie Beatriz,24.028,María Cecilia Botero,8.068,John Leguizamo,11.213,Mauro Castillo,2.457,Jessica Darrow,8.827,251654619,95924633,38.1,155729986,61.9,91.0,93.0,PG,"JaredBush,ByronHoward","YvettMerinoFlores,ClarkSpencer",11-24-2021,96100000.0,7.3,178966,movie,Encanto,0,2021,102,"Animation,Comedy,Family"
15,Cruella,15,Emma Stone,40.711,Emma Thompson,24.804,Joel Fry,28.613,Paul Walter Hauser,17.355,Mark Strong,25.911,233503234,86103234,36.9,147400000,63.1,74.0,97.0,PG-13,CraigGillespie,"AndrewGunn,MarcPlatt,KristinBurr",5-28-2021,86100000.0,7.4,216592,movie,Cruella,0,2021,134,"Adventure,Comedy,Crime"
16,"My Country, My Parents",16,Wu Jing,19.876,Zhang Ziyi,14.867,Xu Zheng,4.063,Shen Teng,10.846,Huang Xuan,11.613,221701823,166807,<0.1,221535016,99.9,,,,"TengShen,JingWu,ZhengXu,ZhangZiyi",,10-8-2021,,6.0,308,movie,Wo he wo de fu bei,0,2021,157,Drama
