Movie Title,budget,tmdb_popularity,imdbRating,imdbNumVotes,runtimeMinutes,genres,Score_Rotten,Score_Rotten_Audience,Rating,Release-Date,NumTheatres,mean_google_trend_popularity,director_popularity,producer_popularity,actors_popularity,Revenue-Worldwide,Revenue-Domestic,TwitterScore,Profit,final_budget,percent_diff
Umizaru 3: The Last Message,0,0.84,5.9,200,\N,Drama,,,,2010-09-18,,,0.0,0.0,,98663381,,,#DIV/0!,0.0,0.0
Bayside Shakedown 3: Set the Guys Loose,0,1.502,5.5,309,141,Drama,,,,1899-12-30,,,0.0,0.0,2.6394,85347374,,,#DIV/0!,0.0,0.0
If You Are the One 2,0,2.164,5.9,1517,120,"Comedy,Romance",,67.0,,2010-12-22,,32.5,5.947,3.5195,8.1402,76085443,,63.33333333,#DIV/0!,0.0,0.0
Pokémon: Zoroark: Master of Illusions,0,26.271,6.1,1985,96,"Action,Animation,Family",,70.0,,2010-07-10,,,6.304,0.0,4.6892,71143529,,,#DIV/0!,0.0,0.0
A Turtle's Tale: Sammy's Adventures,0,15.389,6.0,7424,88,"Adventure,Animation,Family",44.0,47.0,PG,2010-06-12,,,1.708,0.0,14.0872,71594792,,,#DIV/0!,0.0,0.0
Veda - Atatürk,0,1.749,7.3,7078,114,"Biography,Drama,History",,67.0,,1899-12-30,,,1.32,0.0,1.6706,55024621,,,#DIV/0!,0.0,0.0
Heartbreaker,0,1.035,4.6,99,90,"Drama,Romance",,,R,2010-03-17,,74.25,0.6,0.0,,48023509,,-56.16896696,#DIV/0!,10000000.0,inf
StreetDance 2,0,18.254,5.6,9244,85,"Drama,Music,Romance",41.0,38.0,,2012-03-30,,49.875,0.0,2.178,6.2108,46960833,,74.74320242,#DIV/0!,8960000.0,inf
The Man from Nowhere,0,1.4,6.9,106,59,"Drama,Mystery",,,,2010-08-04,,47.625,0.98,1.865333333,0.962,44723232,,48,#DIV/0!,0.0,0.0
SP: The Motion Picture I,0,1.034,5.7,125,\N,Drama,,,,1899-12-30,,,0.0,0.0,5.144,39674739,,,#DIV/0!,0.0,0.0
Kokkuri-san: Gekijô-ban,0,0.6,4.1,12,\N,Horror,,,,1899-12-30,,,0.0,0.0,0.756,37982240,,,#DIV/0!,0.0,0.0
Detective Conan: The Lost Ship in the Sky,0,11.09,7.0,1616,103,"Action,Adventure,Animation",,,,2010-04-17,,,0.0,0.0,8.1698,36407407,,,#DIV/0!,0.0,0.0
Secret Reunion,0,8.053,6.9,3947,117,"Action,Drama,Thriller",,,,2010-02-04,,44.75,0.0,0.0,9.2634,36298578,,89.47368421,#DIV/0!,0.0,0.0
Sacrifice,0,25.338,4.6,916,87,"Horror,Mystery,Thriller",,,,,,92.5,0.0,0.0,3.3068,29093560,,38.09300141,#DIV/0!,0.0,0.0
Liar Game: The Final Stage,0,4.788,7.1,1197,133,"Drama,Thriller",,,,2010-03-06,,,0.0,0.0,6.862,24658706,,,#DIV/0!,0.0,0.0
Act of Vengeance,0,3.98,5.5,881,90,"Crime,Drama,Horror",,57.0,,2017-10-27,,35.625,1.952,0.0,4.1186,23423390,,47.36842105,#DIV/0!,21000000000000.0,inf
Under the Hawthorn Tree,0,7.499,7.1,3177,114,"Drama,Romance",,76.0,,2010-09-15,,,9.165,1.460333333,4.5178,23004431,,100,#DIV/0!,0.0,0.0
Recep Ivedik 3,0,6.24,4.0,18993,95,Comedy,,32.0,,2010-02-12,,56.0,3.731,1.089,,22588876,,100,#DIV/0!,0.0,0.0
Inazuma Eleven GO the Movie: The Ultimate Bonds Gryphon,0,11.276,7.3,42,90,Animation,,,,1899-12-30,,,0.0,0.0,5.2874,21645379,,,#DIV/0!,0.0,0.0
About Her Brother,0,2.918,7.0,793,126,Drama,,,,1899-12-30,,,0.0,0.0,4.7386,19969473,,,#DIV/0!,0.0,0.0
Trick the Movie: Psychic Battle Royale,0,2.869,6.0,238,119,Mystery,,,,1899-12-30,,,0.0,0.0,8.9086,19795115,,,#DIV/0!,0.0,0.0
Hot Summer Days,0,1.487,6.1,882,93,"Comedy,Romance",50.0,52.0,PG,1899-12-30,,,0.0,0.0,6.656,19573451,,,#DIV/0!,0.0,0.0
Hankyu Railways - A 15-minute Miracle,0,2.458,6.7,224,119,Comedy,,,,1899-12-30,,,0.0,0.0,6.1776,118799256,,,#DIV/0!,0.0,0.0
Beginning of the Great Revival,0,6.337,2.9,6226,140,"Drama,History",25.0,28.0,,1899-12-30,,,0.0,0.0,12.8846,58309289,,,#DIV/0!,0.0,0.0
A Ghost of a Chance,0,0.83,6.6,42,50,"Drama,Family",,,,1899-12-30,,41.875,0.766,0.828,3.1126,53982636,,-47.53146176,#DIV/0!,0.0,0.0
Detective Conan: Quarter of Silence,0,12.768,6.7,1553,109,"Action,Adventure,Animation",,,,1899-12-30,,12.5,0.0,0.0,6.1018,42808575,,76,#DIV/0!,0.0,0.0
Gantz,0,40.465,6.4,7731,130,"Action,Horror,Sci-Fi",,58.0,,1899-12-30,,46.625,5.113,1.553,5.7664,40568961,,38.75,#DIV/0!,1638000.0,inf
SP: The Motion Picture II,0,0.689,6.6,98,129,Drama,,,,1899-12-30,,,0.0,0.0,5.224,40255101,,,#DIV/0!,0.0,0.0
Eiga Kaibutsukun,0,1.8,5.2,54,103,"Adventure,Comedy,Fantasy",,,,1899-12-30,,,0.0,0.0,4.1272,39766344,,,#DIV/0!,0.0,0.0
Gantz: Perfect Answer,0,34.458,6.2,4295,141,"Action,Horror,Mystery",,50.0,,1899-12-30,,26.0,5.113,1.553,7.3506,33672515,,93.36492891,#DIV/0!,1638000.0,inf
Detective K: Secret of Virtuous Widow,0,9.037,6.2,1009,115,"Action,Comedy,Crime",,,,1899-12-30,,,0.0,0.0,8.1252,32358664,,,#DIV/0!,0.0,0.0
"All's Well, Ends Well 2011",0,4.536,4.9,399,118,Comedy,,24.0,,1899-12-30,,,0.0,0.0,6.2602,31335572,,100,#DIV/0!,0.0,0.0
Doraemon: Nobita and the New Steel Troops: ~Winged Angels~,0,57.215,7.9,1206,108,"Action,Adventure,Animation",,,,1899-12-30,,,0.0,0.0,8.4048,30236973,,,#DIV/0!,0.0,0.0
My Own Swordsman,0,2.458,5.1,387,92,"Action,Comedy",,,,1899-12-30,,,0.0,0.0,4.2328,30082188,,90,#DIV/0!,0.0,0.0
