,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,The Avengers,"1,518,812,988","623,357,910",41,"895,455,078",59,,,,JohnH.Auer,,,,8.1,1347324,movie,The Avengers,0,2012,143,"Action,Adventure,Sci-Fi"
1,Skyfall,"1,108,561,013","304,360,277",27.5,"804,200,736",72.5,92.0,86.0,PG-13,SamMendes,"MichaelG.Wilson,BarbaraBroccoli",11-9-2012,304400000.0,7.8,682291,movie,Skyfall,0,2012,143,"Action,Adventure,Thriller"
2,The Dark Knight Rises,"1,081,041,287","448,139,099",41.5,"632,902,188",58.5,87.0,90.0,PG-13,ChristopherNolan,"EmmaThomas,ChristopherNolan,CharlesRoven",7-20-2012,2000000.0,8.4,1640861,movie,The Dark Knight Rises,0,2012,164,"Action,Crime,Drama"
3,The Hobbit: An Unexpected Journey,"1,017,003,568","303,003,568",29.8,"714,000,000",70.2,64.0,83.0,PG-13,PeterJackson,"CarolynneCunningham,ZaneWeiner,FranWalsh,PeterJackson",12-14-2012,303000000.0,7.8,800714,movie,The Hobbit: An Unexpected Journey,0,2012,169,"Adventure,Fantasy"
4,Ice Age 4: Continental Drift,"877,244,782","161,321,843",18.4,"715,922,939",81.6,37.0,62.0,PG,"SteveMartino,MikeThurmeier","LoriForte,JohnC.Donkin",7-13-2012,,6.5,204792,movie,Ice Age: Continental Drift,0,2012,88,"Adventure,Animation,Comedy"
5,The Twilight Saga: Breaking Dawn - Part 2,"829,746,820","292,324,737",35.2,"537,422,083",64.8,49.0,70.0,PG-13,BillCondon,"WyckGodfrey,KarenRosenfelt,StephenieMeyer",11-16-2012,292300000.0,5.6,244509,movie,The Twilight Saga: Breaking Dawn - Part 2,0,2012,115,"Adventure,Drama,Fantasy"
6,The Amazing Spider-Man,"757,930,663","262,030,663",34.6,"495,900,000",65.4,72.0,77.0,PG-13,MarcWebb,"LauraZiskin,AviArad,MatthewTolmach",7-3-2012,262000000.0,7.0,634606,movie,The Amazing Spider-Man,0,2012,136,"Action,Adventure,Sci-Fi"
7,Madagascar 3: Europe's Most Wanted,"746,921,274","216,391,482",29,"530,529,792",71,78.0,72.0,PG,"EricDarnell,TomMcGrath,ConradVernon","MireilleSoria,MarkSwift",6-8-2012,,6.8,176542,movie,Madagascar 3: Europe's Most Wanted,0,2012,95,"Adventure,Animation,Comedy"
8,The Hunger Games,"694,394,724","408,010,692",58.8,"286,384,032",41.2,84.0,81.0,PG-13,GaryRoss,"NinaJacobson,JonKilik",3-23-2012,408000000.0,7.2,894681,movie,The Hunger Games,0,2012,142,"Action,Adventure,Sci-Fi"
9,Men in Black 3,"624,026,776","179,020,854",28.7,"445,005,922",71.3,68.0,70.0,PG-13,BarrySonnenfeld,"WalterF.Parkes,LaurieMacDonald",5-25-2012,179000000.0,6.8,354548,movie,Men in Black 3,0,2012,106,"Action,Adventure,Comedy"
