,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,Transformers: Age of Extinction,"1,104,054,072","245,439,076",22.2,"858,614,996",77.8,17.0,50.0,PG-13,MichaelBay,"DonMurphy,TomDeSanto,LorenzodiBonaventura,IanBryce",6-27-2014,245400000.0,5.6,309575,movie,Transformers: Age of Extinction,0,2014,165,"Action,Adventure,Sci-Fi"
1,The Hobbit: The Battle of the Five Armies,"956,019,788","255,119,788",26.7,"700,900,000",73.3,59.0,74.0,PG-13,PeterJackson,"CarolynneCunningham,ZaneWeiner,FranWalsh,PeterJackson",12-17-2014,255100000.0,7.4,511310,movie,The Hobbit: The Battle of the Five Armies,0,2014,144,"Adventure,Fantasy"
2,Guardians of the Galaxy,"772,776,600","333,176,600",43.1,"439,600,000",56.9,92.0,92.0,PG-13,JamesGunn,KevinFeige,8-1-2014,333700000.0,8.1,1132743,movie,Guardians of the Galaxy,0,2014,121,"Action,Adventure,Comedy"
3,Maleficent,"758,410,378","241,410,378",31.8,"517,000,000",68.2,54.0,70.0,PG,RobertStromberg,JoeRoth,5-30-2014,241400000.0,7.0,366975,movie,Maleficent,0,2014,97,"Adventure,Family,Fantasy"
4,The Hunger Games: Mockingjay - Part 1,"755,356,711","337,135,885",44.6,"418,220,826",55.4,69.0,71.0,PG-13,FrancisLawrence,"NinaJacobson,JonKilik",11-21-2014,,6.6,443036,movie,The Hunger Games: Mockingjay - Part 1,0,2014,123,"Action,Adventure,Sci-Fi"
5,X-Men: Days of Future Past,"746,045,700","233,921,534",31.4,"512,124,166",68.6,90.0,91.0,PG-13,BryanSinger,"LaurenShulerDonner,BryanSinger,SimonKinberg,HutchParker",5-23-2014,233900000.0,8.0,694929,movie,X-Men: Days of Future Past,0,2014,132,"Action,Adventure,Sci-Fi"
6,Captain America: The Winter Soldier,"714,421,503","259,766,572",36.4,"454,654,931",63.6,90.0,92.0,PG-13,"AnthonyRusso,JoeRusso",KevinFeige,4-4-2014,259700000.0,7.8,810506,movie,Captain America: The Winter Soldier,0,2014,136,"Action,Adventure,Sci-Fi"
7,Dawn of the Planet of the Apes,"710,644,566","208,545,589",29.3,"502,098,977",70.7,90.0,88.0,PG-13,MattReeves,"PeterChernin,DylanClark,RickJaffa,AmandaSilver",7-11-2014,208500000.0,7.6,432094,movie,Dawn of the Planet of the Apes,0,2014,130,"Action,Adventure,Drama"
8,The Amazing Spider-Man 2,"708,982,323","202,853,933",28.6,"506,128,390",71.4,51.0,64.0,PG-13,MarcWebb,"AviArad,MatthewTolmach",5-2-2014,202800000.0,6.6,479664,movie,The Amazing Spider-Man 2,0,2014,142,"Action,Adventure,Sci-Fi"
9,Interstellar,"677,896,797","188,020,017",27.7,"489,876,780",72.3,72.0,86.0,PG-13,ChristopherNolan,"EmmaThomas,ChristopherNolan,LyndaObst",11-7-2014,188000000.0,8.7,1713462,movie,Interstellar,0,2014,169,"Adventure,Drama,Sci-Fi"
10,Big Hero 6,"657,827,828","222,527,828",33.8,"435,300,000",66.2,90.0,91.0,PG,"DonHall,ChrisWilliams",RoyConli,11-7-2014,222500000.0,7.8,445202,movie,Big Hero 6,0,2014,102,"Action,Adventure,Animation"
11,How to Train Your Dragon 2,"621,537,519","177,002,924",28.5,"444,534,595",71.5,91.0,89.0,PG,"DeanDeBlois,TomOwens",BonnieArnold,6-13-2014,177000000.0,7.8,325701,movie,How to Train Your Dragon 2,0,2014,102,"Action,Adventure,Animation"
12,American Sniper,"547,426,372","350,126,372",64,"197,300,000",36,72.0,84.0,R,ClintEastwood,"ClintEastwood,RobertLorenz,AndrewLazar,BradleyCooper,PeterMorgan",1-16-2015,350100000.0,7.3,471941,movie,American Sniper,0,2014,133,"Action,Biography,Drama"
13,Godzilla,"524,976,069","200,676,069",38.2,"324,300,000",61.8,76.0,66.0,PG-13,GarethEdwards,"ThomasTull,JonJashni,MaryParent,BrianRogers",5-16-2014,200700000.0,6.4,405899,movie,Godzilla,0,2014,123,"Action,Adventure,Sci-Fi"
14,Rio 2,"498,781,117","131,538,435",26.4,"367,242,682",73.6,48.0,58.0,G,CarlosSaldanha,"JohnC.Donkin,BruceAnderson",4-11-2014,,6.3,88034,movie,Rio 2,0,2014,101,"Adventure,Animation,Comedy"
