,Unnamed: 0,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,0,Harry Potter and the Deathly Hallows: Part 2,1341511219,381011219,28.4,960500000,71.6,96.0,89.0,PG-13,DavidYates,"DavidHeyman,DavidBarron,J.K.Rowling",7-15-2011,381000000.0,8.2,839639,movie,Harry Potter and the Deathly Hallows: Part 2,0,2011,130,"Adventure,Fantasy,Mystery"
1,1,Transformers: Dark of the Moon,1123794079,352390543,31.4,771403536,68.6,35.0,55.0,PG-13,MichaelBay,"LorenzodiBonaventura,TomDeSanto,DonMurphy,IanBryce",6-29-2011,352400000.0,6.2,401355,movie,Transformers: Dark of the Moon,0,2011,154,"Action,Adventure,Sci-Fi"
2,2,Pirates of the Caribbean: On Stranger Tides,1045713802,241071802,23.1,804642000,76.9,33.0,54.0,PG-13,RobMarshall,JerryBruckheimer,5-20-2011,241100000.0,6.6,510552,movie,Pirates of the Caribbean: On Stranger Tides,0,2011,137,"Action,Adventure,Fantasy"
3,3,The Twilight Saga: Breaking Dawn - Part 1,712205856,281287133,39.5,430918723,60.5,25.0,60.0,PG-13,BillCondon,"WyckGodfrey,KarenRosenfelt,StephenieMeyer",11-18-2011,281300000.0,4.9,236412,movie,The Twilight Saga: Breaking Dawn - Part 1,0,2011,117,"Adventure,Drama,Fantasy"
4,4,Mission: Impossible - Ghost Protocol,694713380,209397903,30.1,485315477,69.9,93.0,76.0,PG-13,BradBird,"TomCruise,J.J.Abrams,BryanBurk",12-21-2011,209400000.0,7.4,479034,movie,Mission: Impossible - Ghost Protocol,0,2011,132,"Action,Adventure,Thriller"
5,5,Kung Fu Panda 2,665692281,165249063,24.8,500443218,75.2,80.0,74.0,PG,JenniferYuhNelson,MelissaCobb,5-26-2011,,7.2,274962,movie,Kung Fu Panda 2,0,2011,90,"Action,Adventure,Animation"
6,6,Fast Five,626137675,209837675,33.5,416300000,66.5,77.0,83.0,PG-13,JustinLin,"NealH.Moritz,VinDiesel,MichaelFottrell",4-29-2011,209800000.0,7.3,373986,movie,Fast Five,0,2011,130,"Action,Adventure,Crime"
7,7,The Hangover Part II,586764305,254464305,43.4,332300000,56.6,34.0,52.0,R,ToddPhillips,"ToddPhillips,DanGoldberg",5-26-2011,254500000.0,6.5,489016,movie,The Hangover Part II,0,2011,102,Comedy
8,8,The Smurfs,563749323,142614158,25.3,421135165,74.7,21.0,43.0,PG,RajaGosnell,JordanKerner,7-29-2011,142600000.0,5.4,88940,movie,The Smurfs,0,2011,103,"Adventure,Animation,Comedy"
9,9,Cars 2,559852396,191452396,34.2,368400000,65.8,39.0,49.0,G,JohnLasseter,DeniseReam,6-24-2011,,6.2,180237,movie,Cars 2,0,2011,106,"Adventure,Animation,Comedy"
10,10,Puss in Boots,554987477,149260504,26.9,405726973,73.1,86.0,67.0,PG,ChrisMiller,"JoeAguilar,LatifaOuaou",10-28-2011,149200000.0,6.6,155196,movie,Puss in Boots,0,2011,90,"Adventure,Animation,Comedy"
11,11,Sherlock Holmes: A Game of Shadows,543848418,186848418,34.4,357000000,65.6,59.0,77.0,PG-13,GuyRitchie,"JoelSilver,LionelWigram,SusanDowney,DanLin",12-16-2011,186800000.0,7.4,444166,movie,Sherlock Holmes: A Game of Shadows,0,2011,129,"Action,Adventure,Mystery"
12,12,Rio,483866518,143619809,29.7,340246709,70.3,72.0,71.0,G,CarlosSaldanha,"BruceAnderson,JohnC.Donkin",4-15-2011,,6.9,221910,movie,Rio,0,2011,96,"Adventure,Animation,Comedy"
13,13,Rise of the Planet of the Apes,481800873,176760185,36.7,305040688,63.3,82.0,77.0,PG-13,RupertWyatt,"PeterChernin,DylanClark,RickJaffa,AmandaSilver",8-5-2011,176700000.0,7.6,517869,movie,Rise of the Planet of the Apes,0,2011,105,"Action,Drama,Sci-Fi"
14,14,Thor,449326618,181030624,40.3,268295994,59.7,77.0,76.0,PG-13,KennethBranagh,KevinFeige,5-6-2011,268000000.0,7.0,812534,movie,Thor,0,2011,115,"Action,Adventure,Fantasy"
15,15,The Intouchables,426588510,10198820,2.4,416389690,97.6,75.0,93.0,R,"OlivierNakache,EricToledano","NicolasDuval-Adassovsky,LaurentZeitoun,YannZenou",5-25-2012,13200000.0,8.5,826554,movie,Intouchables,0,2011,112,"Biography,Comedy,Drama"
16,16,The Adventures of Tintin,373993951,77591831,20.7,296402120,79.3,74.0,74.0,PG,StevenSpielberg,"StevenSpielberg,KathleenKennedy,PeterJackson",12-21-2011,77600000.0,7.3,227716,movie,The Adventures of Tintin,0,2011,107,"Action,Adventure,Animation"
17,17,Captain America: The First Avenger,370569774,176654505,47.7,193915269,52.3,79.0,75.0,PG-13,JoeJohnston,KevinFeige,7-22-2011,176600000.0,6.9,813953,movie,Captain America: The First Avenger,0,2011,124,"Action,Adventure,Sci-Fi"
18,18,X-Men: First Class,352616690,146408305,41.5,206208385,58.5,86.0,87.0,PG-13,MatthewVaughn,"BryanSinger,LaurenShulerDonner,SimonKinberg,GregoryGoodman",6-3-2011,146400000.0,7.7,677374,movie,X: First Class,0,2011,131,"Action,Adventure,Sci-Fi"
19,19,Alvin and the Chipmunks: Chipwrecked,342695435,133110742,38.8,209584693,61.2,12.0,51.0,G,MikeMitchell,"JaniceKarman,RossBagdasarianJr.",12-16-2011,133100000.0,4.3,34622,movie,Alvin and the Chipmunks: Chipwrecked,0,2011,87,"Adventure,Animation,Comedy"
