moviename,release_date,budget,year,cleaned_budget,cleaned_release_date
Aftershock,"
22 July 2010 (2010-07-22)
",less than $25 million,2010.0,25000000.0,2010-07-22
Umizaru 3: The Last Message,"
September 18, 2010 (2010-09-18) (Japan)
",,2010.0,,2010-09-18
Bayside Shakedown 3: Set the Guys Loose,,,2010.0,,
If You Are the One 2,"
December 22, 2010 (2010-12-22)
",,2010.0,,2010-12-22
A Turtle's Tale: Sammy's Adventures,,,2010.0,,
Heartbreaker,"
17 March 2010 (2010-03-17)
",$10 million,2010.0,10000000.0,2010-03-17
StreetDance 2,"
30 March 2012 (2012-03-30) (United Kingdom)
",£7 million,2012.0,7000000.0,2012-03-30
The Man from Nowhere,"
August 4, 2010 (2010-08-04)
",,2010.0,,2010-08-04
SP: The Motion Picture I,,,2011.0,,
Detective Conan: The Lost Ship in the Sky,,,2010.0,,
Secret Reunion,"
4 February 2010 (2010-02-04)
",,2010.0,,2010-02-04
Camping 2,,,2010.0,,
Arthur 3: The War of the Two Worlds,"
October 13, 2010 (2010-10-13) (France)
March 22, 2011 (2011-03-22) (United States)
",€65 million($91 million),2010.0,91000000.0,2011-03-22
Sacrifice,"
23 October 2020 (2020-10-23) (Mainland China)
19 November 2020 (2020-11-19) (Hong Kong)
",,2020.0,,2020-11-19
The Lady Shogun and Her Men,,,2010.0,,
Liar Game: The Final Stage,,,2010.0,,
Da Xiao Jiang Hu,,,2010.0,,
Act of Vengeance,"
5 November 2010 (2010-11-05)
","$21,000,000 million",2010.0,21000000000000.0,2010-11-05
Under the Hawthorn Tree,"
15 September 2010 (2010-09-15)
",,2010.0,,2010-09-15
Recep Ivedik 3,"
February 12, 2010 (2010-02-12)
",,2010.0,,2010-02-12
22 Bullets,"
24 March 2010 (2010-03-24)
",$20 million,2010.0,20000000.0,2010-03-24
Inazuma Eleven GO the Movie: The Ultimate Bonds Gryphon,,,2010.0,,
Astral City: A Spiritual Journey,"
September 3, 2010 (2010-09-03)
","$10,000,000",2010.0,10000000.0,2010-09-03
71: Into the Fire,"
June 16, 2010 (2010-06-16)
",,2010.0,,2010-06-16
How Not to Rescue a Princess,,,2010.0,,
About Her Brother,,,2010.0,,
Trick the Movie: Psychic Battle Royale,,,2010.0,,
Hot Summer Days,,,2010.0,,
Head Over Heels,,,2012.0,,
Hankyu Railways - A 15-minute Miracle,,,2011.0,,
What a Beautiful Day,,,2011.0,,
Beginning of the Great Revival,,,2011.0,,
A Ghost of a Chance,"
October 29, 2011 (2011-10-29)
",,2011.0,,2011-10-29
War of the Arrows,"
August 11, 2011 (2011-08-11)
",,2011.0,,2011-08-11
Detective Conan: Quarter of Silence,"
April 16, 2011 (2011-04-16)[1]
",,2011.0,,2011-04-16
Gantz,"Gantz:
January 29, 2011 (2011-01-29) (Japan)

Gantz: Perfect Answer:
April 23, 2011 (2011-04-23) (Japan)
",2.1 billion yen (total),2011.0,100000000.0,2011-04-23
SP: The Motion Picture II,,,2011.0,,
Eiga Kaibutsukun,,,2011.0,,
Gantz: Perfect Answer,"Gantz:
January 29, 2011 (2011-01-29) (Japan)

Gantz: Perfect Answer:
April 23, 2011 (2011-04-23) (Japan)
",2.1 billion yen (total),2011.0,100000000.0,2011-04-23
Detective K: Secret of Virtuous Widow,"
27 January 2011 (2011-01-27)
",,2011.0,,2011-01-27
"All's Well, Ends Well 2011","
2 February 2011 (2011-02-02)[1]
",,2011.0,,2011-02-02
Doraemon: Nobita and the New Steel Troops: ~Winged Angels~,"
March 5, 2011 (2011-03-05)
",,2011.0,,2011-03-05
My Own Swordsman,"
January 26, 2011 (2011-01-26)
",,2011.0,,2011-01-26
You Are the Apple of My Eye,"
25 June 2011 (2011-06-25) (Taipei Film Festival)
19 August 2011 (2011-08-19) (Taiwan)
",NT$50 million (approx. US$1.7 million),2011.0,7000000.0,2011-08-19
Torrente 4,,,2011.0,,
Unfair: The Answer,"
September 17, 2011 (2011-09-17) (Japan)
",,2011.0,,2011-09-17
The Women on the 6th Floor,"
23 October 2010 (2010-10-23) (Première)
16 February 2011 (2011-02-16) (France)
",$7 million ,2011.0,7000000.0,2011-02-16
