movie,startdate,releasedate,Text,mean_google_trend_popularity
Transformers: Age of Extinction,2014-06-20,2014-06-27,,41.75
The Hobbit: The Battle of the Five Armies,2014-12-10,2014-12-17,,66.5
Guardians of the Galaxy,2014-07-25,2014-08-01,,32.0
Maleficent,2014-05-23,2014-05-30,,41.5
The Hunger Games: Mockingjay - Part 1,2014-11-14,2014-11-21,,43.875
X-Men: Days of Future Past,2014-05-16,2014-05-23,,41.0
Captain America: The Winter Soldier,2014-03-28,2014-04-04,,56.75
Dawn of the Planet of the Apes,2014-07-04,2014-07-11,,35.125
The Amazing Spider-Man 2,2014-04-25,2014-05-02,,66.375
Interstellar,2014-10-31,2014-11-07,,34.375
Big Hero 6,2014-10-31,2014-11-07,,36.625
How to Train Your Dragon 2,2014-06-06,2014-06-13,,47.25
American Sniper,2015-01-09,2015-01-16,,59.625
Godzilla,2014-05-09,2014-05-16,,38.125
Rio 2,2014-04-04,2014-04-11,,66.75
Teenage Mutant Ninja Turtles,2014-08-01,2014-08-08,,43.25
The Lego Movie,2017-02-03,2017-02-10,,55.875
Lucy,2014-07-18,2014-07-25,,54.25
Penguins of Madagascar,2014-11-19,2014-11-26,,45.5
Edge of Tomorrow,2014-05-30,2014-06-06,,52.875
Gone Girl,2014-09-26,2014-10-03,,37.375
Night at the Museum: Secret of the Tomb,2014-12-12,2014-12-19,,37.875
Noah,2014-03-21,2014-03-28,,45.625
The Maze Runner,2014-09-12,2014-09-19,,47.375
300: Rise of an Empire,2014-02-28,2014-03-07,,38.25
22 Jump Street,2014-06-06,2014-06-13,,51.125
The Fault in Our Stars,2014-05-30,2014-06-06,,39.875
Divergent,2014-03-14,2014-03-21,,41.125
Paddington,2015-01-09,2015-01-16,,64.25
Mr. Peabody & Sherman,2014-02-28,2014-03-07,,54.125
Neighbors,2014-05-02,2014-05-09,,47.0
Exodus: Gods and Kings,2014-12-05,2014-12-12,,64.0
Annabelle,2014-09-26,2014-10-03,,36.0
Hercules,2014-07-18,2014-07-25,,56.875
RoboCop,2014-02-05,2014-02-12,,80.625
The Imitation Game,2014-12-18,2014-12-25,,46.375
Non-Stop,2014-02-21,2014-02-28,,43.875
Dracula Untold,2014-10-03,2014-10-10,,67.0
The Expendables 3,2014-08-08,2014-08-15,,63.875
Into the Woods,2014-12-18,2014-12-25,,30.75
Fury,2014-10-10,2014-10-17,,52.625
Need for Speed,2014-03-07,2014-03-14,,64.875
The Other Woman,2014-04-18,2014-04-25,,55.0
The Equalizer,2014-09-19,2014-09-26,,41.125
The Grand Budapest Hotel,2014-02-28,2014-03-07,,58.0
Dumb and Dumber To,2014-11-07,2014-11-14,,33.25
Into the Storm,2014-08-01,2014-08-08,,33.25
Unbroken,2014-12-18,2014-12-25,,34.625
The Monuments Men,2014-01-31,2014-02-07,,46.125
Ride Along,2014-01-10,2014-01-17,,36.625
Planes: Fire & Rescue,2014-07-11,2014-07-18,,48.125
The Admiral: Roaring Currents,2014-08-01,2014-08-08,,41.0
Let's Be Cops,2014-08-06,2014-08-13,,34.125
Annie,2014-12-12,2014-12-19,,67.125
Jack Ryan: Shadow Recruit,2014-01-10,2014-01-17,,43.75
Blended,2014-05-16,2014-05-23,,46.5
Sex Tape,2014-07-11,2014-07-18,,70.375
The Theory of Everything,2014-10-31,2014-11-07,,45.375
The Nut Job,2014-01-10,2014-01-17,,42.125
Pompeii,2014-02-14,2014-02-21,,52.25
Seventh Son,2015-01-30,2015-02-06,,54.5
The Purge: Anarchy,2014-07-11,2014-07-18,,35.375
The Boxtrolls,2014-09-19,2014-09-26,,42.375
Horrible Bosses 2,2014-11-19,2014-11-26,,50.75
Ouija,2014-10-17,2014-10-24,,53.25
Birdman or (The Unexpected Virtue of Ignorance),2014-10-10,2014-10-17,,53.5
Transcendence,2014-04-11,2014-04-18,,37.5
Heaven Is for Real,2014-04-09,2014-04-16,,54.375
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014-10-03,2014-10-10,,32.0
Tammy,2014-06-25,2014-07-02,,50.0
PK,2014-12-12,2014-12-19,,28.125
The Book of Life,2014-10-10,2014-10-17,,38.125
Ode to My Father,2015-01-02,2015-01-09,,46.875
Paranormal Activity: The Marked Ones,2013-12-27,2014-01-03,,37.625
The Hundred-Foot Journey,2014-08-01,2014-08-08,,20.75
Deliver Us from Evil,2014-06-25,2014-07-02,,41.5
A Million Ways to Die in the West,2014-05-23,2014-05-30,,45.25
Step Up All In,2014-08-01,2014-08-08,,58.25
John Wick,2014-10-17,2014-10-24,,38.125
The Judge,2018-04-06,2018-04-13,,84.625
Muppets Most Wanted,2014-03-14,2014-03-21,,46.125
If I Stay,2014-08-15,2014-08-22,,47.0
Head Full of Honey,2018-11-23,2018-11-30,,35.75
"I, Frankenstein",2014-01-17,2014-01-24,,37.125
Crimson Peak,2015-10-09,2015-10-16,,45.625
Brick Mansions,2014-04-18,2014-04-25,,53.625
Son of God,2014-02-21,2014-02-28,,43.125
Think Like a Man Too,2014-06-13,2014-06-20,,26.625
Jersey Boys,2014-06-13,2014-06-20,,46.625
The Giver,2014-08-08,2014-08-15,,43.0
Selma,2015-01-02,2015-01-09,,57.25
Beijing Love Story,2014-02-07,2014-02-14,,21.75
God's Not Dead,2014-03-14,2014-03-21,,33.625
