movie,tmdbid,adult,budget,tmdb_popularity,revenue,runtime
The Batman,414906,False,185000000,2907.787,738000000,176
Water Gate Bridge,928123,False,0,4.078,0,153
Uncharted,335787,False,120000000,767.205,378000000,116
Too Cool to Kill,923192,False,0,3.581,0,109
Scream,646385,False,24000000,1038.375,137734898,114
Death on the Nile,505026,False,90000000,839.557,131831841,127
Jackass Forever,656663,False,10000000,1098.972,79000000,96
Dog,626735,False,20000000,127.847,68000000,101
Marry Me,615904,False,23000000,526.595,44000000,112
Moonfall,406759,False,146000000,5092.42,30000000,130
BTS Permission to Dance on Stage - Seoul: Live Viewing,939984,False,0,11.395,0,195
The 355,522016,False,75000000,664.401,24000000,122
The Kashmir Files,900783,False,0,7.64,0,170
Radhe Shyam,673392,False,0,6.945,0,138
Bheemla Nayak,811942,False,0,3.105,0,145
Super-héros malgré lui,746333,False,0,15.374,7375119,0
Blacklight,823625,False,43000000,2217.388,10000000,104
Maison de retraite,736500,False,0,4.328,0,97
Valimai,640484,False,0,4.165,0,179
Wunderschön,750466,False,0,3.233,0,132
The Pirates: The Last Royal Treasure,591120,False,19597380,261.826,10247262,126
Vaillante,926007,False,0,0.6,0,0
Redeeming Love,698508,False,0,25.974,9100000,134
Turning Red,508947,False,190000000,6227.746,13428061,100
The Bad Guys,629542,False,0,708.384,0,100
The Last 10 Years,848743,False,0,1.732,0,99
Doraemon the Movie: Nobita's Little Star Wars 2021,,,,,,
Cyrano,730047,False,20000000,46.75,3000000,124
Kingmaker,618265,False,0,7.323,0,100
The Policeman's Lineage,610321,False,0,7.894,0,119
Adieu Monsieur Haffmann,670243,False,0,9.365,0,115
The Duke,645689,False,11000000,9.438,0,96
The Cherry Bushido,947307,False,0,0.988,0,125
Chickenhare and the Hamster of Darkness,778855,False,0,8.035,0,91
The Cursed,630392,False,0,27.372,4588389,111
Waiting for Bojangles,851303,False,0,7.175,0,124
X,57214,False,12000000,286.614,102731865,88
Ambulance,763285,False,40000000,273.309,31000000,136
Pawankhind,939411,False,0,4.408,0,0
The Godfather 2022 Re-release,,,,,,
Bheeshma Parvam,804309,False,0,4.644,0,144
Maigret,752564,False,7007340,5.639,0,89
Koniec swiata czyli Kogel Mogel 4,921987,False,0,1.391,0,96
Beautiful Minds,264491,False,0,0.94,0,90
