movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
Star Wars: Episode VIII - The Last Jedi,181808,tt2527336,Mark Hamill,19.041,Carrie Fisher,9.03,Adam Driver,18.735,Daisy Ridley,20.045,John Boyega,7.174
Beauty and the Beast,10020,tt0101414,Paige O'Hara,5.62,Robby Benson,14.18,Richard White,2.212,Jerry Orbach,11.406,David Ogden Stiers,5.66
The Fate of the Furious,337339,tt4630562,Vin Diesel,29.696,Jason Statham,68.171,Dwayne Johnson,29.99,Michelle Rodriguez,23.481,Tyrese Gibson,8.218
Despicable Me 3,324852,tt3469046,Steve Carell,18.584,Kristen Wiig,16.468,Trey Parker,19.567,Miranda Cosgrove,32.281,Dana Gaier,7.253
Jumanji: Welcome to the Jungle,353486,tt2283362,Dwayne Johnson,29.99,Jack Black,23.771,Kevin Hart,14.271,Karen Gillan,37.205,Nick Jonas,9.775
Spider-Man: Homecoming,315635,tt2250912,Tom Holland,128.32,Michael Keaton,17.975,Robert Downey Jr.,38.361,Marisa Tomei,23.257,Jon Favreau,13.562
Wolf Warrior 2,452557,tt7131870,Wu Jing,19.876,Frank Grillo,21.101,Celina Jade,6.772,Zhang Han,12.231,Nan Yu,5.911
Guardians of the Galaxy Vol. 2,283995,tt3896198,Chris Pratt,27.826,Zoe Saldana,26.317,Dave Bautista,21.582,Vin Diesel,29.696,Bradley Cooper,38.912
Thor: Ragnarok,284053,tt3501632,Chris Hemsworth,36.221,Tom Hiddleston,32.759,Cate Blanchett,18.898,Tessa Thompson,9.288,Jeff Goldblum,13.337
Wonder Woman,464052,tt7126948,Gal Gadot,38.496,Chris Pine,29.596,Kristen Wiig,16.468,Pedro Pascal,27.815,Robin Wright,13.714
Coco,354912,tt2380307,Anthony Gonzalez,3.094,Gael García Bernal,11.422,Benjamin Bratt,14.298,Alanna Ubach,13.596,Renée Victor,4.118
Pirates of the Caribbean: Dead Men Tell No Tales,166426,tt1790809,Johnny Depp,50.461,Javier Bardem,24.038,Geoffrey Rush,9.579,Brenton Thwaites,15.373,Kaya Scodelario,44.822
It,346364,tt1396484,Jaeden Martell,34.772,Jeremy Ray Taylor,5.709,Sophia Lillis,14.176,Finn Wolfhard,23.885,Chosen Jacobs,2.535
Justice League,791373,tt12361974,Ben Affleck,23.439,Henry Cavill,46.737,Gal Gadot,38.496,Jason Momoa,40.145,Ezra Miller,23.077
Logan,263115,tt3315342,Hugh Jackman,23.696,Dafne Keen,13.132,Patrick Stewart,16.314,Elizabeth Rodriguez,3.333,Boyd Holbrook,15.462
Transformers: The Last Knight,335988,tt3371366,Mark Wahlberg,49.465,Josh Duhamel,10.859,Stanley Tucci,12.603,Anthony Hopkins,20.548,Laura Haddock,13.247
Kong: Skull Island,293167,tt3731562,Tom Hiddleston,32.759,Samuel L. Jackson,56.705,John Goodman,20.197,Brie Larson,26.14,Jing Tian,19.77
The Boss Baby,459151,tt6932874,Alec Baldwin,17.182,James Marsden,19.282,Amy Sedaris,15.668,Jeff Goldblum,13.337,Eva Longoria,13.89
Dunkirk,374720,tt5013056,Fionn Whitehead,6.961,Tom Hardy,59.898,Mark Rylance,24.088,Kenneth Branagh,42.401,Cillian Murphy,59.74
War for the Planet of the Apes,281338,tt3450958,Andy Serkis,16.501,Woody Harrelson,19.341,Steve Zahn,28.971,Karin Konoval,3.247,Michael Adamthwaite,4.913
The Greatest Showman,316029,tt1485796,Hugh Jackman,23.696,Zac Efron,27.031,Michelle Williams,20.576,Rebecca Ferguson,48.521,Zendaya,47.236
Kingsman: The Golden Circle,343668,tt4649466,Colin Firth,13.147,Julianne Moore,18.698,Taron Egerton,16.392,Mark Strong,25.911,Halle Berry,21.448
The Mummy,564,tt0120616,Brendan Fraser,13.765,Rachel Weisz,14.704,John Hannah,10.24,Arnold Vosloo,19.39,Patricia Velásquez,12.972
Cars 3,260514,tt3606752,Owen Wilson,46.143,Cristela Alonzo,5.555,Chris Cooper,6.765,Nathan Fillion,25.027,Larry the Cable Guy,4.598
Fifty Shades Darker,341174,tt4465564,Dakota Johnson,13.949,Jamie Dornan,12.431,Eric Johnson,10.002,Eloise Mumford,12.652,Bella Heathcote,15.158
Murder on the Orient Express,392044,tt3402236,Kenneth Branagh,42.401,Penélope Cruz,23.261,Willem Dafoe,27.4,Judi Dench,8.949,Johnny Depp,50.461
xXx: Return of Xander Cage,47971,tt1293847,Vin Diesel,29.696,Donnie Yen,16.207,Deepika Padukone,6.286,Kris Wu,11.815,Ruby Rose,20.667
Never Say Die,314998,tt0095721,Temuera Morrison,16.076,Lisa Eilbacher,13.034,George Wendt,6.593,Tony Barry,1.432,Jason Greenwood,0.6
The Lego Batman Movie,324849,tt4116284,Will Arnett,16.336,Zach Galifianakis,14.573,Michael Cera,20.608,Rosario Dawson,22.564,Ralph Fiennes,32.618
The Ex-File 3: The Return of The Exes,494900,tt7830888,Han Geng,3.182,Ryan Zheng Kai,9.633,Yu Wenwen,4.063,Zeng Mengxue,5.242,Mi Luo,0.615
Annabelle: Creation,396422,tt5140878,Stephanie Sigman,8.187,Talitha Bateman,12.235,Lulu Wilson,11.457,Anthony LaPaglia,14.338,Miranda Otto,14.85
Wonder,464052,tt7126948,Gal Gadot,38.496,Chris Pine,29.596,Kristen Wiig,16.468,Pedro Pascal,27.815,Robin Wright,13.714
Ferdinand,364689,tt3411444,John Cena,15.948,Kate McKinnon,9.885,Anthony Anderson,9.136,Bobby Cannavale,12.744,David Tennant,18.965
Split,381288,tt4972582,James McAvoy,30.715,Anya Taylor-Joy,38.002,Betty Buckley,6.564,Haley Lu Richardson,13.103,Jessica Sula,11.805
Blade Runner 2049,335984,tt1856101,Ryan Gosling,12.098,Harrison Ford,17.858,Ana de Armas,106.62,Sylvia Hoeks,10.756,Robin Wright,13.714
Kung Fu Yoga,383785,tt4217392,Jackie Chan,26.273,Aarif Rahman,9.132,Zhang Yixing,6.95,Miya Muqi,10.913,Sonu Sood,1.4
Get Out,419430,tt5052448,Daniel Kaluuya,9.859,Allison Williams,9.814,Catherine Keener,19.59,Bradley Whitford,13.189,Caleb Landry Jones,16.093
Baahubali 2: The Conclusion,350312,tt4849438,Prabhas,4.547,Rana Daggubati,6.772,Sathyaraj,1.854,Anushka Shetty,8.063,Nassar,4.143
Journey to the West: The Demons Strike Back,435800,tt5273624,Kris Wu,11.815,Lin Gengxin,5.6,Yao Chen,4.785,Lin Yun,5.535,Yang Yiwei,4.197
Alien: Covenant,126889,tt2316204,Michael Fassbender,14.93,Katherine Waterston,17.555,Billy Crudup,19.433,Danny McBride,26.166,Demián Bichir,6.129
Paddington 2,346648,tt4468740,Ben Whishaw,16.436,Hugh Bonneville,11.481,Sally Hawkins,19.115,Samuel Joslin,4.253,Madeleine Harris,1.525
Youth,310593,tt3312830,Michael Caine,14.985,Harvey Keitel,11.123,Rachel Weisz,14.704,Paul Dano,51.328,Jane Fonda,10.216
Baby Driver,339403,tt3890160,Ansel Elgort,20.545,Kevin Spacey,16.608,Lily James,24.325,Jon Hamm,16.214,Jamie Foxx,20.417
Valerian and the City of a Thousand Planets,339964,tt2239822,Dane DeHaan,12.855,Cara Delevingne,21.982,Clive Owen,11.284,Rihanna,14.62,Ethan Hawke,21.79
Geostorm,274855,tt1981128,Gerard Butler,18.085,Alexandra Maria Lara,17.235,Jim Sturgess,7.639,Abbie Cornish,11.683,Ed Harris,14.475
The Emoji Movie,378236,tt4877122,T. J. Miller,14.522,James Corden,9.839,Anna Faris,17.473,Maya Rudolph,11.778,Steven Wright,3.098
A Dog's Purpose,381289,tt1753383,Josh Gad,11.913,K.J. Apa,14.291,Britt Robertson,23.536,Dennis Quaid,13.1,Peggy Lipton,6.67
Smurfs: The Lost Village,137116,tt2398241,Demi Lovato,8.642,Rainn Wilson,23.401,Joe Manganiello,12.123,Jack McBrayer,11.884,Danny Pudi,10.575
The Shape of Water,399055,tt5580390,Sally Hawkins,19.115,Doug Jones,7.845,Michael Shannon,24.951,Richard Jenkins,11.093,Octavia Spencer,10.21
Pitch Perfect 3,353616,tt4765284,Anna Kendrick,18.19,Rebel Wilson,10.1,Brittany Snow,19.663,Hailee Steinfeld,55.775,Elizabeth Banks,14.855
