,Release Group,Score_Rotten,Score_Audience,Rating,Genre,Director,Producer,Release Date (Theaters),Box Office (Gross USA)
0,Captain America: Civil War,90,89,PG-13,"['Fantasy', 'Action', 'Adventure']","['AnthonyRusso', 'JoeRusso']",['KevinFeige'],"['May 6', '2016']",408.1M
1,Rogue One: A Star Wars Story,84,86,PG-13,"['Fantasy', 'Action', 'Sci-fi', 'Adventure']",['GarethEdwards'],"['KathleenKennedy', 'AllisonShearmur', 'SimonEmanuel']","['Dec 16', '2016']",532.2M
2,Finding Dory,94,84,PG,"['Kids&family', 'Animation', 'Comedy', 'Adventure']",['AndrewStanton'],['LindseyCollins'],"['Jun 17', '2016']",486.2M
3,Zootopia,98,92,PG,"['Kids&family', 'Animation', 'Comedy', 'Adventure']","['ByronHoward', 'RichMoore']",['ClarkSpencer'],"['Mar 4', '2016']",
4,The Jungle Book,94,86,PG,"['Kids&family', 'Fantasy', 'Action', 'Adventure']",['JonFavreau'],"['JonFavreau', 'BrighamTaylor']","['Apr 15', '2016']",364.0M
5,The Secret Life of Pets,72,62,PG,"['Kids&family', 'Animation', 'Comedy', 'Adventure']",['ChrisRenaud'],"['ChristopherMeledandri', 'JanetHealy']","['Jul 8', '2016']",368.3M
6,Batman v Superman: Dawn of Justice,29,63,PG-13,"['Fantasy', 'Sci-fi', 'Action', 'Adventure']",['ZackSnyder'],"['CharlesRoven', 'DeborahSnyder']","['Mar 25', '2016']",330.2M
7,Fantastic Beasts and Where to Find Them,74,79,PG-13,"['Fantasy', 'Adventure']",['DavidYates'],"['DavidHeyman', 'J.K.Rowling', 'SteveKloves', 'LionelWigram']","['Nov 18', '2016']",234.0M
8,Deadpool,85,90,R,"['Adventure', 'Comedy', 'Action', 'Fantasy']",['TimMiller'],"['SimonKinberg', 'RyanReynolds', 'LaurenShulerDonner']","['Feb 12', '2016']",363.1M
9,Suicide Squad,26,59,PG-13,"['Action', 'Fantasy', 'Adventure']",['DavidAyer'],"['CharlesRoven', 'RichardSuckle']","['Aug 5', '2016']",
10,Doctor Strange,89,86,PG-13,"['Fantasy', 'Action', 'Adventure']",['ScottDerrickson'],['KevinFeige'],"['Nov 4', '2016']",232.6M
11,Moana,95,89,PG,"['Musical', 'Adventure', 'Kids&family', 'Comedy', 'Animation']","['JohnMusker', 'RonClements']",['OsnatShurer'],"['Nov 23', '2016']",248.8M
12,Sing,71,72,PG,"['Kids&family', 'Musical', 'Comedy', 'Animation']",['GarthJennings'],"['ChristopherMeledandri', 'JanetHealy']","['Dec 21', '2016']",270.4M
13,The Mermaid,,,,"['Lgbtq+', 'Comedy']",['PetraClever'],['KarolaKeller'],,
14,X-Men: Apocalypse,47,65,PG-13,"['Adventure', 'Sci-fi', 'Fantasy', 'Action']",['BryanSinger'],"['SimonKinberg', 'BryanSinger', 'HutchParker', 'LaurenShulerDonner']","['May 27', '2016']",155.0M
15,Kung Fu Panda 3,87,78,PG,"['Kids&family', 'Animation', 'Comedy', 'Adventure']","['JenniferYuhNelson', 'AlessandroCarloni']",['MelissaCobb'],"['Jan 29', '2016']",143.5M
16,La La Land,91,81,PG-13,"['Drama', 'Comedy', 'Musical', 'Romance']",['DamienChazelle'],"['FredBerger', 'JordanHorowitz', 'MarcPlatt', 'GaryGilbert']","['Dec 25', '2016']",151.1M
17,Warcraft,28,76,PG-13,"['Fantasy', 'Action', 'Adventure']",['DuncanJones'],"['CharlesRoven', 'ThomasTull', 'JonJashni', 'AlexGartner', 'StuartFenegan']","['Jun 10', '2016']",47.2M
18,Jason Bourne,54,55,PG-13,"['Action', 'Mystery&thriller']",['PaulGreengrass'],"['FrankMarshall', 'JeffreyM.Weiner', 'BenSmith', 'MattDamon', 'PaulGreengrass', 'GregoryGoodman']","['Jul 29', '2016']",162.2M
19,Ice Age 5: Collision Course,,,,,,,,
20,Independence Day: Resurgence,30,30,PG-13,"['Action', 'Sci-fi', 'Adventure']",['RolandEmmerich'],"['DeanDevlin', 'RolandEmmerich', 'HaraldKloser']","['Jun 24', '2016']",103.1M
21,Your Name.,,,,,,,,
