,release_date_year__2010,release_date_year__2011,release_date_year__2012,release_date_year__2013,release_date_year__2014,release_date_year__2015,release_date_year__2016,release_date_year__2017,release_date_year__2018,release_date_year__2019,release_date_year__2020,release_date_year__2021,release_date_year__2022,Rating__1,Rating__2,Rating__3,Rating__4,Rating__5,release_date_quarter__2,release_date_quarter__3,release_date_quarter__4,tmdb_popularity,imdbRating,imdbNumVotes,runtimeMinutes,Score_Rotten,Score_Rotten_Audience,NumTheatres,mean_google_trend_popularity,director_popularity,producer_popularity,actors_popularity,TwitterScore,Budget,Revenue,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Movie Title
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2.791,6.6,160,100,58.0,82.0,69.0,41.25,1.164,4.828,8.4862,81.95488722,464000.0,39576060,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Intimate Strangers
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,17.804,4.8,11745,89,100.0,63.0,69.0,60.625,7.092,0.6475,6.042,33.41985724,2000000.0,100293273,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Aftershock
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1.342,6.8,383,115,58.0,63.0,69.0,12.5,7.092,4.828,7.325,15.78947368,200000.0,8845525,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Eleventh Chapter
3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.948,5.3,85,93,58.0,63.0,69.0,29.75,7.092,0.6,2.5464,53.84615385,3000000.0,78768613,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spanish Affair
4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,40.465,6.4,7731,130,58.0,58.0,69.0,46.625,5.113,1.553,5.7664,38.75,1638000.0,40568961,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Gantz
5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,34.458,6.2,4295,141,58.0,50.0,69.0,26.0,5.113,1.553,7.3506,93.36492891,1638000.0,33672515,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Gantz: Perfect Answer
6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3.924,6.2,617,94,58.0,63.0,69.0,41.625,7.092,4.828,6.912,-51.11111111,640000.0,13125970,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hostage: Missing Celebrity
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,5.85,7.0,2236,111,58.0,63.0,69.0,47.062,7.092,4.828,1.8408,33.33333333,2000000.0,39273021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,My Mom is a Character 3
8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,5.414,6.6,2700,88,58.0,63.0,69.0,47.062,7.092,4.828,1.5168,25.0,2000000.0,39195565,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,My Mom Is a Character 2
9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.552,8.0,1770,120,58.0,63.0,69.0,52.25,1.4,1.259666667,3.4556,55.25484889,3200000.0,58940254,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Miss Granny
10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11.142,5.1,5410,93,100.0,80.0,69.0,47.062,7.092,1.3165,12.6874,6.433,5000000.0,91824961,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,End Game
11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,30.862,6.1,374,114,58.0,63.0,69.0,55.375,7.092,4.828,5.3646,88.5209713,1700000.0,29843025,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,You Are the Apple of My Eye
12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.002,6.5,2528,121,58.0,70.0,69.0,47.062,0.811,1.193,10.761,58.62068966,4881000.0,84112033,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Finding Mr. Right
13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,7.405,7.9,27753,132,82.0,78.0,69.0,37.5,0.609,0.7425,2.61,78.17697937,3213790.0,52390000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hindi Medium
14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,25.742,8.4,83520,126,58.0,63.0,69.0,75.625,7.092,4.828,2.4434,48.70775348,4000000.0,64978931,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Capernaum
15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10.774,7.4,13421,127,58.0,63.0,69.0,80.25,1.38,4.828,10.9954,32.1549966,3000000.0,47587984,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Coming Home
16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,441.784,6.2,1318,117,58.0,63.0,69.0,65.25,7.092,4.828,9.4128,3.08056872,1200000.0,18804231,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sinkhole
17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12.875,6.9,28682,119,58.0,63.0,69.0,47.062,7.092,4.828,11.3846,6.433,5000000.0,77676735,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Suck Me Shakespeer
