movie,startdate,releasedate,Text,mean_google_trend_popularity
Avengers: Infinity War,2018-04-20,2018-04-27,,33.875
Black Panther,2018-02-09,2018-02-16,,39.5
Jurassic World: Fallen Kingdom,2018-06-15,2018-06-22,,53.625
Incredibles 2,2018-06-08,2018-06-15,,30.0
Aquaman,2018-12-14,2018-12-21,,83.75
Bohemian Rhapsody,2018-10-26,2018-11-02,,43.5
Venom,2018-09-28,2018-10-05,,41.625
Mission: Impossible - Fallout,2018-07-20,2018-07-27,,42.375
Deadpool 2,2018-05-11,2018-05-18,,41.0
Fantastic Beasts: The Crimes of Grindelwald,2018-11-09,2018-11-16,,37.0
Ant-Man and the Wasp,2018-06-29,2018-07-06,,47.5
Ready Player One,2018-03-22,2018-03-29,,37.25
Operation Red Sea,2018-02-16,2018-02-23,,43.0
Detective Chinatown 2,2018-02-09,2018-02-16,,20.25
The Meg,2018-08-03,2018-08-10,,36.375
Ralph Breaks the Internet,2018-11-14,2018-11-21,,40.875
Hotel Transylvania 3: Summer Vacation,2018-07-06,2018-07-13,,32.0
The Grinch,2018-11-02,2018-11-09,,50.625
Bumblebee,2018-12-14,2018-12-21,,55.5
Dying to Survive,2019-08-02,2019-08-09,,58.75
A Star Is Born,2018-09-28,2018-10-05,,41.125
Rampage,2018-04-06,2018-04-13,,36.875
Solo: A Star Wars Story,2018-05-18,2018-05-25,,41.375
Spider-Man: Into the Spider-Verse,2018-12-07,2018-12-14,,49.625
Fifty Shades Freed,2018-02-02,2018-02-09,,42.875
The Nun,2018-08-31,2018-09-07,,35.25
Monster Hunt 2,2018-02-09,2018-02-16,,24.875
Peter Rabbit,2018-02-02,2018-02-09,,45.875
Mary Poppins Returns,2018-12-12,2018-12-19,,57.5
A Quiet Place,2018-03-30,2018-04-06,,37.875
Green Book,2018-11-14,2018-11-21,,54.75
Skyscraper,2018-07-06,2018-07-13,,40.375
Ocean's Eight,2018-06-01,2018-06-08,,39.0
Pacific Rim: Uprising,2018-03-16,2018-03-23,,42.625
Maze Runner: The Death Cure,2018-01-19,2018-01-26,,46.125
Tomb Raider,2018-03-09,2018-03-16,,54.625
Halloween,2007-08-24,2007-08-31,,76.625
Crazy Rich Asians,2018-08-08,2018-08-15,,60.5
Creed II,2018-11-14,2018-11-21,,29.25
Smallfoot,2018-09-21,2018-09-28,,44.875
Us and Them,2018-03-09,2018-03-16,,87.375
Christopher Robin,2018-07-27,2018-08-03,,38.75
The Equalizer 2,2018-07-13,2018-07-20,,29.375
The Mule,2018-12-07,2018-12-14,,35.5
The Nutcracker and the Four Realms,2018-10-26,2018-11-02,,35.0
Insidious: The Last Key,2017-12-29,2018-01-05,,40.0
The Predator,2018-09-07,2018-09-14,,47.625
Johnny English Strikes Again,2018-10-19,2018-10-26,,59.125
Red Sparrow,2018-02-23,2018-03-02,,39.25
More Than Blue,2019-03-08,2019-03-15,,71.375
The First Purge,2018-06-27,2018-07-04,,26.0
How Long Will I Love U,2018-05-18,2018-05-25,,25.0
A Wrinkle in Time,2018-03-02,2018-03-09,,43.0
The House with a Clock in Its Walls,2018-09-14,2018-09-21,,39.875
Instant Family,2018-11-09,2018-11-16,,34.5
A Cool Fish,2018-11-09,2018-11-16,,38.5
Game Night,2018-02-16,2018-02-23,,37.5
Dragon Ball Super: Broly,2019-01-09,2019-01-16,,81.375
The Monkey King 3,2018-02-09,2018-02-16,,32.25
First Man,2018-10-05,2018-10-12,,40.25
Book Club,2018-05-11,2018-05-18,,46.5
Night School,2018-09-21,2018-09-28,,42.625
Alpha,2018-08-10,2018-08-17,,67.75
Along With the Gods: The Last 49 Days,2018-07-25,2018-08-01,,46.25
A Simple Favor,2018-09-07,2018-09-14,,37.125
The Favourite,2018-12-07,2018-12-14,,85.125
Truth or Dare,2018-04-06,2018-04-13,,33.125
I Feel Pretty,2018-04-13,2018-04-20,,35.0
