movie,startdate,releasedate,Text,mean_google_trend_popularity
Alice in Wonderland,2010-02-26,2010-03-05,,48.875
Step Up,2010-07-30,2010-08-06,,58.625
Aftershock,2010-07-15,2010-07-22,,60.625
If You Are the One 2,2010-12-15,2010-12-22,,32.5
Heartbreaker,2010-03-10,2010-03-17,,74.25
StreetDance 2,2012-03-23,2012-03-30,,49.875
The Man from Nowhere,2010-07-28,2010-08-04,,47.625
Secret Reunion,2010-01-28,2010-02-04,,44.75
Arthur 3: The War of the Two Worlds,2011-03-15,2011-03-22,,32.875
Sacrifice,2020-11-12,2020-11-19,,92.5
Act of Vengeance,2010-10-29,2010-11-05,,35.625
Recep Ivedik 3,2010-02-05,2010-02-12,,56.0
22 Bullets,2010-03-17,2010-03-24,,23.375
71: Into the Fire,2010-06-09,2010-06-16,,40.75
Norwegian Wood,2011-12-30,2012-01-06,,55.5
Season of the Witch,2010-12-31,2011-01-07,,43.375
A Ghost of a Chance,2011-10-22,2011-10-29,,41.875
Detective Conan: Quarter of Silence,2011-04-09,2011-04-16,,12.5
Gantz,2011-04-16,2011-04-23,,46.625
Gantz: Perfect Answer,2011-04-16,2011-04-23,,26.0
You Are the Apple of My Eye,2011-08-12,2011-08-19,,55.375
Unfair: The Answer,2011-09-10,2011-09-17,,22.5
A Monster in Paris,2011-12-09,2011-12-16,,55.875
Qualunquemente,2011-01-14,2011-01-21,,38.75
Gooische vrouwen,2011-06-18,2011-06-25,,75.125
Vicky and the Treasure of the Gods,2011-09-22,2011-09-29,,12.5
The Front Line,2011-07-13,2011-07-20,,69.75
Polisse,2012-05-11,2012-05-18,,74.0
Hollywoo,2011-11-30,2011-12-07,,44.25
Les Misérables,2012-12-18,2012-12-25,,55.125
Lost in Thailand,2012-12-05,2012-12-12,,55.625
Brave Hearts: Umizaru,2012-07-06,2012-07-13,,12.5
The Grey,2012-01-20,2012-01-27,,45.75
Thermae Romae,2014-04-19,2014-04-26,,49.625
One Piece Film Z,2012-12-08,2012-12-15,,30.25
Evangelion: 3.0 You Can (Not) Redo,2012-11-10,2012-11-17,,12.5
Wolf Children,2012-07-14,2012-07-21,,48.875
A Werewolf Boy,2012-10-24,2012-10-31,,61.0
Conquest 1453,2012-02-09,2012-02-16,,64.125
Bait,2012-11-22,2012-11-29,,87.125
The Grand Heist,2012-08-01,2012-08-08,,18.875
All About My Wife,2012-05-10,2012-05-17,,26.0
Architecture 101,2012-03-15,2012-03-22,,43.375
Lesson of the Evil,2012-11-03,2012-11-10,,26.0
Agneepath,2012-01-19,2012-01-26,,28.875
Rust and Bone,2012-05-10,2012-05-17,,23.25
The Last Tycoon,2012-12-27,2013-01-03,,29.375
Housefull 2,2012-03-29,2012-04-05,,62.625
Liar Game: Reborn,2012-02-25,2012-03-03,,46.5
Kon-Tiki,2012-10-29,2012-11-05,,59.0
Confession of Murder,2012-11-01,2012-11-08,,22.75
