movie,tmdbid,adult,budget,tmdb_popularity,revenue,runtime
Harry Potter and the Deathly Hallows: Part 2,12445,False,125000000,265.513,1341511219,130
Transformers: Dark of the Moon,38356,False,195000000,32.903,1123794079,154
Pirates of the Caribbean: On Stranger Tides,1865,False,380000000,278.171,1045713802,137
The Twilight Saga: Breaking Dawn - Part 1,50619,False,110000000,130.858,712171856,117
Mission: Impossible - Ghost Protocol,56292,False,145000000,85.187,694713380,133
Kung Fu Panda 2,49444,False,150000000,97.452,665692281,91
Fast Five,51497,False,125000000,22.003,626137675,130
The Hangover Part II,45243,False,80000000,133.451,586764305,102
The Smurfs,41513,False,110000000,72.911,563749323,103
Cars 2,49013,False,200000000,133.706,559852396,106
Puss in Boots,417859,False,130000000,57.423,554987477,90
Sherlock Holmes: A Game of Shadows,58574,False,125000000,74.814,334615000,129
Rio,46195,False,90000000,109.257,484635760,96
Rise of the Planet of the Apes,61791,False,93000000,61.88,482860185,105
Thor,10195,False,150000000,182.673,449326618,115
The Intouchables,77338,False,13000000,116.444,426588510,113
The Adventures of Tintin,17578,False,130000000,38.472,371940071,107
Captain America: The First Avenger,1771,False,140000000,119.236,370569774,124
X-Men: First Class,691677,False,0,18.683,0,30
Alvin and the Chipmunks: Chipwrecked,55301,False,75000000,60.115,342695435,87
Real Steel,39254,False,110000000,244.759,299268508,127
Bridesmaids,55721,False,32500000,24.987,288383523,125
Super 8,37686,False,50000000,103.479,260095986,112
Rango,44896,False,135000000,74.386,245724603,107
The Girl with the Dragon Tattoo,65754,False,90000000,19.971,232617430,158
The Green Hornet,40805,False,120000000,19.6,227817248,119
Immortals,37958,False,75000000,31.409,226904017,110
Green Lantern,44912,False,200000000,111.634,219851172,114
The Help,50014,False,25000000,193.927,216639112,146
Bad Teacher,52449,False,20000000,35.082,216197492,92
Just Go with It,50546,False,80000000,126.485,214945591,117
Battle Los Angeles,44943,False,70000000,141.66,211819354,116
Horrible Bosses,51540,False,35000000,47.076,209838559,98
Paranormal Activity 3,72571,False,5000000,73.234,207039844,94
Gnomeo & Juliet,45772,False,36000000,48.501,189712432,84
Mr. Popper's Penguins,58224,False,55000000,52.1,187361754,94
