movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
Avengers: Infinity War,299536,tt4154756,Robert Downey Jr.,38.361,Chris Hemsworth,36.221,Mark Ruffalo,9.185,Chris Evans,15.319,Scarlett Johansson,38.188
Black Panther,284054,tt1825683,Chadwick Boseman,13.943,Michael B. Jordan,17.315,Lupita Nyong'o,14.456,Danai Gurira,10.465,Martin Freeman,18.272
Jurassic World: Fallen Kingdom,351286,tt4881806,Chris Pratt,27.826,Bryce Dallas Howard,24.741,Rafe Spall,11.42,Justice Smith,14.942,Daniella Pineda,18.908
Incredibles 2,260513,tt3606756,Craig T. Nelson,11.53,Holly Hunter,13.252,Sarah Vowell,2.432,Huck Milner,1.4,Samuel L. Jackson,56.705
Aquaman,297802,tt1477834,Jason Momoa,40.145,Amber Heard,34.35,Willem Dafoe,27.4,Patrick Wilson,31.977,Nicole Kidman,23.379
Bohemian Rhapsody,424694,tt1727824,Rami Malek,20.994,Gwilym Lee,3.863,Ben Hardy,17.119,Joseph Mazzello,11.207,Lucy Boynton,20.206
Venom,335983,tt1270797,Tom Hardy,59.898,Michelle Williams,20.576,Riz Ahmed,11.599,Scott Haze,12.219,Reid Scott,6.303
Mission: Impossible - Fallout,353081,tt4912910,Tom Cruise,34.075,Henry Cavill,46.737,Ving Rhames,12.542,Simon Pegg,15.527,Rebecca Ferguson,48.521
Deadpool 2,383498,tt5463162,Ryan Reynolds,40.796,Josh Brolin,39.186,Morena Baccarin,26.355,Julian Dennison,7.169,Zazie Beetz,17.431
Fantastic Beasts: The Crimes of Grindelwald,338952,tt4123430,Eddie Redmayne,33.428,Katherine Waterston,17.555,Dan Fogler,23.174,Alison Sudol,17.15,Johnny Depp,50.461
Ant-Man and the Wasp,363088,tt5095030,Paul Rudd,34.179,Evangeline Lilly,22.94,Michael Peña,22.593,Walton Goggins,15.255,Bobby Cannavale,12.744
