,Release Group,Score_Rotten,Score_Audience,Rating,Genre,Director,Producer,Release Date (Theaters),Box Office (Gross USA)
0,Transformers: Age of Extinction,17,50,PG-13,"['Sci-fi', 'Action', 'Adventure']",['MichaelBay'],"['DonMurphy', 'TomDeSanto', 'LorenzodiBonaventura', 'IanBryce']","['Jun 27', '2014']",245.4M
1,The Hobbit: The Battle of the Five Armies,59,74,PG-13,"['Fantasy', 'Action', 'Adventure']",['PeterJackson'],"['CarolynneCunningham', 'ZaneWeiner', 'FranWalsh', 'PeterJackson']","['Dec 17', '2014']",255.1M
2,Guardians of the Galaxy,92,92,PG-13,"['Adventure', 'Action', 'Comedy', 'Fantasy', 'Sci-fi']",['JamesGunn'],['KevinFeige'],"['Aug 1', '2014']",333.7M
3,Maleficent,54,70,PG,"['Action', 'Fantasy', 'Adventure']",['RobertStromberg'],['JoeRoth'],"['May 30', '2014']",241.4M
4,The Hunger Games: Mockingjay - Part 1,69,71,PG-13,"['Adventure', 'Sci-fi', 'Action']",['FrancisLawrence'],"['NinaJacobson', 'JonKilik']","['Nov 21', '2014']",
5,X-Men: Days of Future Past,90,91,PG-13,"['Fantasy', 'Sci-fi', 'Action', 'Adventure']",['BryanSinger'],"['LaurenShulerDonner', 'BryanSinger', 'SimonKinberg', 'HutchParker']","['May 23', '2014']",233.9M
6,Captain America: The Winter Soldier,90,92,PG-13,"['Fantasy', 'Adventure', 'Action']","['AnthonyRusso', 'JoeRusso']",['KevinFeige'],"['Apr 4', '2014']",259.7M
7,Dawn of the Planet of the Apes,90,88,PG-13,"['Action', 'Sci-fi', 'Adventure']",['MattReeves'],"['PeterChernin', 'DylanClark', 'RickJaffa', 'AmandaSilver']","['Jul 11', '2014']",208.5M
8,The Amazing Spider-Man 2,51,64,PG-13,"['Action', 'Adventure']",['MarcWebb'],"['AviArad', 'MatthewTolmach']","['May 2', '2014']",202.8M
9,Interstellar,72,86,PG-13,"['Action', 'Sci-fi', 'Adventure']",['ChristopherNolan'],"['EmmaThomas', 'ChristopherNolan', 'LyndaObst']","['Nov 7', '2014']",188.0M
10,Big Hero 6,90,91,PG,"['Sci-fi', 'Kids&family', 'Adventure', 'Comedy', 'Animation', 'Action']","['DonHall', 'ChrisWilliams']",['RoyConli'],"['Nov 7', '2014']",222.5M
11,How to Train Your Dragon 2,91,89,PG,"['Adventure', 'Animation', 'Comedy', 'Kids&family', 'Fantasy']","['DeanDeBlois', 'TomOwens']",['BonnieArnold'],"['Jun 13', '2014']",177.0M
12,American Sniper,72,84,R,"['Drama', 'Biography', 'War']",['ClintEastwood'],"['ClintEastwood', 'RobertLorenz', 'AndrewLazar', 'BradleyCooper', 'PeterMorgan']","['Jan 16', '2015']",350.1M
13,Godzilla,76,66,PG-13,"['Action', 'Sci-fi', 'Adventure']",['GarethEdwards'],"['ThomasTull', 'JonJashni', 'MaryParent', 'BrianRogers']","['May 16', '2014']",200.7M
14,Rio 2,48,58,G,"['Kids&family', 'Adventure', 'Musical', 'Comedy', 'Animation']",['CarlosSaldanha'],"['JohnC.Donkin', 'BruceAnderson']","['Apr 11', '2014']",
15,Teenage Mutant Ninja Turtles,21,50,PG-13,"['Comedy', 'Action', 'Adventure']",['JonathanLiebesman'],"['MichaelBay', 'AndrewForm', 'BradFuller', 'GalenWalker', 'ScottMednick', 'IanBryce']","['Aug 8', '2014']",191.2M
16,The Lego Movie,90,80,PG,"['Adventure', 'Kids&family', 'Comedy', 'Animation', 'Action']",['ChrisMcKay'],"['DanLin', 'PhilLord', 'ChrisMiller', 'RoyLee']","['Feb 10', '2017']",175.7M
17,Lucy,67,47,R,"['Sci-fi', 'Action', 'Mystery&thriller']",['LucBesson'],['VirginieSilla'],"['Jul 25', '2014']",126.5M
