Movie Title,tmdb_popularity,imdbRating,imdbNumVotes,runtimeMinutes,Score_Rotten,Score_Rotten_Audience,Rating,NumTheatres,mean_google_trend_popularity,director_popularity,producer_popularity,actors_popularity,TwitterScore,Budget,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Release-Date,Release-Year,Release-Month,Release-DOM,Revenue-Worldwide,Profit,Label
Intimate Strangers,2.791,6.6,160,100,,82,2,,41.25,1.164,,8.4862,81.95488722,464000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-10-31,2018,10,31,39576060,84.29323276,0
Aftershock,17.804,4.8,11745,89,100,,2,,60.625,,0.6475,6.042,33.41985724,2000000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2010-07-22,2010,7,22,100293273,49.1466365,0
The Eleventh Chapter,1.342,6.8,383,115,,,2,,12.5,,,7.325,15.78947368,200000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-02,2021,4,2,8845525,43.227625,0
Spanish Affair,0.948,5.3,85,93,,,2,,29.75,,0.6,2.5464,53.84615385,3000000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-03-14,2014,3,14,78768613,25.25620433,0
Gantz,40.465,6.4,7731,130,,58,2,,46.625,5.113,1.553,5.7664,38.75,1638000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2011-04-23,2011,4,23,40568961,23.76737546,0
Gantz: Perfect Answer,34.458,6.2,4295,141,,50,2,,26,5.113,1.553,7.3506,93.36492891,1638000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2011-04-23,2011,4,23,33672515,19.55709096,0
Hostage: Missing Celebrity,3.924,6.2,617,94,,,2,,41.625,,,6.912,-51.11111111,640000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-20,2021,8,20,13125970,19.50932813,0
My Mom is a Character 3,5.85,7,2236,111,,,2,,,,,1.8408,33.33333333,2000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-26,2019,12,26,39273021,18.6365105,0
My Mom Is a Character 2,5.414,6.6,2700,88,,,2,,,,,1.5168,25,2000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-26,2019,12,26,39195565,18.5977825,0
Miss Granny,2.552,8,1770,120,,,2,,52.25,1.4,1.259666667,3.4556,55.25484889,3200000,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2014-01-22,2014,1,22,58940254,17.41882938,0
