movie,startdate,releasedate,Text,mean_google_trend_popularity
The Batman,2022-02-25,2022-03-04,,43.625
Water Gate Bridge,2022-02-04,2022-02-11,,66.625
Uncharted,2022-02-11,2022-02-18,,48.5
Too Cool to Kill,2022-02-11,2022-02-18,,43.25
Scream,2022-01-07,2022-01-14,,41.5
Death on the Nile,2022-02-04,2022-02-11,,41.375
Jackass Forever,2022-01-28,2022-02-04,,36.875
Dog,2022-02-11,2022-02-18,,87.125
Marry Me,2022-02-04,2022-02-11,,42.0
Moonfall,2022-01-28,2022-02-04,,39.875
BTS Permission to Dance on Stage - Seoul: Live Viewing,2022-03-05,2022-03-12,,25.875
The 355,2021-12-31,2022-01-07,,41.0
The Kashmir Files,2022-03-11,2022-03-18,,69.875
Radhe Shyam,2022-03-04,2022-03-11,,19.25
Blacklight,2022-02-04,2022-02-11,,37.375
Redeeming Love,2022-01-14,2022-01-21,,35.5
Cyrano,2022-02-18,2022-02-25,,57.375
The Cursed,2022-02-11,2022-02-18,,53.125
X,2022-03-11,2022-03-18,,85.375
Gangubai Kathiawadi,2022-02-25,2022-03-04,,61.25
Studio 666,2022-02-18,2022-02-25,,33.0
The King's Daughter,2022-01-14,2022-01-21,,55.0
The Outfit,2022-03-11,2022-03-18,,46.875
Umma,2022-03-11,2022-03-18,,39.875
The Tiger Rising,2022-01-14,2022-01-21,,21.375
The Family,2013-09-06,2013-09-13,,82.25
Tyson's Run,2022-03-04,2022-03-11,,35.0
Clean,2022-01-21,2022-01-28,,93.75
Sundown,2022-01-21,2022-01-28,,81.375
Alice,2022-03-11,2022-03-18,,96.25
Jane by Charlotte,2022-03-11,2022-03-18,,45.375
