movie,startdate,releasedate,Text,mean_google_trend_popularity
To the Fore,2015-07-31,2015-08-07,,52.625
Look Who's Back,2015-10-01,2015-10-08,,28.5
The Monkey King 2,2016-01-29,2016-02-05,,50.125
From Vegas to Macau III,2016-02-01,2016-02-08,,42.0
Operation Mekong,2016-09-23,2016-09-30,,32.375
Time Raiders,2016-07-29,2016-08-05,,72.125
Skiptrace,2016-08-26,2016-09-02,,37.625
I Belonged to You,2016-09-23,2016-09-30,,20.25
Cold War 2,2016-07-01,2016-07-08,,41.5
Railroad Tigers,2016-12-30,2017-01-06,,82.125
Train to Busan,2016-07-15,2016-07-22,,40.375
Line Walker,2016-08-04,2016-08-11,,72.875
Big Fish & Begonia,2018-03-30,2018-04-06,,22.625
Shin Godzilla,2016-07-22,2016-07-29,,34.625
Quo vado?,2015-12-25,2016-01-01,,16.5
I Am Not Madame Bovary,2016-11-11,2016-11-18,,27.5
One Piece Film: Gold,2016-07-16,2016-07-23,,33.25
L.O.R.D: Legend of Ravaging Dynasties,2016-09-23,2016-09-30,,33.25
The Age of Shadows,2016-09-16,2016-09-23,,43.125
A Chinese Odyssey: Part Three,2016-09-07,2016-09-14,,23.5
My Beloved Bodyguard,2016-03-25,2016-04-01,,46.0
Master,2022-03-11,2022-03-18,,96.75
Doraemon the Movie: Nobita and the Birth of Japan,2016-02-27,2016-03-05,,23.5
The Wailing,2016-05-13,2016-05-20,,67.625
Two Is a Family,2016-11-30,2016-12-07,,62.0
Luck-Key,2016-10-06,2016-10-13,,35.0
Café Society,2016-07-08,2016-07-15,,36.75
League of Gods,2016-07-22,2016-07-29,,36.25
"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016-02-19,2016-02-26,,23.875
Mission Milano,2016-09-23,2016-09-30,,52.125
The Handmaiden,2016-10-14,2016-10-21,,43.75
Nobunaga Concerto: The Movie,2016-01-16,2016-01-23,,12.5
Bounty Hunters,2016-06-24,2016-07-01,,54.875
Billy Lynn's Long Halftime Walk,2016-11-11,2016-11-18,,62.0
A Silent Voice: The Movie,2016-09-10,2016-09-17,,18.875
Flight Crew,2016-04-14,2016-04-21,,44.0
M.S. Dhoni: The Untold Story,2016-09-23,2016-09-30,,18.5
Welcome to Germany,2016-10-27,2016-11-03,,21.5
Mr. Donkey,2016-10-21,2016-10-28,,20.375
Call of Heroes,2016-08-05,2016-08-12,,69.875
The Snow Queen 3: Fire and Ice,2018-08-24,2018-08-31,,24.625
Spirits' Homecoming,2016-02-17,2016-02-24,,12.5
The Choice,2016-01-29,2016-02-05,,47.0
Never Say Die,2017-09-23,2017-09-30,,34.375
Kung Fu Yoga,2017-01-20,2017-01-27,,49.125
Journey to the West: The Demons Strike Back,2017-01-27,2017-02-03,,68.875
Youth,2015-11-27,2015-12-04,,94.25
"Three Billboards Outside Ebbing, Missouri",2017-11-15,2017-11-22,,36.375
Duckweed,2017-02-03,2017-02-10,,56.5
Secret Superstar,2017-10-13,2017-10-20,,32.125
Buddies in India,2017-01-20,2017-01-27,,26.375
Along With the Gods: The Two Worlds,2017-12-15,2017-12-22,,41.75
Legend of the Demon Cat,2017-12-15,2017-12-22,,21.125
Chasing the Dragon,2017-09-22,2017-09-29,,33.875
Fantastica: A Boonie Bears Adventure,2019-06-07,2019-06-14,,12.5
Detective Conan: Crimson Love Letter,2017-04-08,2017-04-15,,19.875
"Everything, Everything",2017-05-12,2017-05-19,,19.875
Doraemon: Great Adventure in the Antarctic Kachi Kochi,2017-02-25,2017-03-04,,20.5
The Founding of an Army,2017-07-21,2017-07-28,,62.25
The Devotion of Suspect X,2017-03-24,2017-03-31,,27.25
Shock Wave,2017-04-28,2017-05-05,,84.375
Goldbuster,2017-12-22,2017-12-29,,20.125
Gongjo,2017-01-11,2017-01-18,,12.5
"I, Tonya",2017-12-01,2017-12-08,,41.25
1987: When the Day Comes,2017-12-20,2017-12-27,,25.625
Bleeding Steel,2018-06-29,2018-07-06,,59.125
Sky Hunter,2017-09-22,2017-09-29,,52.5
Son of Bigfoot,2018-04-27,2018-05-04,,79.875
The Thousand Faces of Dunjia,2017-12-08,2017-12-15,,19.75
The Battleship Island,2017-07-21,2017-07-28,,77.375
Hanson and the Beast,2017-12-22,2017-12-29,,69.0
Battle of Memories,2017-04-21,2017-04-28,,25.5
Mary and the Witch's Flower,2018-01-12,2018-01-19,,34.625
T2 Trainspotting,2017-03-10,2017-03-17,,71.375
Midnight Runners,2017-08-02,2017-08-09,,57.375
The Adventurers,2011-12-14,2011-12-21,,50.5
Namiya,2017-12-29,2018-01-05,,58.75
I Want to Eat Your Pancreas,2017-07-21,2017-07-28,,48.125
Hindi Medium,2017-05-12,2017-05-19,,37.5
Steel Rain,2017-12-07,2017-12-14,,50.75
The Invisible Guest,2016-12-30,2017-01-06,,31.0
This Is Not What I Expected,2017-04-28,2017-05-05,,30.125
The Swindlers,2017-11-24,2017-12-01,,29.25
Alibi.com,2017-02-08,2017-02-15,,41.25
Sword Art Online the Movie: Ordinal Scale,2017-02-11,2017-02-18,,53.625
Recep Ivedik 5,2017-02-09,2017-02-16,,46.125
Judwaa 2,2017-09-22,2017-09-29,,30.625
What Happened to Monday,2017-08-11,2017-08-18,,27.0
Badrinath Ki Dulhania,2017-03-03,2017-03-10,,26.875
Love Off the Cuff,2017-04-21,2017-04-28,,24.375
Fireworks,2018-06-27,2018-07-04,,29.375
Jolly LLB 2,2017-02-03,2017-02-10,,19.625
I Can Speak,2017-09-14,2017-09-21,,72.375
Extraordinary Mission,2017-03-31,2017-04-07,,27.25
The Glass Castle,2017-08-04,2017-08-11,,36.75
Operation Red Sea,2018-02-16,2018-02-23,,43.0
Detective Chinatown 2,2018-02-09,2018-02-16,,20.0
Dying to Survive,2019-08-02,2019-08-09,,58.75
Us and Them,2018-03-09,2018-03-16,,87.375
The Island,2018-08-03,2018-08-10,,83.625
Project Gutenberg,2018-09-27,2018-10-04,,62.5
How Long Will I Love U,2018-05-18,2018-05-25,,25.0
A Cool Fish,2018-11-09,2018-11-16,,38.5
The Monkey King 3,2018-02-09,2018-02-16,,32.25
Detective Conan: Zero the Enforcer,2018-04-06,2018-04-13,,24.75
Along With the Gods: The Last 49 Days,2018-07-25,2018-08-01,,46.375
Detective Dee: The Four Heavenly Kings,2018-07-20,2018-07-27,,41.625
"Hello, Mrs. Money",2018-09-28,2018-10-05,,23.75
Amazing China,2018-05-02,2018-05-09,,57.375
"Love, Simon",2018-03-09,2018-03-16,,31.125
L Storm,2018-08-16,2018-08-23,,39.0
Capernaum,2018-09-13,2018-09-20,,75.625
Andhadhun,2018-09-28,2018-10-05,,18.5
Golden Job,2018-09-21,2018-09-28,,49.875
Asterix: The Secret of the Magic Potion,2018-11-28,2018-12-05,,18.625
Long Day's Journey Into Night,2019-01-23,2019-01-30,,24.875
Intimate Strangers,2018-10-24,2018-10-31,,41.25
Thugs of Hindostan,2018-11-01,2018-11-08,,18.25
Sink or Swim,2018-10-17,2018-10-24,,52.25
The Spy Gone North,2018-08-03,2018-08-10,,46.375
Fat Buddies,2018-09-23,2018-09-30,,32.875
Till The End Of The World,2018-01-26,2018-02-02,,27.5
Mia and the White Lion,2019-04-05,2019-04-12,,21.75
Baaghi 2,2018-03-23,2018-03-30,,26.875
Dark Figure of Crime,2018-09-26,2018-10-03,,35.5
Pad Man,2018-02-02,2018-02-09,,33.0
Mirai,2018-11-22,2018-11-29,,82.5
Default,2014-10-10,2014-10-17,,87.375
One Cut of the Dead,2019-09-06,2019-09-13,,64.5
The Faces of My Gene,2018-02-09,2018-02-16,,36.0
Hichki,2018-03-16,2018-03-23,,25.25
"Paul, Apostle of Christ",2018-03-16,2018-03-23,,19.25
The Guernsey Literary and Potato Peel Pie Society,2018-06-06,2018-06-13,,58.25
Won't You Be My Neighbor?,2018-06-01,2018-06-08,,25.375
Europe Raiders,2018-08-10,2018-08-17,,40.75
Mojin: The Worm Valley,2018-12-28,2019-01-04,,41.125
"My People, My Country",2019-09-23,2019-09-30,,32.25
Pokémon Detective Pikachu,2019-05-03,2019-05-10,,48.75
Crazy Alien,2019-01-29,2019-02-05,,41.5
Better Days,2019-11-01,2019-11-08,,64.75
Sheep Without a Shepherd,2019-12-12,2019-12-19,,23.5
The White Storm 2: Drug Lords,2019-07-09,2019-07-16,,44.75
P Storm,2019-03-28,2019-04-04,,23.625
Detective Conan: The Fist of Blue Sapphire,2019-04-05,2019-04-12,,18.75
Line Walker 2: Invisible Spy,2019-08-09,2019-08-16,,52.625
The New King of Comedy,2019-01-29,2019-02-05,,20.875
One Piece: Stampede,2019-08-02,2019-08-09,,31.25
White Snake,2019-11-08,2019-11-15,,86.875
My Best Summer,2019-03-11,2019-03-18,,70.75
Jade Dynasty,2019-09-06,2019-09-13,,55.75
Masquerade Hotel,2019-01-11,2019-01-18,,38.0
A Witness Out of the Blue,2019-10-17,2019-10-24,,62.5
The Queen's Corgi,2019-03-27,2019-04-03,,57.0
The Battle: Roar to Victory,2019-08-09,2019-08-16,,28.75
Fly Me to the Saitama,2019-02-15,2019-02-22,,12.5
Somewhere Winter,2019-11-08,2019-11-15,,54.0
My Dear Liar,2019-11-01,2019-11-08,,19.375
The Wild Goose Lake,2019-12-18,2019-12-25,,55.375
Fall In Love At First Kiss,2019-02-07,2019-02-14,,20.5
Total Dhamaal,2019-02-15,2019-02-22,,24.625
Bodies at Rest,2019-08-09,2019-08-16,,46.0
Skyfire,2021-02-05,2021-02-12,,58.875
Start-Up,2019-12-11,2019-12-18,,69.25
A Rainy Day in New York,2020-10-02,2020-10-09,,78.125
Only Cloud Knows,2019-12-13,2019-12-20,,21.25
The Knight of Shadows: Between Yin and Yang,2019-01-29,2019-02-05,,21.75
The Specials,2019-10-16,2019-10-23,,89.875
Always Miss You,2019-04-26,2019-05-03,,74.0
An Officer and a Spy,2019-11-14,2019-11-21,,66.5
Greta,2019-02-22,2019-03-01,,50.125
Peppa Celebrates Chinese New Year,2019-01-29,2019-02-05,,26.875
"My People, My Homeland",2020-10-02,2020-10-09,,36.0
Legend of Deification,2020-09-24,2020-10-01,,35.0
A Little Red Flower,2020-12-24,2020-12-31,,20.375
Shock Wave 2,2020-12-17,2020-12-24,,32.5
The Sacrifice,2020-10-16,2020-10-23,,77.125
Soul,2020-10-04,2020-10-11,,71.5
Caught in Time,2020-11-13,2020-11-20,,67.5
Tolo Tolo,2019-12-25,2020-01-01,,22.0
Trolls 2: World Tour,2020-04-03,2020-04-10,,31.25
Tanhaji: The Unsung Warrior,2020-01-03,2020-01-10,,19.125
The End of Endless Love,2014-02-07,2014-02-14,,30.875
New Interpretation Records of the Three Kingdoms,2020-12-04,2020-12-11,,12.5
The Man Standing Next,2020-01-24,2020-01-31,,42.375
Poupelle of Chimney Town,2021-12-23,2021-12-30,,50.125
Violet Evergarden: The Movie,2021-03-23,2021-03-30,,61.0
Hitman: Agent Jun,2020-01-15,2020-01-22,,18.75
Digimon Adventure: Last Evolution Kizuna,2020-02-14,2020-02-21,,22.125
Howling Village,2021-08-06,2021-08-13,,59.625
Samjin Company English Class,2020-10-14,2020-10-21,,15.625
Wotakoi: Love Is Hard for Otaku,2020-01-31,2020-02-07,,44.0
The Voice of Sin,2020-10-23,2020-10-30,,18.625
Bigfoot Family,2020-07-29,2020-08-05,,52.5
Street Dancer 3D,2020-01-17,2020-01-24,,31.625
My Spy,2020-06-19,2020-06-26,,43.25
The Asadas,2020-09-25,2020-10-02,,24.125
Secret Zoo,2020-01-08,2020-01-15,,56.75
365 Days,2020-01-31,2020-02-07,,74.125
Break the Silence: The Movie,2020-09-17,2020-09-24,,80.0
The Secret Garden,2020-10-16,2020-10-23,,46.375
Your Eyes Tell,2020-10-16,2020-10-23,,65.625
Antebellum,2020-09-11,2020-09-18,,40.375
The Marriage Escape,2020-02-06,2020-02-13,,36.5
The Heist of the Century,2020-01-09,2020-01-16,,24.875
De Gaulle,2021-10-15,2021-10-22,,92.75
Fukushima 50,2020-02-28,2020-03-06,,43.5
"Turu, the Wacky Hen",2019-12-25,2020-01-01,,12.5
Adu,2020-01-24,2020-01-31,,69.375
Spycies,2020-01-04,2020-01-11,,24.25
Dragon Rider,2020-09-24,2020-10-01,,75.625
Shubh Mangal Zyada Saavdhan,2020-02-14,2020-02-21,,18.875
Midnight Swan,2020-09-18,2020-09-25,,30.125
Hotel Belgrade,2020-02-27,2020-03-05,,65.625
How to Be a Good Wife,2020-03-04,2020-03-11,,63.0
Twiceborn,2020-10-09,2020-10-16,,37.75
Beasts Clawing at Straws,2020-10-14,2020-10-21,,60.25
Cindy La Regia,2020-01-18,2020-01-25,,41.5
Love Aaj Kal,2020-02-07,2020-02-14,,23.875
Ayyappanum Koshiyum,2020-01-31,2020-02-07,,18.375
The Real Exorcist,2020-08-21,2020-08-28,,42.25
Mayday,2021-09-24,2021-10-01,,78.75
Military Wives,2020-02-28,2020-03-06,,57.5
The Broken Hearts Gallery,2020-09-04,2020-09-11,,42.5
Detective Chinatown 3,2021-02-05,2021-02-12,,25.25
"My Country, My Parents",2021-10-01,2021-10-08,,24.625
Chinese Doctors,2021-07-23,2021-07-30,,38.375
Cliff Walkers,2021-04-23,2021-04-30,,25.375
A Writer's Odyssey,2021-02-05,2021-02-12,,25.125
Be Somebody,2016-06-03,2016-06-10,,44.0
Detective Conan: The Scarlet Bullet,2021-04-09,2021-04-16,,32.25
1921,2021-06-24,2021-07-01,,81.625
Cloudy Mountain,2021-10-15,2021-10-22,,35.5
Nezha Reborn,2021-04-05,2021-04-12,,22.625
Man in Love,2021-08-13,2021-08-20,,83.375
Break Through the Darkness,2021-04-24,2021-05-01,,18.125
Schemes in Antiques,2021-12-10,2021-12-17,,39.0
Luca,2021-06-11,2021-06-18,,39.25
The Yinyang Master,2021-03-12,2021-03-19,,23.375
Once Upon a Time in Hong Kong,2021-04-24,2021-05-01,,49.125
The Last Warrior: Root of Evil,2020-12-25,2021-01-01,,12.5
Wish Dragon,2021-06-04,2021-06-11,,19.75
Sinkhole,2021-08-04,2021-08-11,,65.25
Gintama: The Final,2021-01-01,2021-01-08,,27.625
Railway Heroes,2021-11-18,2021-11-25,,24.125
Upon the Magic Roads,2021-02-11,2021-02-18,,24.0
Something About Love,2021-06-08,2021-06-15,,74.875
The Tomorrow War,2021-06-25,2021-07-02,,18.5
OSS 117: From Africa with Love,2021-07-28,2021-08-04,,18.75
Hostage: Missing Celebrity,2021-08-13,2021-08-20,,41.625
Eiffel,2022-04-08,2022-04-15,,93.875
Vakeel Saab,2021-04-02,2021-04-09,,19.5
Monkey King Reborn,2021-04-05,2021-04-12,,12.5
Baragaki: Unbroken Samurai,2021-10-08,2021-10-15,,23.625
Ainbo,2021-02-06,2021-02-13,,55.75
All About My Mother,2021-09-08,2021-09-15,,72.25
The Eleventh Chapter,2021-03-26,2021-04-02,,12.5
The Vault,2021-03-19,2021-03-26,,87.625
The Protégé,2021-08-13,2021-08-20,,21.125
White Snake 2: Green Snake,2021-07-16,2021-07-23,,24.875
Hard Hit,2021-06-16,2021-06-23,,80.75
The Ice Road,2021-06-18,2021-06-25,,18.5
'83,2021-12-16,2021-12-23,,60.875
Signal: The Movie,2021-03-26,2021-04-02,,43.5
Couple from the Future,2021-02-25,2021-03-04,,31.875
Sooryavanshi,2021-10-29,2021-11-05,,18.25
Bheemla Nayak,2022-02-18,2022-02-25,,22.375
Valimai,2022-02-17,2022-02-24,,20.5
The Pirates: The Last Royal Treasure,2022-01-19,2022-01-26,,12.5
Turning Red,2022-03-04,2022-03-11,,28.25
The Bad Guys,2022-04-15,2022-04-22,,64.875
The Policeman's Lineage,2021-12-29,2022-01-05,,12.5
The Duke,2022-04-15,2022-04-22,,78.375
Ambulance,2022-04-01,2022-04-08,,65.25
Bheeshma Parvam,2022-02-24,2022-03-03,,19.25
Special Delivery,2022-01-05,2022-01-12,,84.375
Between Two Worlds,2022-02-04,2022-02-11,,79.25
The Exorcism of God,2022-03-04,2022-03-11,,21.75
The Grandmother,2022-03-30,2022-04-06,,85.125
In Our Prime,2022-03-02,2022-03-09,,50.625
Hridayam,2022-01-14,2022-01-21,,18.0
Aaraattu,2022-02-11,2022-02-18,,17.875
Love Is Better Than Life,2022-03-25,2022-04-01,,43.375
Swingers,2022-01-20,2022-01-27,,85.375
Badhaai Do,2022-02-04,2022-02-11,,20.5
Veerame Vaagai Soodum,2022-01-28,2022-02-04,,16.625
Aaja Mexico Challiye,2022-02-18,2022-02-25,,20.25
Krime Story,2021-11-12,2021-11-19,,24.375
The Souvenir,2019-05-10,2019-05-17,,53.375
My Brothers and I,2021-07-05,2021-07-12,,81.0
Boiling Point,2021-11-12,2021-11-19,,80.625
Meppadiyan,2022-01-07,2022-01-14,,17.5
Serve the People,2022-02-16,2022-02-23,,77.75
Hey Sinamika,2022-02-24,2022-03-03,,19.0
Ek Love Ya,2022-02-17,2022-02-24,,25.375
Nitram,2022-03-23,2022-03-30,,55.75
The Contractor,2022-03-25,2022-04-01,,29.375
Last Looks,2022-01-28,2022-02-04,,61.125
Naai Sekar,2022-01-06,2022-01-13,,18.5
My Wonderful Wanda,2021-04-16,2021-04-23,,24.625
Super Sharanya,2021-12-31,2022-01-07,,27.625
Black Glasses,2022-02-17,2022-02-24,,81.875
Jane by Charlotte,2022-03-11,2022-03-18,,45.375
Arthur Rambo,2021-12-01,2021-12-08,,37.875
Bachchhan Paandey,2022-03-11,2022-03-18,,24.625
Stop-Zemlia,2022-01-14,2022-01-21,,23.875
