movie,tmdbid,adult,budget,tmdb_popularity,revenue,runtime
The Eight Hundred,508935,False,80000000,11.826,460919368,147
Demon Slayer the Movie: Mugen Train,635302,False,15800000,1147.206,503063688,117
Bad Boys for Life,38700,False,90000000,119.235,426505244,124
"My People, My Homeland",734778,False,0,3.699,0,153
Tenet,577922,False,205000000,135.06,363129000,150
Sonic the Hedgehog,675353,False,110000000,6129.765,164000000,122
Dolittle,448119,False,175000000,66.133,245692007,101
Legend of Deification,635389,False,0,13.775,240656068,105
A Little Red Flower,716815,False,0,1.433,0,128
The Croods 2: A New Age,,,,,,
Birds of Prey,495764,False,75000000,133.006,201858461,109
Shock Wave 2,559974,False,0,16.135,0,120
Wonder Woman 1984,464052,False,200000000,266.245,165160005,151
The Sacrifice,413254,False,0,1.21,0,7
The Invisible Man,570670,False,7000000,30.186,130234661,124
Onward,508439,False,200000000,77.451,141592359,103
Warm Hug,743413,False,0,2.744,0,112
Soul,508442,False,150000000,283.46,136384442,101
The Call of the Wild,481848,False,109000000,54.411,107604626,100
Caught in Time,473864,False,0,0.6,0,7
The Yin-Yang Master: Dream of Eternity,757860,False,0,14.617,69000000,132
Mulan,337401,False,200000000,223.086,66800000,115
Stand by Me Doraemon 2,265712,False,35000000,106.922,83061158,90
The Rescue,743439,False,0,183.561,0,56
Love You Forever,764620,False,0,0.6,0,21
Greenland,524047,False,34000000,72.587,52300000,120
Tolo Tolo,593402,False,20000000,7.967,52186426,90
Vanguard,604822,False,0,246.783,27900000,107
The New Mutants,340102,False,67000000,94.057,49169594,94
Fantasy Island,539537,False,7000000,33.846,47078545,109
After We Collided,613504,False,0,293.241,42000000,105
"From Today, It's My Turn: The Movie",698222,False,0,4.025,0,114
Trolls 2: World Tour,446893,False,0,110.005,47000000,90
Tanhaji: The Unsung Warrior,584850,False,0,6.181,0,135
Unhinged,625568,False,33000000,32.122,39238300,90
The End of Endless Love,757583,False,0,0.6,0,0
Peninsula,581392,False,17000000,172.246,39657073,116
Monster Hunter,458576,False,60000000,329.305,42145959,104
Underwater,443791,False,50000000,38.464,40882928,95
The War with Grandpa,425001,False,18000000,25.453,16262351,98
Sarileru Neekevvaru,607313,False,11000000,5.76,0,169
New Interpretation Records of the Three Kingdoms,726654,False,0,2.535,0,0
The Confidence Man JP: Princess,657350,False,0,3.156,35762324,124
The Man Standing Next,566397,False,0,10.279,0,114
My Mom is a Character 3,620683,False,2000000,5.85,39273021,111
Doraemon the Movie: Nobita's New Dinosaur,682153,False,0,14.612,0,110
Deliver Us from Evil,184346,False,30000000,34.288,87937815,118
Bloodshot,338762,False,42000000,65.757,33542457,110
Harry Potter and the Sorcerer's Stone 2020 Re-release,,,,,,
Honest Thief,553604,False,0,146.87,31220247,99
Like a Boss,526019,False,29000000,21.372,26925979,83
Bath Buddy,758895,False,0,1.612,0,103
Ala Vaikunthapurramuloo,628241,False,14000000,7.522,28859072,165
The Witches,531219,False,0,225.306,26900000,106
Scooby-Doo: A New Universe,,,,,,
Emma.,556678,False,0,29.439,25155355,125
Leap,25195,False,19000000,52.553,32686500,100
Interstellar 2020 Re-release,,,,,,
The Father,600354,False,0,32.615,21029340,97
Gretel & Hansel,542224,False,5000000,17.167,22059211,87
Poupelle of Chimney Town,655437,False,0,4.481,0,100
Stigmatized Properties,742043,False,0,2.376,0,111
Pokémon the Movie: Secrets of the Jungle,662708,False,0,147.248,0,98
The Photograph,589049,False,0,7.423,0,106
Yarn,351487,False,0,1.4,0,0
Violet Evergarden: The Movie,533514,False,0,29.644,20339624,140
Brahms: The Boy II,555974,False,10000000,50.8,20311536,86
Ice 2,877200,False,0,0.6,0,50
Soul Snatcher,312900,False,0,0.841,0,30
The Turning,492611,False,14000000,15.814,18472775,94
Fate/Stay Night: Heaven's Feel - III. Spring Song,390635,False,0,19.296,20150000,120
Takizawa Enbujo Zero,859323,False,0,1.4,0,140
The Promised Neverland,634521,False,0,11.68,0,119
Kaiji: Final Game,663509,False,0,3.553,0,128
Hitman: Agent Jun,604362,False,0,8.59,0,110
Digimon Adventure: Last Evolution Kizuna,571265,False,0,235.223,24200000,94
Promising Young Woman,582014,False,0,26.58,13868965,114
