movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
Frozen,109445,tt2294629,Kristen Bell,15.307,Idina Menzel,10.721,Jonathan Groff,10.632,Frank Welker,16.625,Josh Gad,11.913
Iron Man 3,68721,tt1300854,Robert Downey Jr.,38.361,Gwyneth Paltrow,15.957,Don Cheadle,12.494,Guy Pearce,19.454,Rebecca Hall,27.441
Despicable Me 2,93456,tt1690953,Steve Carell,18.584,Kristen Wiig,16.468,Benjamin Bratt,14.298,Miranda Cosgrove,32.281,Russell Brand,11.873
The Hobbit: The Desolation of Smaug,57158,tt1170358,Ian McKellen,15.137,Martin Freeman,18.272,Richard Armitage,16.794,Benedict Cumberbatch,39.658,Orlando Bloom,13.4
The Hunger Games: Catching Fire,101299,tt1951264,Jennifer Lawrence,26.491,Josh Hutcherson,9.872,Liam Hemsworth,10.599,Woody Harrelson,19.341,Elizabeth Banks,14.855
Fast & Furious 6,82992,tt1905041,Vin Diesel,29.696,Paul Walker,20.93,Dwayne Johnson,29.99,Jordana Brewster,19.391,Michelle Rodriguez,23.481
Monsters University,62211,tt1453405,Billy Crystal,12.905,John Goodman,20.059,Steve Buscemi,27.372,Helen Mirren,23.338,Peter Sohn,3.594
Gravity,49047,tt1454468,Sandra Bullock,32.612,George Clooney,20.782,Ed Harris,14.475,Orto Ignatiussen,3.08,Phaldut Sharma,2.256
Man of Steel,49521,tt0770828,Henry Cavill,49.011,Amy Adams,27.066,Michael Shannon,25.485,Diane Lane,29.484,Russell Crowe,22.033
Thor: The Dark World,76338,tt1981115,Chris Hemsworth,39.666,Natalie Portman,25.669,Tom Hiddleston,34.228,Anthony Hopkins,22.564,Christopher Eccleston,10.661
The Croods,49519,tt0481499,Nicolas Cage,32.207,Ryan Reynolds,50.239,Emma Stone,35.013,Catherine Keener,20.677,Cloris Leachman,10.459
World War Z,72190,tt0816711,Brad Pitt,26.942,Mireille Enos,14.889,Daniella Kertesz,7.771,James Badge Dale,16.587,Ludi Boeken,3.832
Oz the Great and Powerful,68728,tt1623205,James Franco,11.754,Mila Kunis,20.107,Rachel Weisz,14.704,Michelle Williams,20.576,Zach Braff,14.01
Star Trek Into Darkness,54138,tt1408101,Chris Pine,28.479,Zachary Quinto,10.758,Zoe Saldana,23.895,Karl Urban,21.231,Simon Pegg,13.058
The Wolverine,76170,tt1430132,Hugh Jackman,23.509,Tao Okamoto,14.629,Rila Fukushima,9.259,Hiroyuki Sanada,16.412,Famke Janssen,22.063
Pacific Rim,68726,tt1663662,Charlie Hunnam,18.698,Rinko Kikuchi,14.835,Idris Elba,26.498,Max Martini,10.693,Clifton Collins Jr.,5.105
The Wolf of Wall Street,106646,tt0993846,Leonardo DiCaprio,24.953,Jonah Hill,14.14,Margot Robbie,29.861,Matthew McConaughey,20.491,Kyle Chandler,14.533
G.I. Joe: Retaliation,72559,tt1583421,Dwayne Johnson,32.997,Bruce Willis,26.557,Jonathan Pryce,10.951,Adrianne Palicki,13.954,Ray Park,9.588
The Hangover Part III,109439,tt1951261,Bradley Cooper,34.074,Ed Helms,21.134,Zach Galifianakis,18.372,Justin Bartha,19.015,Ken Jeong,12.382
The Great Gatsby,64682,tt1343092,Leonardo DiCaprio,24.953,Tobey Maguire,29.442,Carey Mulligan,14.494,Joel Edgerton,9.409,Elizabeth Debicki,15.707
Now You See Me,75656,tt1670345,Woody Harrelson,17.402,Morgan Freeman,33.342,Jesse Eisenberg,26.404,Isla Fisher,15.577,Mark Ruffalo,10.756
The Smurfs 2,77931,tt2017020,Hank Azaria,15.128,Neil Patrick Harris,19.183,Brendan Gleeson,32.534,Jayma Mays,24.572,Katy Perry,3.496
The Conjuring,138843,tt1457767,Vera Farmiga,28.396,Patrick Wilson,31.977,Lili Taylor,11.533,Ron Livingston,18.183,Mackenzie Foy,11.474
A Good Day to Die Hard,47964,tt1606378,Bruce Willis,25.856,Jai Courtney,10.934,Sebastian Koch,5.482,Yuliya Snigir,7.481,Cole Hauser,44.933
Oblivion,75612,tt1483013,Tom Cruise,37.023,Morgan Freeman,33.342,Olga Kurylenko,29.352,Andrea Riseborough,23.697,Nikolaj Coster-Waldau,26.055
Elysium,68724,tt1535108,Matt Damon,27.397,Jodie Foster,16.901,Sharlto Copley,15.537,Diego Luna,18.074,Wagner Moura,17.815
Turbo,77950,tt1860353,Ryan Reynolds,40.796,Paul Giamatti,22.095,Michael Peña,22.593,Samuel L. Jackson,56.705,Luis Guzmán,11.721
Cloudy with a Chance of Meatballs 2,109451,tt1985966,Bill Hader,17.811,Anna Faris,23.242,James Caan,25.275,Will Forte,11.281,Andy Samberg,32.41
Epic,116711,tt0848537,Colin Farrell,43.802,Amanda Seyfried,37.184,Christoph Waltz,18.156,Josh Hutcherson,9.872,Jason Sudeikis,8.331
The Lone Ranger,57201,tt1210819,Johnny Depp,50.461,Armie Hammer,23.554,Tom Wilkinson,13.739,William Fichtner,20.966,Barry Pepper,22.121
