,Release Group,Score_Rotten,Score_Audience,Rating,Genre,Director,Producer,Release Date (Theaters),Box Office (Gross USA)
0,Avengers: Endgame,94,90,PG-13,"['Fantasy', 'Sci-fi', 'Action', 'Adventure']","['AnthonyRusso', 'JoeRusso']",['KevinFeige'],"['Apr 26', '2019']",858.4M
1,The Lion King,52,88,PG,"['Kids&family', 'Adventure']",['JonFavreau'],"['JonFavreau', 'JeffreySilver', 'KarenGilchrist']","['Jul 19', '2019']",543.6M
2,Frozen II,77,92,PG,"['Musical', 'Adventure', 'Kids&family', 'Comedy', 'Animation']","['ChrisBuck', 'JenniferLee']",['PeterDelVecho'],"['Nov 22', '2019']",477.4M
3,Spider-Man: Far from Home,90,95,PG-13,"['Fantasy', 'Comedy', 'Action', 'Adventure']",['JonWatts'],"['KevinFeige', 'AmyPascal']","['Jul 2', '2019']",390.7M
4,Captain Marvel,79,45,PG-13,"['Fantasy', 'Sci-fi', 'Action', 'Adventure']","['AnnaBoden', 'RyanFleck']",['KevinFeige'],"['Mar 8', '2019']",426.8M
5,Joker,68,88,R,"['Drama', 'Crime']",['ToddPhillips'],"['ToddPhillips', 'BradleyCooper', 'EmmaTillingerKoskoff']","['Oct 4', '2019']",335.4M
6,Star Wars: Episode IX - The Rise of Skywalker,,,,,,,,
7,Toy Story 4,97,94,G,"['Fantasy', 'Adventure', 'Kids&family', 'Comedy', 'Animation']",['JoshCooley'],"['MarkNielsen', 'JonasRivera', 'GalynSusman']","['Jun 21', '2019']",434.0M
8,Aladdin,57,94,PG,"['Fantasy', 'Musical', 'Adventure', 'Kids&family', 'Comedy', 'Romance']",['GuyRitchie'],"['DanLin', 'JonathanEirich']","['May 24', '2019']",355.6M
9,Jumanji: The Next Level,71,87,PG-13,"['Fantasy', 'Comedy', 'Action', 'Adventure']",['JakeKasdan'],"['DanyGarcia', 'HiramGarcia', 'DwayneJohnson', 'JakeKasdan', 'MatthewTolmach']","['Dec 13', '2019']",316.8M
10,Fast & Furious Presents: Hobbs & Shaw,67,88,PG-13,"['Comedy', 'Action', 'Adventure']",['DavidLeitch'],"['DwayneJohnson', 'JasonStatham', 'ChrisMorgan', 'HiramGarcia']","['Aug 2', '2019']",173.8M
11,Ne Zha,88,98,,"['Animation', 'Fantasy', 'Adventure']",['YuYang'],,"['Sep 6', '2019']",3.7M
12,The Wandering Earth,69,48,,['Sci-fi'],['FrantGwo'],['GongGeer'],"['Feb 8', '2019']",2.2M
13,How to Train Your Dragon: The Hidden World,90,86,PG,"['Kids&family', 'Adventure', 'Fantasy', 'Comedy', 'Animation']",['DeanDeBlois'],"['BradLewis', 'BonnieArnold']","['Feb 22', '2019']",160.8M
14,Maleficent: Mistress of Evil,39,95,PG,"['Fantasy', 'Adventure']",['JoachimRønning'],"['JoeRoth', 'AngelinaJolie', 'DuncanHenderson']","['Oct 18', '2019']",113.9M
15,It Chapter Two,62,78,R,"['Horror', 'Mystery&thriller']",['AndyMuschietti'],"['DanLin', 'RoyLee', 'BarbaraMuschietti']","['Sep 6', '2019']",211.6M
16,"My People, My Country",,68,,['Drama'],"['ChenKaige', 'HuGuan']",['JianxinHuang'],,2.4M
17,Pokémon Detective Pikachu,68,79,PG,"['Adventure', 'Comedy', 'Kids&family', 'Mystery&thriller']",['RobLetterman'],"['MaryParent', 'CaleBoyter', 'HidenagaKatakami', 'DonMcGowan']","['May 10', '2019']",144.1M
18,The Secret Life of Pets 2,60,90,PG,"['Kids&family', 'Animation', 'Comedy', 'Adventure']",['ChrisRenaud'],"['ChristopherMeledandri', 'JanetHealy']","['Jun 7', '2019']",158.2M
19,The Captain,,,,,,,,
20,Alita: Battle Angel,61,92,PG-13,"['Sci-fi', 'Adventure', 'Fantasy', 'Animation', 'Action']",['RobertRodriguez'],"['JamesCameron', 'JonLandau']","['Feb 14', '2019']",85.8M
21,Godzilla: King of the Monsters,42,83,PG-13,"['Action', 'Sci-fi', 'Adventure']",['MichaelDougherty'],"['MaryParent', 'AlexGarcia', 'ThomasTull', 'JonJashni', 'BrianRogers']","['May 31', '2019']",110.5M
