movie,startdate,releasedate,Text,mean_google_trend_popularity
Avengers: Endgame,2019-04-19,2019-04-26,,39.75
The Lion King,2019-07-12,2019-07-19,,40.0
Frozen II,2019-11-15,2019-11-22,,43.875
Spider-Man: Far from Home,2019-06-25,2019-07-02,,51.25
Captain Marvel,2019-03-01,2019-03-08,,35.375
Joker,2019-09-27,2019-10-04,,38.375
Star Wars: Episode IX - The Rise of Skywalker,2019-12-13,2019-12-20,,20.25
Toy Story 4,2019-06-14,2019-06-21,,40.625
Aladdin,2019-05-17,2019-05-24,,41.0
Jumanji: The Next Level,2019-12-06,2019-12-13,,46.5
Fast & Furious Presents: Hobbs & Shaw,2019-07-26,2019-08-02,,39.875
Ne Zha,2019-08-30,2019-09-06,,71.5
The Wandering Earth,2019-02-01,2019-02-08,,38.5
How to Train Your Dragon: The Hidden World,2019-02-15,2019-02-22,,58.125
Maleficent: Mistress of Evil,2019-10-11,2019-10-18,,42.125
It Chapter Two,2019-08-30,2019-09-06,,39.75
Pokémon Detective Pikachu,2019-05-03,2019-05-10,,48.75
The Secret Life of Pets 2,2019-05-31,2019-06-07,,57.5
Alita: Battle Angel,2019-02-07,2019-02-14,,77.5
1917,2020-01-03,2020-01-10,,41.875
Once Upon a Time... In Hollywood,2019-07-19,2019-07-26,,40.875
Dumbo,2019-03-22,2019-03-29,,41.25
John Wick: Chapter 3 - Parabellum,2019-05-10,2019-05-17,,40.25
Knives Out,2019-11-20,2019-11-27,,55.25
Terminator: Dark Fate,2019-10-25,2019-11-01,,54.0
Parasite,2019-10-04,2019-10-11,,65.0
Us,2019-03-15,2019-03-22,,77.375
Men in Black: International,2019-06-07,2019-06-14,,40.0
X-Men: Dark Phoenix,2019-05-31,2019-06-07,,53.125
Glass,2019-01-11,2019-01-18,,71.0
The Bravest,2019-08-02,2019-08-09,,39.25
Annabelle Comes Home,2019-06-19,2019-06-26,,40.25
Better Days,2019-11-01,2019-11-08,,64.75
Ford v Ferrari,2019-11-08,2019-11-15,,39.0
Little Women,2019-12-18,2019-12-25,,39.25
The Addams Family,2019-10-04,2019-10-11,,58.75
Rocketman,2019-05-24,2019-05-31,,53.75
Weathering with You,2020-01-08,2020-01-15,,58.5
Downton Abbey,2019-09-13,2019-09-20,,57.25
The Lego Movie 2: The Second Part,2019-02-01,2019-02-08,,47.25
Sheep Without a Shepherd,2019-12-12,2019-12-19,,23.5
Abominable,2019-09-20,2019-09-27,,44.875
Ip Man 4: The Finale,2019-12-18,2019-12-25,,56.25
Gemini Man,2019-10-04,2019-10-11,,46.625
Spies in Disguise,2019-12-18,2019-12-25,,23.875
Hustlers,2019-09-06,2019-09-13,,45.875
The Climbers,2019-09-27,2019-10-04,,59.5
Escape Room,2018-12-28,2019-01-04,,38.25
Yesterday,2019-06-21,2019-06-28,,58.375
The Angry Birds Movie 2,2019-08-06,2019-08-13,,62.5
Angel Has Fallen,2019-08-16,2019-08-23,,42.625
Ad Astra,2019-09-13,2019-09-20,,36.75
Midway,2019-11-01,2019-11-08,,43.125
The Upside,2019-01-04,2019-01-11,,34.5
The Curse of La Llorona,2019-04-12,2019-04-19,,36.5
Looking Up,2019-07-12,2019-07-19,,90.5
Zombieland: Double Tap,2019-10-11,2019-10-18,,50.0
Last Christmas,2019-11-01,2019-11-08,,49.25
Extreme Job,2019-01-18,2019-01-25,,52.75
Dora and the Lost City of Gold,2019-08-02,2019-08-09,,30.125
Wonder Park,2019-03-08,2019-03-15,,37.375
The Gentlemen,2020-01-17,2020-01-24,,48.625
Pet Sematary,2019-03-29,2019-04-05,,37.375
Good Boys,2019-08-09,2019-08-16,,43.375
Scary Stories to Tell in the Dark,2019-08-02,2019-08-09,,32.875
Line Walker 2: Invisible Spy,2019-08-09,2019-08-16,,52.5
The Hustle,2019-05-03,2019-05-10,,30.5
Crawl,2019-07-05,2019-07-12,,38.375
