Release-Date,Movie,Revenue, Revenue1,NumTheatres,Production,UNK1,UNK2,UNK3
2010-01-08,Daybreakers,"$30,101,577","$30,101,577",100,Lionsgate,,,
2010-01-08,Leap Year,"$25,918,920","$25,918,920",107,Universal Pictures,,,
2010-01-08,Youth in Revolt,"$15,281,286","$15,281,286",131,-,,,
2010-01-15,The Book of Eli,"$94,835,059","$94,835,059",30,Warner Bros.,,,
2010-01-15,The Spy Next Door,"$24,307,086","$24,307,086",112,Lionsgate,,,
2010-01-15,The Last Station,"$6,617,867","$6,617,867",156,Sony Pictures Classics,,,
2010-01-22,Tooth Fairy,"$60,022,256","$60,022,256",56,Twentieth Century Fox,,,
2010-01-22,Legion,"$40,168,080","$40,168,080",81,Screen Gems,,,
2010-01-22,Extraordinary Measures,"$12,068,313","$12,068,313",137,CBS Films,,,
2010-01-22,To Save a Life,"$3,777,210","$3,777,210",172,The Samuel Goldwyn Company,,,
2010-01-29,Edge of Darkness,"$43,313,890","$43,313,890",76,Warner Bros.,,,
2010-01-29,When in Rome,"$32,680,633","$32,680,633",94,Walt Disney Studios Motion Pictures,,,
2010-02-05,Dear John,"$80,014,842","$80,014,842",40,Screen Gems,,,
2010-02-05,From Paris with Love,"$24,077,427","$24,077,427",113,Lionsgate,,,
2010-02-12,Valentine's Day,"$110,485,654","$110,485,654",22,Warner Bros.,,,
2010-02-12,Percy Jackson & the Olympians: The Lightning Thief,"$88,768,303","$88,768,303",35,Twentieth Century Fox,,,
2010-02-12,The Wolfman,"$61,979,680","$61,979,680",52,Universal Pictures,,,
2010-02-12,My Name Is Khan,"$4,018,771","$4,018,771",171,Fox Searchlight Pictures,,,
2010-02-13,Under the Sea 3D,"$5,894,782","$36,262,926",161,Warner Bros.,,,
2010-02-19,Shutter Island,"$128,012,934","$128,012,934",17,Paramount Pictures,,,
2010-02-19,The Ghost Writer,"$15,541,549","$15,541,549",130,Summit Entertainment,,,
2010-02-26,Cop Out,"$44,875,481","$44,875,481",73,Warner Bros.,,,
2010-02-26,The Crazies,"$39,123,589","$39,123,589",82,Overture Films,,,
2010-02-26,A Prophet,"$2,087,720","$2,087,720",195,Sony Pictures Classics,,,
2010-03-05,Alice in Wonderland,"$334,191,110","$334,191,110",3,Walt Disney Studios Motion Pictures,,,
2010-03-05,Brooklyn's Finest,"$27,163,593","$27,163,593",104,Overture Films,,,
2010-03-12,Green Zone,"$35,053,660","$35,053,660",90,Universal Pictures,,,
2010-03-12,She's Out of My League,"$32,010,860","$32,010,860",95,Paramount Pictures,,,
2010-03-12,Our Family Wedding,"$20,255,281","$20,255,281",122,Fox Searchlight Pictures,,,
2010-03-12,Remember Me,"$19,068,240","$19,068,240",125,Summit Entertainment,,,
2010-03-19,The Bounty Hunter,"$67,061,228","$67,061,228",47,Sony Pictures Entertainment (SPE),,,
2010-03-19,Diary of a Wimpy Kid,"$64,003,625","$64,003,625",48,Twentieth Century Fox,,,
2010-03-19,Hubble,"$20,069,368","$52,522,904",123,Warner Bros.,,,
2010-03-19,Repo Men,"$13,794,835","$13,794,835",133,Universal Pictures,,,
2010-03-19,The Girl with the Dragon Tattoo,"$10,092,799","$10,095,170",142,Music Box Films,,,
2010-03-19,City Island,"$6,671,036","$6,671,036",155,Anchor Bay Films,,,
2010-03-19,Greenberg,"$4,234,170","$4,234,170",169,Focus Features,,,
2010-03-19,The Runaways,"$3,573,673","$3,573,673",174,Apparition,,,
2010-03-26,How to Train Your Dragon,"$217,581,231","$217,581,231",10,DreamWorks,,,
2010-03-26,Hot Tub Time Machine,"$50,287,556","$50,287,556",67,Metro-Goldwyn-Mayer (MGM),,,
2010-03-26,Chloe,"$3,075,255","$3,075,255",182,Sony Pictures Classics,,,
2010-03-31,The Last Song,"$62,950,384","$62,950,384",51,Walt Disney Studios Motion Pictures,,,
2010-04-02,Clash of the Titans,"$163,214,888","$163,214,888",12,Warner Bros.,,,
2010-04-02,Why Did I Get Married Too?,"$60,095,852","$60,095,852",55,Lionsgate,,,
2010-04-09,Date Night,"$98,711,404","$98,711,404",28,Twentieth Century Fox,,,
2010-04-09,Letters to God,"$2,848,578","$2,848,578",185,Vivendi Entertainment,,,
2010-04-16,Kick-Ass,"$48,071,303","$48,071,303",70,Lionsgate,,,
2010-04-16,Death at a Funeral,"$42,739,347","$42,739,347",77,Screen Gems,,,
2010-04-16,The Secret in Their Eyes,"$6,391,436","$6,391,436",158,Sony Pictures Classics,,,
2010-04-16,Exit Through the Gift Shop,"$3,291,250","$3,291,250",178,-,,,
2010-04-22,Oceans,"$19,422,319","$19,422,319",124,Walt Disney Studios Motion Pictures,,,
2010-04-23,The Back-up Plan,"$37,490,007","$37,490,007",86,CBS Films,,,
2010-04-23,The Losers,"$23,591,432","$23,591,432",114,Warner Bros.,,,
2010-04-30,A Nightmare on Elm Street,"$63,075,011","$63,075,011",50,Warner Bros.,,,
2010-04-30,Furry Vengeance,"$17,630,465","$17,630,465",128,Summit Entertainment,,,
2010-04-30,Please Give,"$4,033,574","$4,033,574",170,Sony Pictures Classics,,,
