,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Transformers: Age of Extinction,4994,1050,3392,552
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,The Hobbit: The Battle of the Five Armies,4998,553,93,4352
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Guardians of the Galaxy,4997,2335,2059,603
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Maleficent,4996,2228,2068,700
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,The Hunger Games: Mockingjay - Part 1,4995,851,46,4098
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,X-Men: Days of Future Past,4993,1364,3208,421
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Captain America: The Winter Soldier,4991,1532,3070,389
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Dawn of the Planet of the Apes,4993,1776,2791,426
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,The Amazing Spider-Man 2,4993,4888,24,81
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Interstellar,4995,1956,2307,732
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Big Hero 6,4991,4335,409,247
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,How to Train Your Dragon 2,4999,1537,2751,711
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,American Sniper,4998,1872,2216,910
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Godzilla,4992,1515,1730,1747
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Rio 2,4996,2469,2172,355
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Teenage Mutant Ninja Turtles,4996,1609,3047,340
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,The Lego Movie,4997,2507,1938,552
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Lucy,4997,2125,2019,853
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Penguins of Madagascar,4989,2082,2243,664
