movie,tmdbid,adult,budget,tmdb_popularity,revenue,runtime
Star Wars: Episode VII - The Force Awakens,140607,False,245000000,88.269,2068223624,136
Jurassic World,135397,False,150000000,190.031,1671713208,124
Furious 7,168259,False,190000000,145.163,1515047671,137
Avengers: Age of Ultron,99861,False,365000000,231.021,1405403694,141
Minions,211672,False,74000000,73.585,1156730962,91
Spectre,206647,False,245000000,82.716,880674609,148
Inside Out,150540,False,175000000,131.456,857611174,95
Mission: Impossible - Rogue Nation,177677,False,150000000,57.708,682330139,131
The Hunger Games: Mockingjay - Part 2,131634,False,160000000,90.341,653428261,137
The Martian,286217,False,108000000,82.263,630161890,141
Fifty Shades of Grey,216015,False,40000000,175.679,571006128,125
Cinderella,11224,False,2900000,142.998,263591415,74
The Revenant,281957,False,135000000,75.575,532950503,157
Ant-Man,102899,False,130000000,96.577,519311965,117
Hotel Transylvania 2,159824,False,80000000,77.854,473226958,89
San Andreas,254128,False,110000000,155.802,473990832,114
Terminator Genisys,87101,False,155000000,134.168,440603537,126
Kingsman: The Secret Service,207703,False,81000000,115.697,414351546,129
Monster Hunt,458576,False,60000000,329.305,42145959,104
Home,634649,False,200000000,7358.5,1888000000,148
Mad Max: Fury Road,76341,False,150000000,183.051,378858340,121
The Good Dinosaur,105864,False,175000000,123.337,332207671,93
Taken 3,260346,False,48000000,156.714,325771424,109
The SpongeBob Movie: Sponge Out of Water,228165,False,74000000,69.366,311594032,93
Maze Runner: The Scorch Trials,294254,False,61000000,146.197,312296056,131
The Divergent Series: Insurgent,262500,False,110000000,88.192,295238201,119
Pitch Perfect 2,254470,False,29000000,55.449,287506194,115
Mojin: The Lost Legend,299824,False,37000000,35.809,278300000,127
Lost in Hong Kong,361613,False,0,3.948,0,114
The Peanuts Movie,227973,False,99000000,38.348,246233113,88
Pixels,257344,False,88000000,102.668,244874809,105
Daddy's Home,274167,False,50000000,34.093,242786137,96
Spy,10054,False,35000000,87.677,147934180,88
Alvin and the Chipmunks: The Road Chip,258509,False,90000000,49.092,233755553,92
Goodbye Mr. Loser,362682,False,0,6.939,0,104
Ted 2,214756,False,68000000,173.216,215863606,115
Tomorrowland,158852,False,190000000,102.873,209154322,130
Everest,253412,False,55000000,53.785,203427584,121
Straight Outta Compton,277216,False,28000000,71.291,201634991,147
The Intern,257211,False,35000000,39.934,194564672,121
Jian Bing Man,348595,False,0,4.72,0,113
Jupiter Ascending,76757,False,176000003,86.919,183987723,127
Creed,312221,False,37000000,116.274,173567581,133
Fantastic Four,166424,False,120000000,77.683,167977596,100
Bridge of Spies,296098,False,40000000,21.957,165478348,141
From Vegas to Macau II,329984,False,0,6.791,0,110
