movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
Spider-Man: No Way Home,634649,tt10872600,Tom Holland,128.32,Zendaya,47.236,Benedict Cumberbatch,39.658,Jacob Batalon,23.293,Jon Favreau,13.562
The Battle at Lake Changjin,779029,tt13462900,Wu Jing,19.876,Jackson Yee,10.104,Duan Yihong,3.692,Yawen Zhu,4.605,Jerry Lee,1.725
"Hi, Mom",42589,tt0065836,Robert De Niro,28.296,Jennifer Salt,6.741,Allen Garfield,6.661,Charles Durning,8.936,Lara Parker,4.403
No Time to Die,370172,tt2382320,Daniel Craig,18.56,Léa Seydoux,24.524,Rami Malek,20.994,Lashana Lynch,9.276,Ralph Fiennes,32.618
F9: The Fast Saga,385128,tt5433138,Vin Diesel,29.696,Michelle Rodriguez,23.481,Tyrese Gibson,8.218,Ludacris,17.428,John Cena,15.948
Detective Chinatown 3,602666,tt10370822,Baoqiang Wang,6.389,Liu Haoran,8.529,Satoshi Tsumabuki,9.482,Tony Jaa,13.728,Masami Nagasawa,13.437
Venom: Let There Be Carnage,580489,tt7097896,Tom Hardy,59.898,Woody Harrelson,19.341,Michelle Williams,20.576,Naomie Harris,15.392,Reid Scott,6.303
Godzilla vs. Kong,399566,tt5034838,Alexander Skarsgård,19.231,Millie Bobby Brown,16.633,Rebecca Hall,27.441,Brian Tyree Henry,9.253,Shun Oguri,11.892
Shang-Chi and the Legend of the Ten Rings,566525,tt9376612,Simu Liu,10.829,Tony Leung Chiu-wai,21.703,Awkwafina,44.339,Meng'er Zhang,12.261,Fala Chen,11.257
Eternals,524434,tt9032400,Gemma Chan,24.587,Richard Madden,25.349,Angelina Jolie,13.484,Kumail Nanjiani,12.183,Barry Keoghan,35.54
Dune,438631,tt1160419,Timothée Chalamet,34.52,Rebecca Ferguson,48.521,Oscar Isaac,60.716,Josh Brolin,39.186,Stellan Skarsgård,20.205
Black Widow,497698,tt3480822,Scarlett Johansson,38.188,Florence Pugh,21.962,Rachel Weisz,14.704,David Harbour,14.309,Ray Winstone,9.559
Sing 2,438695,tt6467266,Matthew McConaughey,20.491,Reese Witherspoon,14.224,Scarlett Johansson,38.188,Taron Egerton,16.392,Bobby Cannavale,12.744
Free Guy,550988,tt6264654,Ryan Reynolds,40.796,Jodie Comer,29.463,Joe Keery,10.688,Lil Rel Howery,8.914,Utkarsh Ambudkar,25.799
A Quiet Place Part II,520763,tt8332922,Emily Blunt,22.529,Cillian Murphy,59.74,Millicent Simmonds,9.276,Noah Jupe,15.812,Djimon Hounsou,35.554
Encanto,568124,tt2953050,Stephanie Beatriz,24.028,María Cecilia Botero,8.068,John Leguizamo,11.213,Mauro Castillo,2.457,Jessica Darrow,8.827
Cruella,337404,tt3228774,Emma Stone,40.711,Emma Thompson,24.804,Joel Fry,28.613,Paul Walter Hauser,17.355,Mark Strong,25.911
"My Country, My Parents",869724,tt15465312,Wu Jing,19.876,Zhang Ziyi,14.867,Xu Zheng,4.063,Shen Teng,10.846,Huang Xuan,11.613
Jungle Cruise,451048,tt0870154,Dwayne Johnson,29.99,Emily Blunt,22.529,Edgar Ramírez,6.615,Jack Whitehall,14.041,Jesse Plemons,32.283
Raging Fire,513692,tt8165192,Donnie Yen,16.207,Nicholas Tse,12.697,Qin Lan,17.462,Ray Lui,6.423,Patrick Tam,2.793
The Conjuring: The Devil Made Me Do It,423108,tt7069210,Patrick Wilson,31.977,Vera Farmiga,28.396,Ruairi O'Connor,13.124,Sarah Catherine Hook,2.759,Julian Hilliard,7.33
Ghostbusters: Afterlife,425909,tt4513678,Carrie Coon,22.733,Finn Wolfhard,23.885,Mckenna Grace,62.368,Paul Rudd,34.254,Logan Kim,7.965
Chinese Doctors,848880,tt13696296,Zhang Hanyu,8.378,Oho Ou,10.438,Quan Yuan,2.816,Yawen Zhu,4.605,Jackson Yee,10.104
Cliff Walkers,639557,tt11448076,Zhang Yi,14.343,Yu Hewei,4.525,Liu Haocun,4.784,Qin Hailu,6.719,Ni Dahong,5.372
The Suicide Squad,436969,tt6334354,Margot Robbie,29.861,Idris Elba,26.498,John Cena,15.948,Joel Kinnaman,24.116,Sylvester Stallone,32.593
Space Jam: A New Legacy,379686,tt3554046,LeBron James,6.092,Don Cheadle,12.494,Cedric Joe,9.124,Jeff Bergman,4.878,Gabriel Iglesias,12.75
House of Gucci,644495,tt11214590,Lady Gaga,9.863,Adam Driver,18.735,Jared Leto,70.2,Jeremy Irons,13.292,Al Pacino,39.737
The Matrix Resurrections,624860,tt10838180,Keanu Reeves,59.33,Carrie-Anne Moss,18.242,Yahya Abdul-Mateen II,11.716,Jessica Henwick,34.038,Jonathan Groff,10.632
Peter Rabbit 2: The Runaway,522478,tt8376234,James Corden,9.839,Rose Byrne,25.865,Domhnall Gleeson,17.251,David Oyelowo,6.407,Margot Robbie,29.861
A Writer's Odyssey,611698,tt9685342,Lei Jiayin,7.108,Yang Mi,16.341,Dong Zijian,6.783,Yu Hewei,4.525,Tong Liya,7.164
The Boss Baby 2: Family Business,459151,tt6932874,Alec Baldwin,17.182,James Marsden,19.282,Amy Sedaris,15.668,Jeff Goldblum,13.337,Eva Longoria,13.89
PAW Patrol: The Movie,675445,tt11832046,Iain Armitage,11.393,Lilly Bartlam,3.958,Will Brisbin,0.98,Ron Pardo,6.857,Marsai Martin,11.289
Tom & Jerry: The Movie,22582,tt0105616,Richard Kind,11.545,Dana Hill,8.714,Anndi McAfee,6.441,Rip Taylor,4.487,Henry Gibson,9.997
Jujutsu Kaisen 0: The Movie,810693,tt14331144,Megumi Ogata,7.683,Kana Hanazawa,16.36,Mikako Komatsu,5.869,Koki Uchiyama,17.522,Tomokazu Seki,12.709
Be Somebody,397517,tt5512872,Matthew Espinosa,1.214,Sarah Jeffery,11.532,Allison Paige,7.041,Caitlin Keats,3.039,LaMonica Garrett,8.686
