Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets,Score
Toy Story 3,2500,1161,1036,303,0.5860655738
Harry Potter and the Deathly Hallows: Part 1,2500,619,1757,124,0.666218035
Inception,2500,1228,964,308,0.5989583333
Shrek Forever After,2500,1060,1194,246,0.6232771822
The Twilight Saga: Eclipse,2500,973,1324,203,0.6547619048
Iron Man 2,2500,1151,1007,342,0.5418620228
Tangled,2500,1283,894,323,0.597758406
Despicable Me,2500,1340,957,203,0.7368762152
How to Train Your Dragon,2500,1195,1114,191,0.7243867244
Clash of the Titans,2500,962,1227,311,0.5113904163
The King's Speech,2500,1262,974,264,0.6539973788
The Chronicles of Narnia: The Voyage of the Dawn Treader,2500,477,1911,112,0.6196943973
TRON: Legacy,2500,1207,1013,280,0.6234028245
The Karate Kid,2500,1263,885,352,0.5640866873
Black Swan,2500,1222,886,392,0.5142503098
Megamind,2500,1328,896,276,0.6558603491
Robin Hood,2500,1255,695,550,0.3905817175
The Last Airbender,2500,907,1026,567,0.2306648575
Little Fockers,2500,1388,884,228,0.7178217822
Resident Evil: Afterlife,2500,274,88,2138,-0.7728026534
Shutter Island,2500,1157,904,439,0.4498746867
Salt,2500,1089,973,438,0.4263261297
Sex and the City 2,2500,1004,1145,351,0.4819188192
The Tourist,2500,1041,1088,371,0.4745042493
The Expendables,2500,853,1372,275,0.5124113475
Grown Ups,2500,1254,842,404,0.5126658625
True Grit,2500,2275,114,111,0.9069572506
Gulliver's Travels,2500,1141,1091,268,0.6195883605
Percy Jackson & the Olympians: The Lightning Thief,2500,378,139,1983,-0.6797966963
The Social Network,2500,1059,1162,279,0.5829596413
Valentine's Day,2500,1388,862,250,0.6947496947
The Sorcerer's Apprentice,2500,917,1373,210,0.6273291925
Due Date,2500,1534,646,320,0.6548004315
Eat Pray Love,2500,2335,104,61,0.949081803
Yogi Bear,2500,1115,943,442,0.43224149
RED,2500,1059,971,470,0.3852190974
Paranormal Activity 2,2500,892,940,668,0.1435897436
The A-Team,2500,1137,1106,257,0.631276901
Jackass 3D,2500,797,213,1490,-0.3030170529
The Other Guys,2500,1294,890,316,0.6074534161
Unstoppable,2500,1082,126,1292,-0.08845829823
The Book of Eli,2500,1250,1007,243,0.6744809109
The Town,2500,1157,950,393,0.4929032258
Date Night,2500,1448,746,306,0.6510832383
The Secret World of Arrietty,2500,732,1550,218,0.5410526316
Legend of the Guardians: The Owls of Ga'Hoole,2500,669,1602,229,0.4899777283
The Wolfman,2500,809,1267,424,0.3122465531
The Bounty Hunter,2500,1051,1088,361,0.4886685552
Saw: The Final Chapter,921,267,514,140,0.312039312
Wall Street: Money Never Sleeps,2500,604,1450,446,0.1504761905
The Adjustment Bureau,2500,1138,1127,235,0.6576839039
Predators,2500,1030,971,499,0.3472858077
A Nightmare on Elm Street,2500,769,1295,436,0.2763485477
Dear John,2500,2101,99,300,0.7501041233
Cats & Dogs: The Revenge of Kitty Galore,2435,208,137,2090,-0.81897302
Tooth Fairy,2500,999,1184,317,0.5182370821
Sanctum,2500,1008,1075,417,0.4147368421
Hereafter,2500,1060,964,476,0.3802083333
Life as We Know It,2500,1456,866,178,0.782129743
Let the Bullets Fly,1224,421,638,165,0.4368600683
Love & Other Drugs,2500,2282,141,77,0.9347181009
Killers,2500,200,95,2205,-0.8336798337
Kick-Ass,2500,1052,1033,415,0.4342194956
Nanny McPhee Returns,2500,1023,1193,284,0.5654169855
Get Him to the Greek,2500,1333,875,292,0.6406153846
Burlesque,2500,1420,801,279,0.6715715127
The Last Song,2500,1291,733,476,0.4612337295
Dinner for Schmucks,2500,1407,783,310,0.638905067
Marmaduke,2500,1177,824,499,0.4045346062
Piranha 3D,1562,646,486,430,0.2007434944
Oceans,2500,1058,774,668,0.2259559676
Edge of Darkness,2500,762,148,1590,-0.3520408163
Vampires Suck,2500,741,196,1563,-0.3567708333
Letters to Juliet,2500,1504,751,245,0.7198399085
The Back-up Plan,2500,865,1343,292,0.4952463267
Diary of a Wimpy Kid,2500,1078,49,1373,-0.1203590371
Easy A,2500,2241,91,168,0.8605230386
Hubble,2500,994,1282,224,0.632183908
The Last Exorcism,2500,1286,658,556,0.3963083605
Takers,2500,1138,830,532,0.3628742515
Legion,2500,1033,954,513,0.3363518758
The American,2500,988,403,1109,-0.0577014783
The Next Three Days,2500,924,1223,353,0.4471417384
Skyline,2491,1046,873,572,0.2929542645
Hot Tub Time Machine,2500,1158,1005,337,0.5491638796
Devil,2500,399,128,1973,-0.6635750422
127 Hours,2500,1270,918,312,0.605562579
Why Did I Get Married Too?,2500,1037,1045,418,0.4254295533
The Ghost Writer,2500,939,77,1484,-0.2249277755
Secretariat,2500,1255,832,413,0.5047961631
Morning Glory,2500,2291,129,80,0.9325179249
Remember Me,2500,1161,835,504,0.3945945946
Cop Out,2500,1129,843,528,0.3627036814
The Crazies,2500,1018,984,498,0.3430079156
