,Movie,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Unnamed: 0.1.1,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,Frozen,Kristen Bell,15.307,Idina Menzel,10.721,Jonathan Groff,10.632,Frank Welker,16.625,Josh Gad,11.913,0,1280802282,400738009,31.3,880064273,68.7,90.0,85.0,PG,"ChrisBuck,JenniferLee","MikeHuang,PeterDelVecho,KristinYadamec,AngelaFrancesDanna,DaraMcgarry,KellyEisert,JamesEHasman,NathanCurtis,JulieBaner,SheriPatterson",11-27-2013,401000000.0,7.5,608533,movie,Frozen,0,2013,102,"Adventure,Animation,Comedy"
1,Iron Man 3,Robert Downey Jr.,38.361,Gwyneth Paltrow,15.957,Don Cheadle,12.494,Guy Pearce,19.454,Rebecca Hall,27.441,1,1214811252,409013994,33.7,805797258,66.3,79.0,78.0,PG-13,ShaneBlack,KevinFeige,5-3-2013,409000000.0,7.2,820282,movie,Iron Man Three,0,2013,130,"Action,Adventure,Sci-Fi"
2,Despicable Me 2,Steve Carell,18.584,Kristen Wiig,16.468,Benjamin Bratt,14.298,Miranda Cosgrove,32.281,Russell Brand,11.873,2,970766005,368065385,37.9,602700620,62.1,75.0,85.0,PG,"ChrisRenaud,PierreCoffin","ChristopherMeledandri,JanetHealy",7-3-2013,368000000.0,7.3,389969,movie,Despicable Me 2,0,2013,98,"Adventure,Animation,Comedy"
3,The Hobbit: The Desolation of Smaug,Ian McKellen,15.137,Martin Freeman,18.272,Richard Armitage,16.794,Benedict Cumberbatch,39.658,Orlando Bloom,13.4,3,958366855,258366855,27,700000000,73.0,74.0,85.0,PG-13,PeterJackson,"CarolynneCunningham,ZaneWeiner,FranWalsh,PeterJackson",12-13-2013,258399999.99999997,7.8,640048,movie,The Hobbit: The Desolation of Smaug,0,2013,161,"Adventure,Fantasy"
4,The Hunger Games: Catching Fire,Jennifer Lawrence,26.491,Josh Hutcherson,9.872,Liam Hemsworth,10.599,Woody Harrelson,19.341,Elizabeth Banks,14.855,4,865011746,424668047,49.1,440343699,50.9,90.0,89.0,PG-13,FrancisLawrence,"JonKilik,NinaJacobson",11-22-2013,,7.5,648558,movie,The Hunger Games: Catching Fire,0,2013,146,"Action,Adventure,Drama"
5,Fast & Furious 6,Vin Diesel,29.696,Paul Walker,20.93,Dwayne Johnson,29.99,Jordana Brewster,19.391,Michelle Rodriguez,23.481,5,788679850,238679850,30.3,550000000,69.7,71.0,84.0,PG-13,JustinLin,"NealH.Moritz,VinDiesel,ClaytonTownsend",5-24-2013,238700000.0,7.1,388161,movie,Furious 6,0,2013,130,"Action,Crime,Thriller"
6,Monsters University,Billy Crystal,12.905,John Goodman,20.059,Steve Buscemi,27.372,Helen Mirren,23.338,Peter Sohn,3.594,6,743559607,268492764,36.1,475066843,63.9,80.0,81.0,G,DanScanlon,KoriRae,6-21-2013,268500000.0,7.3,348397,movie,Monsters University,0,2013,104,"Adventure,Animation,Comedy"
7,Gravity,Sandra Bullock,32.612,George Clooney,20.782,Ed Harris,14.475,Orto Ignatiussen,3.08,Phaldut Sharma,2.256,7,723192705,274092705,37.9,449100000,62.1,,,,,,,,7.7,808963,movie,Gravity,0,2013,91,"Action,Drama,Sci-Fi"
8,Man of Steel,Henry Cavill,49.011,Amy Adams,27.066,Michael Shannon,25.485,Diane Lane,29.484,Russell Crowe,22.033,8,668045518,291045518,43.6,377000000,56.4,56.0,75.0,PG-13,ZackSnyder,"CharlesRoven,ChristopherNolan,EmmaThomas,DeborahSnyder",6-14-2013,291000000.0,7.1,749635,movie,Man of Steel,0,2013,143,"Action,Adventure,Sci-Fi"
9,Thor: The Dark World,Chris Hemsworth,39.666,Natalie Portman,25.669,Tom Hiddleston,34.228,Anthony Hopkins,22.564,Christopher Eccleston,10.661,9,644783140,206362140,32,438421000,68.0,66.0,75.0,PG-13,AlanTaylor,KevinFeige,11-8-2013,206400000.0,6.8,653648,movie,Thor: The Dark World,0,2013,112,"Action,Adventure,Fantasy"
