,Unnamed: 0,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,0,Star Wars: Episode VII - The Force Awakens,2068223624,936662225,45.3,1131561399,54.7,93.0,85.0,PG-13,J.J.Abrams,"KathleenKennedy,J.J.Abrams,BryanBurk",12-18-2015,123000000.0,7.9,905287,movie,Star Wars: Episode VII - The Force Awakens,0,2015,138,"Action,Adventure,Sci-Fi"
1,1,Jurassic World,1670400637,652270625,39,1018130012,61.0,71.0,78.0,PG-13,ColinTrevorrow,"FrankMarshall,PatrickCrowley",6-12-2015,652600000.0,7.0,617110,movie,Jurassic World,0,2015,124,"Action,Adventure,Sci-Fi"
2,2,Furious 7,1515047671,353007020,23.3,1162040651,76.7,82.0,82.0,PG-13,JamesWan,"NealH.Moritz,VinDiesel,MichaelFottrell",4-3-2015,350800000.0,7.2,382376,movie,Fast & Furious 7,0,2015,137,"Action,Crime,Thriller"
3,3,Avengers: Age of Ultron,1402805868,459005868,32.7,943800000,67.3,76.0,83.0,PG-13,JossWhedon,KevinFeige,5-1-2015,459000000.0,7.3,826268,movie,Avengers: Age of Ultron,0,2015,141,"Action,Adventure,Sci-Fi"
4,4,Minions,1159398397,336045770,29,823352627,71.0,55.0,49.0,PG,"PierreCoffin,KyleBalda","ChristopherMeledandri,JanetHealy",7-10-2015,336000000.0,6.4,228190,movie,Minions,0,2015,91,"Adventure,Animation,Comedy"
5,5,Spectre,880674609,200074609,22.7,680600000,77.3,63.0,61.0,PG-13,SamMendes,"MichaelG.Wilson,BarbaraBroccoli",11-6-2015,200100000.0,6.8,429484,movie,Spectre,0,2015,148,"Action,Adventure,Thriller"
6,6,Inside Out,857611174,356461711,41.6,501149463,58.4,,,,,,,,8.2,682567,movie,Inside Out,0,2015,95,"Adventure,Animation,Comedy"
7,7,Mission: Impossible - Rogue Nation,682714267,195042377,28.6,487671890,71.4,94.0,87.0,PG-13,ChristopherMcQuarrie,"TomCruise,J.J.Abrams,BryanBurk,DavidEllison,DanaGoldberg,DonGranger",7-31-2015,,7.4,362936,movie,Mission: Impossible - Rogue Nation,0,2015,131,"Action,Adventure,Thriller"
8,8,The Hunger Games: Mockingjay - Part 2,658344137,281723902,42.8,376620235,57.2,70.0,66.0,PG-13,FrancisLawrence,"NinaJacobson,JonKilik",11-20-2015,281700000.0,6.5,314960,movie,The Hunger Games: Mockingjay - Part 2,0,2015,137,"Action,Adventure,Sci-Fi"
9,9,The Martian,630161890,228433663,36.2,401728227,63.8,91.0,91.0,PG-13,RidleyScott,"SimonKinberg,RidleyScott,MichaelSchaefer,AdityaSood,MarkHuffam",10-2-2015,228400000.0,8.0,823241,movie,The Martian,0,2015,144,"Adventure,Drama,Sci-Fi"
10,10,Fifty Shades of Grey,569651467,166167230,29.2,403484237,70.8,25.0,41.0,R,SamTaylor-Johnson,"MichaelDeLuca,E.L.James,DanaBrunetti",2-13-2015,166100000.0,4.2,313428,movie,Fifty Shades of Grey,0,2015,125,"Drama,Romance,Thriller"
11,11,Cinderella,542351353,201151353,37.1,341200000,62.9,84.0,78.0,PG,KennethBranagh,"SimonKinberg,AllisonShearmur,DavidBarron",3-13-2015,201200000.0,6.9,173613,movie,Cinderella,0,2015,105,"Adventure,Drama,Family"
12,12,Cinderella,542351353,201151353,37.1,341200000,62.9,84.0,78.0,PG,KennethBranagh,"SimonKinberg,AllisonShearmur,DavidBarron",3-13-2015,201200000.0,8.1,13,movie,Cinderella,0,2015,113,Fantasy
13,13,The Revenant,532950503,183637894,34.5,349312609,65.5,78.0,84.0,R,,"ArnonMilchan,SteveGolin,MaryParent,KeithRedmon,JamesW.Skotchdopole",1-8-2016,183600000.0,8.0,773163,movie,The Revenant,0,2015,156,"Action,Adventure,Drama"
14,14,Ant-Man,519311965,180202163,34.7,339109802,65.3,83.0,85.0,PG-13,PeytonReed,KevinFeige,7-17-2015,180200000.0,7.3,636685,movie,Ant-Man,0,2015,117,"Action,Adventure,Comedy"
15,15,Hotel Transylvania 2,474800000,169700110,35.7,305099890,64.3,55.0,63.0,PG,GenndyTartakovsky,MichelleMurdocca,9-25-2015,,6.7,122892,movie,Hotel Transylvania 2,0,2015,89,"Adventure,Animation,Comedy"
16,16,San Andreas,473990832,155190832,32.7,318800000,67.3,48.0,52.0,PG-13,BradPeyton,BeauFlynn,5-29-2015,155200000.0,6.1,231287,movie,San Andreas,0,2015,114,"Action,Adventure,Thriller"
17,17,Terminator Genisys,440603537,89760956,20.4,350842581,79.6,27.0,52.0,PG-13,AlanTaylor,"DavidEllison,DanaGoldberg",7-1-2015,89800000.0,6.3,272814,movie,Terminator Genisys,0,2015,126,"Action,Adventure,Sci-Fi"
18,18,Monster Hunt,387053506,32766,<0.1,387020740,100.0,45.0,70.0,PG-13,PaulW.S.Anderson,"PaulW.S.Anderson,DennisBerardi,JeremyBolt,KenKamins,RobertKulzer,MartinMoszkowicz",12-18-2020,15100000.0,6.1,5153,movie,Zhuo yao ji,0,2015,117,"Adventure,Comedy,Fantasy"
19,19,Home,386041607,177397510,46,208644097,54.0,52.0,64.0,PG,TimJohnson,"MireilleSoria,SuzanneBuirgy,ChristopherJenkins",3-27-2015,177300000.0,6.6,100212,movie,Home,0,2015,94,"Adventure,Animation,Comedy"
