,Release Group,Score_Rotten,Score_Audience,Rating,Genre,Director,Producer,Release Date (Theaters),Box Office (Gross USA)
0,Toy Story 3,98,90,G,"['Fantasy', 'Adventure', 'Kids&family', 'Comedy', 'Animation']",['LeeUnkrich'],['DarlaK.Anderson'],"['Jun 18', '2010']",415.0M
1,Alice in Wonderland,,48,,['Fantasy'],"['CecilM.Hepworth', 'PercyStow']",,"['Oct 17', '1903']",
2,Harry Potter and the Deathly Hallows: Part 1,77,85,PG-13,"['Fantasy', 'Adventure']",['DavidYates'],"['DavidHeyman', 'DavidBarron', 'J.K.Rowling']","['Nov 19', '2010']",295.0M
3,Inception,87,91,PG-13,"['Action', 'Sci-fi', 'Mystery&thriller']",['ChristopherNolan'],"['ChristopherNolan', 'EmmaThomas']","['Jul 16', '2010']",292.6M
4,Shrek Forever After,58,54,PG,"['Fantasy', 'Adventure', 'Kids&family', 'Comedy', 'Animation']",['MikeMitchell'],"['GinaShay', 'TeresaCheng']","['May 21', '2010']",
5,The Twilight Saga: Eclipse,48,60,PG-13,"['Fantasy', 'Romance']",['DavidSlade'],"['WyckGodfrey', 'KarenRosenfelt']","['Jun 30', '2010']",300.5M
6,Iron Man 2,72,71,PG-13,"['Fantasy', 'Sci-fi', 'Action', 'Adventure']",['JonFavreau'],['KevinFeige'],"['May 7', '2010']",312.1M
7,Tangled,,40,,['Mystery&thriller'],,,,
8,Despicable Me,81,82,PG,"['Kids&family', 'Animation', 'Comedy', 'Adventure']","['ChrisRenaud', 'PierreCoffin']","['ChristopherMeledandri', 'JohnCohen', 'JanetHealy']","['Jul 9', '2010']",251.5M
9,How to Train Your Dragon,99,91,PG,"['Adventure', 'Comedy', 'Fantasy', 'Kids&family', 'Animation']","['ChristopherSanders', 'DeanDeBlois']",['BonnieArnold'],"['Mar 26', '2010']",217.4M
10,Clash of the Titans,27,40,PG-13,"['Fantasy', 'Action', 'Adventure']",['LouisLeterrier'],"['BasilIwanyk', 'KevinDeLaNoy']","['Apr 2', '2010']",163.2M
11,The King's Speech,94,92,R,"['History', 'Drama']",['TomHooper'],"['IainCanning', 'EmileSherman', 'GarethUnwin']","['Jan 28', '2011']",138.8M
12,The Chronicles of Narnia: The Voyage of the Dawn Treader,50,58,PG,"['Adventure', 'Fantasy', 'Kids&family']",['MichaelApted'],"['MarkJohnson', 'AndrewAdamson', 'PhilipSteuer']","['Dec 10', '2010']",104.4M
13,TRON: Legacy,51,63,PG,"['Action', 'Sci-fi']",['JosephKosinski'],"['SeanBailey', 'JeffreySilver', 'StevenLisberger']","['Dec 17', '2010']",172.1M
14,The Karate Kid,66,67,PG,"['Drama', 'Sports&fitness']",['HaraldZwart'],"['JerryWeintraub', 'WillSmith', 'JadaPinkettSmith', 'JamesLassiter', 'KenStovitz']","['Jun 11', '2010']",
15,Black Swan,85,84,R,"['Drama', 'Mystery&thriller']",['DarrenAronofsky'],"['MikeMedavoy', 'ArnoldMesser', 'BrianOliver', 'ScottFranklin']","['Dec 17', '2010']",107.0M
16,Megamind,72,72,PG,"['Kids&family', 'Animation', 'Comedy', 'Adventure']",['TomMcGrath'],"['LaraBreay', 'DeniseNolanCascino']","['Nov 5', '2010']",148.3M
17,Robin Hood,15,40,PG-13,"['Action', 'Adventure']",['OttoBathurst'],"['JenniferDavissonKilloran', 'LeonardoDiCaprio', 'HowardEllis']","['Nov 21', '2018']",30.8M
18,The Last Airbender,5,30,PG,"['Fantasy', 'Adventure']",['M.NightShyamalan'],"['M.NightShyamalan', 'SamMercer', 'FrankMarshall']","['Jul 1', '2010']",131.6M
19,Little Fockers,9,34,PG-13,['Comedy'],['PaulWeitz'],"['JaneRosenthal', 'RobertDeNiro', 'JayRoach', 'JohnHamburg']","['Dec 22', '2010']",148.4M
20,Resident Evil: Afterlife,21,48,R,"['Horror', 'Action']",['PaulW.S.Anderson'],"['PaulW.S.Anderson', 'JeremyBolt', 'RobertKulzer', 'DonCarmody', 'BerndEichinger', 'SamuelHadida']","['Sep 10', '2010']",60.1M
21,Shutter Island,68,77,R,"['Drama', 'Mystery&thriller']",['MartinScorsese'],"['MikeMedavoy', 'ArnoldMesser', 'BradleyJ.Fischer', 'MartinScorsese']","['Feb 19', '2010']",128.0M
22,Salt,61,59,PG-13,"['Action', 'Mystery&thriller']",['PhillipNoyce'],"['LorenzodiBonaventura', 'SunilPerkash']","['Jul 23', '2010']",
23,Sex and the City 2,16,43,R,"['Comedy', 'Romance']",['MichaelPatrickKing'],"['MichaelPatrickKing', 'JohnMelfi', 'SarahJessicaParker', 'DarrenStar']","['May 27', '2010']",95.3M
