,Movie Title,budget,tmdb_popularity,imdbRating,imdbNumVotes,runtimeMinutes,genres,Score_Rotten,Score_Rotten_Audience,Rating,Release-Date,NumTheatres,mean_google_trend_popularity,director_popularity,producer_popularity,actors_popularity,Revenue-Worldwide,Revenue-Domestic,Score
0,Toy Story 3,200000000,130.39,8.3,809276,103,"Adventure,Animation,Comedy",98.0,90.0,G,6/18/2010,2.0,46.375,4.14,1.388,18.2108,1066969703,415004880.0,0.5860655738
1,Alice in Wonderland,3000000,94.156,7.4,138217,75,"Adventure,Animation,Comedy",,48.0,,3/5/2010,3.0,,0.0,15.264,4.679200000000000,1025467110,334191110.0,
2,Harry Potter and the Deathly Hallows: Part 1,250000000,245.631,7.7,527205,146,"Adventure,Family,Fantasy",77.0,85.0,PG-13,11/19/2010,7.0,48.0,14.088,6.070666667,31.5568,976536918,295983305.0,0.666218035
3,Inception,160000000,164.797,8.8,2255111,148,"Action,Adventure,Sci-Fi",87.0,91.0,PG-13,7/16/2010,6.0,33.5,15.857,14.426,29.2188,826137188,292576195.0,0.5989583333
4,Shrek Forever After,165000000,108.5,6.3,199029,93,"Adventure,Animation,Comedy",58.0,54.0,PG,5/21/2010,9.0,34.625,5.691,1.8905,15.671200000000000,752600867,238736787.0,0.6232771822
5,The Twilight Saga: Eclipse,68000000,240.393,5.0,241520,124,"Action,Adventure,Drama",48.0,60.0,PG-13,6/30/2010,5.0,52.5,7.13,2.8385,24.2466,698491347,300531751.0,0.6547619048
6,Iron Man 2,200000000,208.185,7.0,787754,124,"Action,Adventure,Sci-Fi",72.0,71.0,PG-13,5/7/2010,4.0,78.125,25.21,11.621,23.6562,623933331,312433331.0,0.5418620228
7,Tangled,260000000,131.617,7.8,437762,100,"Adventure,Animation,Comedy",,40.0,,11/24/2010,14.0,49.75,15.264,15.264,13.675600000000000,592461732,200821936.0,0.597758406
8,Despicable Me,69000000,107.417,7.6,530731,95,"Adventure,Animation,Comedy",81.0,82.0,PG,7/9/2010,8.0,36.125,0.0,3.310333333,15.935,543113985,251513985.0,0.7368762152
9,How to Train Your Dragon,165000000,92.284,8.1,715401,98,"Action,Adventure,Animation",99.0,91.0,PG,3/26/2010,10.0,45.875,0.0,1.153,14.4334,494878759,217581231.0,0.7243867244
10,Clash of the Titans,125000000,132.065,5.8,279581,106,"Action,Adventure,Fantasy",27.0,40.0,PG-13,4/2/2010,12.0,37.625,7.598,3.035,26.7264,493214993,163214888.0,0.5113904163
11,The King's Speech,15000000,21.559,8.0,668835,118,"Biography,Drama,History",94.0,92.0,R,11/26/2010,127.0,66.25,5.218,4.949666667,18.7506,423999102,135453143.0,0.6539973788
12,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,59.145,6.3,151361,113,"Adventure,Family,Fantasy",50.0,58.0,PG,12/10/2010,39.0,68.875,3.994,3.181,17.7716,415686217,104386950.0,0.6196943973
13,TRON: Legacy,170000000,97.568,6.8,329642,125,"Action,Adventure,Sci-Fi",51.0,63.0,PG,12/17/2010,20.0,47.875,4.597,2.305666667,12.466400000000000,400062763,172062763.0,0.6234028245
14,The Karate Kid,40000000,160.742,6.2,177554,140,"Action,Drama,Family",66.0,67.0,PG,6/11/2010,11.0,55.125,4.166,13.4834,13.3,359126022,176591618.0,0.5640866873
15,Black Swan,13000000,40.941,8.0,742745,108,"Drama,Thriller",85.0,84.0,R,12/3/2010,80.0,89.875,7.192,1.78525,18.1036,329398046,106954678.0,0.5142503098
16,Megamind,130000000,82.355,7.3,250945,95,"Action,Animation,Comedy",72.0,72.0,PG,11/5/2010,15.0,42.5,12.258,1.176,16.413400000000000,321885765,148415853.0,0.6558603491
17,Robin Hood,200000000,86.164,6.6,265180,140,"Action,Adventure,Drama",15.0,40.0,PG-13,5/14/2010,24.0,54.125,2.875,9.931,19.345800000000000,321669741,105269730.0,0.3905817175
18,Robin Hood,200000000,86.164,6.6,265180,140,"Action,Adventure,Drama",15.0,40.0,PG-13,5/14/2010,24.0,54.125,2.875,9.931,19.345800000000000,321669741,105269730.0,0.4794138172
19,The Last Airbender,150000000,158.244,4.0,161230,103,"Action,Adventure,Family",5.0,30.0,PG,7/1/2010,16.0,46.625,9.345,5.035,13.0712,319713881,131772187.0,0.2306648575
20,Little Fockers,100000000,45.022,5.5,111500,98,"Comedy,Romance",9.0,34.0,PG-13,12/22/2010,37.0,50.375,4.145,7.96425,21.8446,310650585,148438600.0,0.7178217822
21,Resident Evil: Afterlife,60000000,2.688,5.8,169427,96,"Action,Adventure,Horror",21.0,48.0,R,9/10/2010,54.0,46.625,12.24,4.0575,17.6942,300228084,60128566.0,-0.7728026534
22,Shutter Island,80000000,79.086,8.2,1248932,138,"Mystery,Thriller",68.0,77.0,R,2/19/2010,17.0,39.375,21.503,7.42825,14.4228,294804195,128012934.0,0.4498746867
23,Salt,110000000,103.143,6.5,309868,100,"Action,Thriller",61.0,59.0,PG-13,7/23/2010,19.0,74.125,7.575,1.791,10.088,293503354,118311368.0,0.4263261297
24,Sex and the City 2,100000000,64.313,4.5,78980,146,"Comedy,Drama,Romance",16.0,43.0,R,5/27/2010,29.0,53.5,5.184,6.71825,12.5026,290745055,95347692.0,0.4819188192
25,The Tourist,100000000,70.469,6.0,237778,103,"Action,Thriller",20.0,42.0,PG-13,12/10/2010,69.0,47.5,4.693,3.2264,21.716,278780441,67631157.0,0.4745042493
26,The Expendables,80000000,123.753,6.4,340314,103,"Action,Adventure,Thriller",42.0,64.0,R,8/13/2010,25.0,53.25,39.285,2.703,31.4514,274470394,103068524.0,0.5124113475
27,Grown Ups,80000000,162.104,5.9,245587,102,Comedy,11.0,62.0,PG-13,6/25/2010,13.0,37.625,8.054,16.265,20.0312,271430189,162001186.0,0.5126658625
28,True Grit,38000000,15.455,7.6,332413,110,"Drama,Western",95.0,85.0,PG-13,12/22/2010,46.0,49.125,0.0,5.690666667,31.5502,252276927,171243005.0,0.9069572506
29,Gulliver's Travels,112000000,40.004,4.9,68898,85,"Adventure,Comedy,Family",,,,12/25/2010,119.0,54.0,15.264,15.264,16.556600000000000,237382724,42779261.0,0.6195883605
30,Percy Jackson & the Olympians: The Lightning Thief,95000000,205.953,5.9,186001,118,"Adventure,Family,Fantasy",49.0,53.0,PG,2/12/2010,35.0,46.25,9.568,4.253,24.2826,226497209,88768303.0,-0.6797966963
31,The Social Network,40000000,33.409,7.8,679305,120,"Biography,Drama",96.0,87.0,PG-13,10/1/2010,31.0,46.125,14.849,2.775,21.4052,224920315,96962694.0,0.5829596413
32,Valentine's Day,52000000,30.253,5.7,118968,125,"Comedy,Romance",18.0,47.0,PG-13,2/12/2010,22.0,55.0,8.768,0.935,22.957,216485654,110485654.0,0.6947496947
33,The Sorcerer's Apprentice,150000000,32.89,6.1,160138,109,"Action,Adventure,Family",40.0,53.0,PG,7/14/2010,49.0,50.375,6.951,4.75,19.8296,215283742,63150991.0,0.6273291925
34,Due Date,65000000,52.685,6.5,338617,95,"Comedy,Drama",39.0,52.0,R,11/5/2010,26.0,47.125,8.017,4.3085,22.6322,211780824,100539043.0,0.6548004315
35,Eat Pray Love,60000000,25.046,5.8,95505,133,"Biography,Drama,Romance",36.0,42.0,PG-13,8/13/2010,38.0,46.0,10.801,2.085,16.9358,204594016,80574010.0,0.949081803
36,Yogi Bear,80000000,22.789,4.6,21742,81,"Adventure,Animation,Comedy",13.0,34.0,PG,12/17/2010,61.0,51.25,2.222,0.8875,13.957400000000000,203509374,100246011.0,0.43224149
37,Paranormal Activity 2,3000000,37.439,5.7,103015,91,"Horror,Mystery",58.0,48.0,R,10/22/2010,36.0,42.25,1.646,4.103,6.2808,177512032,84752907.0,0.1435897436
38,The A-Team,110000000,79.748,6.7,256237,117,"Action,Adventure,Thriller",49.0,66.0,PG-13,6/11/2010,42.0,52.875,9.507,2.7225,20.4632,177238796,77222099.0,0.631276901
39,Jackass 3D,20000000,78.131,7.0,63428,94,"Action,Comedy,Documentary",,,,10/15/2010,21.0,37.125,15.264,15.264,10.269,171685792,117229692.0,-0.3030170529
40,The Other Guys,100000000,75.945,6.6,261522,107,"Action,Comedy,Crime",78.0,60.0,PG-13,8/6/2010,18.0,35.5,10.808,8.484333333,21.504,170458922,119219978.0,0.6074534161
41,Unstoppable,100000000,35.266,6.8,194678,98,"Action,Thriller",,56.0,,11/12/2010,41.0,48.0,2.744,15.264,20.6594,167805466,81562942.0,-0.08845829823
42,Step Up,12000000,48.278,6.5,116996,104,"Crime,Drama,Music",21.0,83.0,PG-13,8/6/2010,78.0,55.5,4.434,2.56875,11.4984,159291809,42400223.0,
43,The Book of Eli,80000000,40.761,6.8,311486,118,"Action,Adventure,Drama",47.0,64.0,R,1/15/2010,30.0,38.75,0.0,11.0154,23.45,157107755,94835059.0,0.6744809109
44,The Town,37000000,141.355,7.5,380431,125,"Crime,Drama,Thriller",92.0,85.0,R,9/17/2010,32.0,52.625,29.667,3.814,25.3484,154026136,92186262.0,0.4929032258
