Unnamed: 0,Movie Title,Release-Date,moviename,release_date,budget,year,cleaned_budget,cleaned_release_date,rd
1,Alice in Wonderland,2010-03-05,,,,,,,2010-03-05
42,Step Up,2010-08-06,,,,,,,2010-08-06
63,Aftershock,,Aftershock,"
22 July 2010 (2010-07-22)
",less than $25 million,2010.0,25000000.0,2010-07-22,2010-07-22
64,Umizaru 3: The Last Message,,Umizaru 3: The Last Message,"
September 18, 2010 (2010-09-18) (Japan)
",,2010.0,,2010-09-18,2010-09-18
72,Bayside Shakedown 3: Set the Guys Loose,,Bayside Shakedown 3: Set the Guys Loose,,,2010.0,,,
80,If You Are the One 2,,If You Are the One 2,"
December 22, 2010 (2010-12-22)
",,2010.0,,2010-12-22,2010-12-22
83,Pokémon: Zoroark: Master of Illusions,,,,,,,,
84,A Turtle's Tale: Sammy's Adventures,,A Turtle's Tale: Sammy's Adventures,,,2010.0,,,
99,Veda - Atatürk,,,,,,,,
111,Heartbreaker,,Heartbreaker,"
17 March 2010 (2010-03-17)
",$10 million,2010.0,10000000.0,2010-03-17,2010-03-17
113,StreetDance 2,,StreetDance 2,"
30 March 2012 (2012-03-30) (United Kingdom)
",£7 million,2012.0,7000000.0,2012-03-30,2012-03-30
115,The Man from Nowhere,,The Man from Nowhere,"
August 4, 2010 (2010-08-04)
",,2010.0,,2010-08-04,2010-08-04
120,SP: The Motion Picture I,,SP: The Motion Picture I,,,2011.0,,,
121,Kokkuri-san: Gekijô-ban,,,,,,,,
123,Detective Conan: The Lost Ship in the Sky,,Detective Conan: The Lost Ship in the Sky,,,2010.0,,,
124,Secret Reunion,,Secret Reunion,"
4 February 2010 (2010-02-04)
",,2010.0,,2010-02-04,2010-02-04
129,The Extraordinary Adventures of Adèle Blanc-Sec,,,,,,,,
130,Camping 2,,Camping 2,,,2010.0,,,
131,Arthur 3: The War of the Two Worlds,,Arthur 3: The War of the Two Worlds,"
October 13, 2010 (2010-10-13) (France)
March 22, 2011 (2011-03-22) (United States)
",€65 million($91 million),2010.0,91000000.0,2011-03-22,2011-03-22
136,Sacrifice,,Sacrifice,"
23 October 2020 (2020-10-23) (Mainland China)
19 November 2020 (2020-11-19) (Hong Kong)
",,2020.0,,2020-11-19,2020-11-19
137,The Lady Shogun and Her Men,,The Lady Shogun and Her Men,,,2010.0,,,
144,Liar Game: The Final Stage,,Liar Game: The Final Stage,,,2010.0,,,
147,Da Xiao Jiang Hu,,Da Xiao Jiang Hu,,,2010.0,,,
148,Act of Vengeance,,Act of Vengeance,"
5 November 2010 (2010-11-05)
","$21,000,000 million",2010.0,21000000000000.0,2010-11-05,2010-11-05
149,Under the Hawthorn Tree,,Under the Hawthorn Tree,"
15 September 2010 (2010-09-15)
",,2010.0,,2010-09-15,2010-09-15
