moviename,release_date,budget,crore conversion,Currency conversion,year,cleaned_budget,cleaned_release_date,cleaned_budget_2,final_budget
Toy Story 3,"
June 12, 2010 (2010-06-12) (Taormina Film Fest)
June 18, 2010 (2010-06-18) (United States)
",$200 million,1,1,2010,200000000,6/18/2010,200000000,200000000
Harry Potter and the Deathly Hallows: Part 1,"
11 November 2010 (2010-11-11) (Odeon Leicester Square)
19 November 2010 (2010-11-19) (United Kingdom and United States)
",$250 million(shared with Part 2),1,1,2010,2000000,11/19/2010,2000000,2000000
Inception,"
July 8, 2010 (2010-07-08) (Odeon Leicester Square)
July 16, 2010 (2010-07-16) (United States and United Kingdom)
",$160 million,1,1,2020,160000000,7/16/2010,160000000,160000000
The Twilight Saga: Eclipse,"
June 24, 2010 (2010-06-24) (Los Angeles premiere)
June 30, 2010 (2010-06-30) (United States)
",$68 million,1,1,2010,68000000,6/30/2010,68000000,68000000
Iron Man 2,"
April 26, 2010 (2010-04-26) (El Capitan Theatre)
May 7, 2010 (2010-05-07) (United States)
",$170–200 million,1,1,2010,200000000,5/7/2010,200000000,200000000
Tangled,"
November 14, 2010 (2010-11-14) (El Capitan Theatre)
November 24, 2010 (2010-11-24) (United States)
",$260 million,1,1,2010,260000000,11/24/2010,260000000,260000000
Clash of the Titans,"
April 2, 2010 (2010-04-02) (United States)
",$125 million,1,1,2010,125000000,4/2/2010,125000000,125000000
The King's Speech,"
6 September 2010 (2010-09-06) (Telluride Film Festival)
23 December 2010 (2010-12-23) (Australia)
7 January 2011 (2011-01-07) (United Kingdom)
",$15 million,1,1,2010,15000000,1/7/2011,15000000,15000000
The Chronicles of Narnia: The Voyage of the Dawn Treader,"
November 30, 2010 (2010-11-30) (Royal Film Performance)
December 9, 2010 (2010-12-09) (United Kingdom)
December 10, 2010 (2010-12-10) (United States)
",$140–155 million,1,1,2010,155000000,12/10/2010,155000000,155000000
TRON: Legacy,"
November 30, 2010 (2010-11-30) (Tokyo)
December 17, 2010 (2010-12-17) (United States)[3]
",$170 million,1,1,2010,170000000,12/17/2010,170000000,170000000
Black Swan,"
September 1, 2010 (2010-09-01) (Venice)
December 3, 2010 (2010-12-03) (United States)
",$13 million,1,1,2010,13000000,12/3/2010,13000000,13000000
Megamind,"
October 28, 2010 (2010-10-28) (Russia)
November 5, 2010 (2010-11-05) (United States)
",$130 million,1,1,2010,130000000,11/5/2010,130000000,130000000
Robin Hood,"
November 21, 2018 (2018-11-21) (United States)
",$100 million,1,1,2018,100000000,11/21/2018,100000000,100000000
Robin Hood,"
November 21, 2018 (2018-11-21) (United States)
",$100 million,1,1,2018,100000000,11/21/2018,100000000,100000000
The Last Airbender,"
June 30, 2010 (2010-06-30) (New York City)
July 1, 2010 (2010-07-01) (United States)[3]
",$150 million,1,1,2010,150000000,7/1/2010,150000000,150000000
Little Fockers,"
December 22, 2010 (2010-12-22) (United States)
",$100 million,1,1,2010,100000000,12/22/2010,100000000,100000000
Resident Evil: Afterlife,"
September 2, 2010 (2010-09-02) (Tokyo)[3][4]
September 10, 2010 (2010-09-10) (United States)
",$60 million,1,1,2010,60000000,9/10/2010,60000000,60000000
Shutter Island,"
February 13, 2010 (2010-02-13) (Berlin)
February 19, 2010 (2010-02-19) (United States)
",$80 million,1,1,2010,80000000,2/19/2010,80000000,80000000
