moviename,release_date,budget,year,cleaned_budget,cleaned_release_date
Toy Story 3,"
June 12, 2010 (2010-06-12) (Taormina Film Fest)
June 18, 2010 (2010-06-18) (United States)
",$200 million,2010.0,200000000.0,2010-06-18
Alice in Wonderland,,,2010.0,,
Harry Potter and the Deathly Hallows: Part 1,"
11 November 2010 (2010-11-11) (Odeon Leicester Square)
19 November 2010 (2010-11-19) (United Kingdom and United States)
",$250 million(shared with Part 2),2010.0,2000000.0,2010-11-19
Inception,"
July 8, 2010 (2010-07-08) (Odeon Leicester Square)
July 16, 2010 (2010-07-16) (United States and United Kingdom)
",$160 million,2020.0,160000000.0,2010-07-16
Shrek Forever After,,,2010.0,,
The Twilight Saga: Eclipse,"
June 24, 2010 (2010-06-24) (Los Angeles premiere)
June 30, 2010 (2010-06-30) (United States)
",$68 million,2010.0,68000000.0,2010-06-30
Iron Man 2,"
April 26, 2010 (2010-04-26) (El Capitan Theatre)
May 7, 2010 (2010-05-07) (United States)
",$170–200 million,2010.0,200000000.0,2010-05-07
Tangled,"
November 14, 2010 (2010-11-14) (El Capitan Theatre)
November 24, 2010 (2010-11-24) (United States)
",$260 million,2010.0,260000000.0,2010-11-24
Despicable Me,,,2017.0,,
How to Train Your Dragon,,,2019.0,,
Clash of the Titans,"
April 2, 2010 (2010-04-02) (United States)
",$125 million,2010.0,125000000.0,2010-04-02
The King's Speech,"
6 September 2010 (2010-09-06) (Telluride Film Festival)
23 December 2010 (2010-12-23) (Australia)
7 January 2011 (2011-01-07) (United Kingdom)
",$15 million,2010.0,15000000.0,2011-01-07
The Chronicles of Narnia: The Voyage of the Dawn Treader,"
November 30, 2010 (2010-11-30) (Royal Film Performance)
December 9, 2010 (2010-12-09) (United Kingdom)
December 10, 2010 (2010-12-10) (United States)
",$140–155 million,2010.0,155000000.0,2010-12-10
TRON: Legacy,"
November 30, 2010 (2010-11-30) (Tokyo)
December 17, 2010 (2010-12-17) (United States)[3]
",$170 million,2010.0,170000000.0,2010-12-17
The Karate Kid,,,2010.0,,
Black Swan,"
September 1, 2010 (2010-09-01) (Venice)
December 3, 2010 (2010-12-03) (United States)
",$13 million,2010.0,13000000.0,2010-12-03
Megamind,"
October 28, 2010 (2010-10-28) (Russia)
November 5, 2010 (2010-11-05) (United States)
",$130 million,2010.0,130000000.0,2010-11-05
Robin Hood,"
November 21, 2018 (2018-11-21) (United States)
",$100 million,2018.0,100000000.0,2018-11-21
Robin Hood,"
November 21, 2018 (2018-11-21) (United States)
",$100 million,2018.0,100000000.0,2018-11-21
The Last Airbender,"
June 30, 2010 (2010-06-30) (New York City)
July 1, 2010 (2010-07-01) (United States)[3]
",$150 million,2010.0,150000000.0,2010-07-01
Little Fockers,"
December 22, 2010 (2010-12-22) (United States)
",$100 million,2010.0,100000000.0,2010-12-22
Resident Evil: Afterlife,"
September 2, 2010 (2010-09-02) (Tokyo)[3][4]
September 10, 2010 (2010-09-10) (United States)
",$60 million,2010.0,60000000.0,2010-09-10
Shutter Island,"
February 13, 2010 (2010-02-13) (Berlin)
February 19, 2010 (2010-02-19) (United States)
",$80 million,2010.0,80000000.0,2010-02-19
Salt,"
July 19, 2010 (2010-07-19) (Hollywood)
July 23, 2010 (2010-07-23) (United States)
",$110–130 million,2010.0,130000000.0,2010-07-23
Sex and the City 2,"
May 27, 2010 (2010-05-27) (United States)
",$95 million,2010.0,95000000.0,2010-05-27
The Tourist,"
December 10, 2010 (2010-12-10) (United States)
",$100 million,2010.0,100000000.0,2010-12-10
The Expendables,"
August 4, 2014 (2014-08-04) (London)
August 15, 2014 (2014-08-15) (United States)
",$90–100 million,2014.0,100000000.0,2014-08-15
Grown Ups,"
July 12, 2013 (2013-07-12)
",$80 million,2013.0,80000000.0,2013-07-12
True Grit,"
December 22, 2010 (2010-12-22) (United States)
",$35–38 million,2010.0,38000000.0,2010-12-22
Gulliver's Travels,"
December 25, 2010 (2010-12-25) (United States)
",$112 million,2010.0,112000000.0,2010-12-25
Percy Jackson & the Olympians: The Lightning Thief,,,2010.0,,
The Social Network,"
September 24, 2010 (2010-09-24) (NYFF)[1]
October 1, 2010 (2010-10-01) (United States)
",$40 million,2010.0,40000000.0,2010-10-01
Valentine's Day,,,2010.0,,
The Sorcerer's Apprentice,"
July 8, 2010 (2010-07-08) (Fantasia Film Festival)
July 14, 2010 (2010-07-14)
",$150 million,2010.0,150000000.0,2010-07-14
Due Date,"
October 31, 2010 (2010-10-31) (Night Visions)
November 5, 2010 (2010-11-05) (United States)
",$65 million,2010.0,65000000.0,2010-11-05
Eat Pray Love,"
August 13, 2010 (2010-08-13)
",$60 million,2010.0,60000000.0,2010-08-13
Yogi Bear,,,2010.0,,
Paranormal Activity 2,"
October 22, 2010 (2010-10-22)
",$3 million,2010.0,3000000.0,2010-10-22
The A-Team,"
June 11, 2010 (2010-06-11)
",$100–110 million,2010.0,110000000.0,2010-06-11
Jackass 3D,"
October 15, 2010 (2010-10-15)
",$20 million,2010.0,20000000.0,2010-10-15
The Other Guys,,,2010.0,,
Unstoppable,"
October 26, 2010 (2010-10-26) (Westwood)
November 12, 2010 (2010-11-12) (United States)
",$85–100 million,2010.0,100000000.0,2010-11-12
Step Up,,,2014.0,,
The Book of Eli,"
January 15, 2010 (2010-01-15)
",$80 million,2010.0,80000000.0,2010-01-15
The Town,"
September 8, 2010 (2010-09-08) (Venice)
September 17, 2010 (2010-09-17) (United States)
",$37 million,2010.0,37000000.0,2010-09-17
Date Night,"
April 6, 2010 (2010-04-06) (New York City)
April 9, 2010 (2010-04-09) (United States)
",$55 million,2010.0,55000000.0,2010-04-09
